english,category,sources,srd_5_1,srd_5_2,proposed_zh_tw,status,notes
Arrow,baseitem,PHB; XPHB,true,true,,pending,
Arrow-Catching Shield,item,DMG; XDMG,true,true,,pending,
Arrows (20),baseitem,PHB; XPHB,true,true,,pending,
Artemis,deity,PHB,true,false,,pending,
Artisan's Tools,entries; itemGroup,PHB; XPHB,true,true,,pending,
Ascendant Step,optionalfeature,PHB; XPHB,true,true,,pending,
Assassin,card; monster,DMG; MM; XMM,true,true,,pending,
Assassin's Blood,item,DMG; XDMG,true,true,,pending,
Astral Projection,spell,PHB; XPHB,true,true,,pending,
Athena,deity,PHB,true,false,,pending,
Athletics,skill,PHB; XPHB,true,true,,pending,
Attack,action,PHB; XPHB,true,true,,pending,
Attack Roll,variantrule,XPHB,false,true,,pending,
Attitude,variantrule,XPHB,false,true,,pending,
Attunement,variantrule,XPHB,false,true,,pending,
Augury,spell,PHB; XPHB,true,true,,pending,
Aura Expansion,classFeature,XPHB,false,true,,pending,
Aura improvements,classFeature,PHB,true,false,,pending,
Aura of Courage,classFeature,PHB; XPHB,true,true,,pending,
Aura of Devotion,subclassFeature,PHB; XPHB,true,true,,pending,
Aura of Life,spell,XPHB,false,true,,pending,
Aura of Protection,classFeature,PHB; XPHB,true,true,,pending,
Avatar of Death,monster,DMG,true,false,,pending,
Awaken,spell,PHB; XPHB,true,true,,pending,
Awakened Shrub,monster,MM; XMM,true,true,,pending,
Awakened Tree,monster,MM; XMM,true,true,,pending,
Axe Beak,monster,MM; XMM,true,true,,pending,
Azer,monster,MM,true,false,,pending,
Azer Sentinel,monster,XMM,false,true,,pending,
Baboon,monster,MM; XMM,true,true,,pending,
Backpack,item,PHB; XPHB,true,true,,pending,
Badger,monster,MM; XMM,true,true,,pending,
Bag of Beans,item,DMG; XDMG,true,true,,pending,
Bag of Devouring,item,DMG; XDMG,true,true,,pending,
Bag of Holding,item,DMG; XDMG,true,true,,pending,
Bag of Tricks,itemGroup,XDMG,false,true,,pending,
"Bag of Tricks, Gray",item,DMG; XDMG,true,true,,pending,
"Bag of Tricks, Rust",item,DMG; XDMG,true,true,,pending,
"Bag of Tricks, Tan",item,DMG; XDMG,true,true,,pending,
Bagpipes,baseitem,PHB; XPHB,true,true,,pending,
Balance,card,DMG; XDMG,true,true,,pending,
Ball Bearing,item,PHB,true,false,,pending,
Ball Bearings,item,XPHB,false,true,,pending,
"Ball Bearings (bag of 1,000)",item,PHB,true,false,,pending,
Balor,monster,MM; XMM,true,true,,pending,
Bandit,monster,MM; XMM,true,true,,pending,
Bandit Captain,monster,MM; XMM,true,true,,pending,
Bandit Captain and Three Bandits,card,DMG,true,false,,pending,
Bane,spell,PHB; XPHB,true,true,,pending,
Banishment,spell,PHB; XPHB,true,true,,pending,
Barbarian,class,PHB; XPHB,true,true,,pending,
Barbarian Subclass,classFeature,XPHB,false,true,,pending,
Barbed Devil,monster,MM; XMM,true,true,,pending,
Bard,class,PHB; XPHB,true,true,,pending,
Bard College,classFeature,PHB,true,false,,pending,
Bard College feature,classFeature,PHB,true,false,,pending,
Bard Subclass,classFeature,XPHB,false,true,,pending,
Bardic Inspiration,classFeature,PHB; XPHB,true,true,,pending,
Bardic Inspiration (d10),classFeature,PHB,true,false,,pending,
Bardic Inspiration (d12),classFeature,PHB,true,false,,pending,
Bardic Inspiration (d8),classFeature,PHB,true,false,,pending,
Barkskin,spell,PHB; XPHB,true,true,,pending,
Barrel,item,PHB; XPHB,true,true,,pending,
Basic Poison,item,XPHB,false,true,,pending,
Basic Poison (vial),item,PHB,true,false,,pending,
Basilisk,monster,MM; XMM,true,true,,pending,
Basket,item,PHB; XPHB,true,true,,pending,
Bast,deity,PHB,true,false,,pending,
Bat,monster,MM; XMM,true,true,,pending,
Battleaxe,baseitem,PHB; XPHB,true,true,,pending,
Beacon of Hope,spell,PHB; XPHB,true,true,,pending,
Bead of Force,item,DMG; XDMG,true,true,,pending,
Bead of Nourishment,item,XDMG,false,true,,pending,
Bearded Devil,monster,MM; XMM,true,true,,pending,
Beast Speech,optionalfeature,PHB,true,false,,pending,
Beast Spells,classFeature,PHB; XPHB,true,true,,pending,
Bedroll,item,PHB; XPHB,true,true,,pending,
Befuddlement,spell,XPHB,false,true,,pending,
Beguiling Influence,optionalfeature,PHB,true,false,,pending,
Behir,monster,MM; XMM,true,true,,pending,
Beholder,card,DMG,true,false,,pending,
Belenus,deity,PHB,true,false,,pending,
Bell,item,PHB; XPHB,true,true,,pending,
Belt of Cloud Giant Strength,item,DMG; XDMG,true,true,,pending,
Belt of Dwarvenkind,item,DMG; XDMG,true,true,,pending,
Belt of Fire Giant Strength,item,DMG; XDMG,true,true,,pending,
Belt of Frost Giant Strength,item,DMG; XDMG,true,true,,pending,
Belt of Giant Strength,itemGroup,XDMG,false,true,,pending,
Belt of Hill Giant Strength,item,DMG; XDMG,true,true,,pending,
Belt of Stone Giant Strength,item,DMG; XDMG,true,true,,pending,
Belt of Storm Giant Strength,item,DMG; XDMG,true,true,,pending,
Berserker,card; monster,DMG; MM; XMM,true,true,,pending,
Bes,deity,PHB,true,false,,pending,
Bestow Curse,spell,PHB; XPHB,true,true,,pending,
Bewitching Whispers,optionalfeature,PHB,true,false,,pending,
Bigby's Hand,spell,PHB; XPHB,true,true,,pending,
Bit and bridle,item,PHB,true,false,,pending,
Black Bear,monster,MM; XMM,true,true,,pending,
Black Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Black Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Black Pudding,monster,MM; XMM,true,true,,pending,
Blade Barrier,spell,PHB; XPHB,true,true,,pending,
Blanket,item,PHB; XPHB,true,true,,pending,
Bless,spell,PHB; XPHB,true,true,,pending,
Blessed Healer,subclassFeature,PHB; XPHB,true,true,,pending,
Blessed Strikes,classFeature,XPHB,false,true,,pending,
Blight,spell,PHB; XPHB,true,true,,pending,
Blinded,condition,PHB; XPHB,true,true,,pending,
Blindness/Deafness,spell,PHB; XPHB,true,true,,pending,
Blindsense,classFeature,PHB,true,false,,pending,
Blindsight,sense,PHB; XPHB,true,true,,pending,
Blink,spell,PHB; XPHB,true,true,,pending,
Blink Dog,monster,MM; XMM,true,true,,pending,
Block and Tackle,item,PHB; XPHB,true,true,,pending,
Blood Hawk,monster,MM; XMM,true,true,,pending,
Bloodied,status,XPHB,false,true,,pending,
Blowgun,baseitem,PHB; XPHB,true,true,,pending,
Blowgun Needle,baseitem,PHB,true,false,,pending,
Blowgun Needles (50),baseitem,PHB,true,false,,pending,
Blue Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Blue Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Blur,spell,PHB; XPHB,true,true,,pending,
Boar,monster,MM; XMM,true,true,,pending,
Body and Mind,classFeature,XPHB,false,true,,pending,
Bolt,baseitem,XPHB,false,true,,pending,
Bolts (20),baseitem,XPHB,false,true,,pending,
Bone Devil,monster,MM; XMM,true,true,,pending,
Bonus Action,variantrule,XPHB,false,true,,pending,
Bonus Cantrip,subclassFeature,PHB,true,false,,pending,
Bonus Proficiencies,subclassFeature,PHB; XPHB,true,true,,pending,
Bonus Proficiency,subclassFeature,PHB,true,false,,pending,
Bonus Unarmed Strike,classFeature,XPHB,false,true,,pending,
Book,item,PHB; XPHB,true,true,,pending,
Book of Ancient Secrets,optionalfeature,PHB,true,false,,pending,
Boon of Combat Prowess,feat,XPHB,false,true,,pending,
Boon of Dimensional Travel,feat,XPHB,false,true,,pending,
Boon of Fate,feat,XPHB,false,true,,pending,
Boon of Irresistible Offense,feat,XPHB,false,true,,pending,
Boon of Spell Recall,feat,XPHB,false,true,,pending,
Boon of the Night Spirit,feat,XPHB,false,true,,pending,
Boon of Truesight,feat,XPHB,false,true,,pending,
Boots of Elvenkind,item,DMG; XDMG,true,true,,pending,
Boots of Levitation,item,DMG; XDMG,true,true,,pending,
Boots of Speed,item,DMG; XDMG,true,true,,pending,
Boots of Striding and Springing,item,DMG; XDMG,true,true,,pending,
Boots of the Winterlands,item,DMG; XDMG,true,true,,pending,
Bowl of Commanding Water Elementals,item,DMG; XDMG,true,true,,pending,
Bracers of Archery,item,DMG; XDMG,true,true,,pending,
Bracers of Defense,item,DMG; XDMG,true,true,,pending,
Branding Smite,spell,PHB,true,false,,pending,
Brass Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Brass Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Brazier of Commanding Fire Elementals,item,DMG; XDMG,true,true,,pending,
Bread (loaf),item,XPHB,false,true,,pending,
Breaking Objects,variantrule,XPHB,false,true,,pending,
Breastplate,baseitem,PHB; XPHB,true,true,,pending,
Brewer's Supplies,baseitem,PHB; XPHB,true,true,,pending,
Brigantia,deity,PHB,true,false,,pending,
Bright Light,variantrule,XPHB,false,true,,pending,
Bronze Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Bronze Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Brooch of Shielding,item,DMG; XDMG,true,true,,pending,
Broom of Flying,item,DMG; XDMG,true,true,,pending,
Brown Bear,monster,MM; XMM,true,true,,pending,
Brutal Critical (1 die),classFeature,PHB,true,false,,pending,
Brutal Critical (2 dice),classFeature,PHB,true,false,,pending,
Brutal Critical (3 dice),classFeature,PHB,true,false,,pending,
Brutal Strike,classFeature,XPHB,false,true,,pending,
Bucket,item,PHB; XPHB,true,true,,pending,
Bugbear,card; monster,DMG; MM,true,false,,pending,
Bugbear Stalker,monster,XMM,false,true,,pending,
Bugbear Warrior,monster,XMM,false,true,,pending,
Bulette,monster,MM; XMM,true,true,,pending,
Bullseye Lantern,item,PHB; XPHB,true,true,,pending,
Burglar's Pack,item,PHB; XPHB,true,true,,pending,
Burning Hands,spell,PHB; XPHB,true,true,,pending,
Burnt Othur Fumes,item,DMG; XDMG,true,true,,pending,
Burrow Speed,variantrule,XPHB,false,true,,pending,
Cackle Fever,disease,DMG; XDMG,true,true,,pending,
Call Lightning,spell,PHB; XPHB,true,true,,pending,
Calligrapher's Supplies,baseitem,PHB; XPHB,true,true,,pending,
Calm Emotions,spell,PHB; XPHB,true,true,,pending,
Caltrop,item,PHB,true,false,,pending,
Caltrops,item,XPHB,false,true,,pending,
Caltrops (bag of 20),item,PHB,true,false,,pending,
Camel,item; monster,MM; PHB; XMM; XPHB,true,true,,pending,
Campaign,variantrule,XPHB,false,true,,pending,
Candle,item,PHB; XPHB,true,true,,pending,
Candle of Invocation,item,DMG; XDMG,true,true,,pending,
Cantrip,variantrule,XPHB,false,true,,pending,
Canvas (1 sq. yd.),item,PHB; XDMG,true,true,,pending,
Cape of the Mountebank,item,DMG; XDMG,true,true,,pending,
Careful Spell,optionalfeature,PHB; XPHB,true,true,,pending,
Carpenter's Tools,baseitem,PHB; XPHB,true,true,,pending,
Carpet of Flying,itemGroup,XDMG,false,true,,pending,
"Carpet of Flying, 3 ft. × 5 ft.",item,DMG; XDMG,true,true,,pending,
"Carpet of Flying, 4 ft. × 6 ft.",item,DMG; XDMG,true,true,,pending,
"Carpet of Flying, 5 ft. × 7 ft.",item,DMG; XDMG,true,true,,pending,
"Carpet of Flying, 6 ft. × 9 ft.",item,DMG; XDMG,true,true,,pending,
Carriage,item,PHB; XPHB,true,true,,pending,
Carrion Crawler Mucus,item,DMG; XDMG,true,true,,pending,
Carrying Capacity,variantrule,XPHB,false,true,,pending,
Cart,item,PHB; XPHB,true,true,,pending,
Cartographer's Tools,baseitem,PHB; XPHB,true,true,,pending,
Cast a Spell,action,PHB,true,false,,pending,
Cat,monster,MM; XMM,true,true,,pending,
Celestial,language,PHB; XPHB,true,true,,pending,
Censer of Controlling Air Elementals,item,DMG; XDMG,true,true,,pending,
Centaur,monster,MM,true,false,,pending,
Centaur Trooper,monster,XMM,false,true,,pending,
Chain,item,XPHB,false,true,,pending,
Chain (10 feet),item,PHB,true,false,,pending,
Chain Devil,monster,MM; XMM,true,true,,pending,
Chain Lightning,spell,PHB; XPHB,true,true,,pending,
Chain Mail,baseitem,PHB; XPHB,true,true,,pending,
Chain Shirt,baseitem,PHB; XPHB,true,true,,pending,
Chains of Carceri,optionalfeature,PHB,true,false,,pending,
Chalk (1 piece),item,PHB,true,false,,pending,
Challenge Rating,variantrule,XPHB,false,true,,pending,
Champion,subclass; subclassFeature,PHB; XPHB,true,true,,pending,
Channel Divinity,classFeature; subclassFeature,PHB; XPHB,true,true,,pending,
Channel Divinity: Preserve Life,subclassFeature,PHB,true,false,,pending,
Channel Divinity: Turn Undead,classFeature,PHB,true,false,,pending,
Character Sheet,variantrule,XPHB,false,true,,pending,
Chariot,item,PHB; XPHB,true,true,,pending,
Charm Monster,spell,XPHB,false,true,,pending,
Charm Person,spell,PHB; XPHB,true,true,,pending,
Charmed,condition,PHB; XPHB,true,true,,pending,
Cheese (wedge),item,XPHB,false,true,,pending,
Chest,item,PHB; XPHB,true,true,,pending,
Chicken,item,PHB; XDMG,true,true,,pending,
Chill Touch,spell,PHB; XPHB,true,true,,pending,
Chime of Opening,item,DMG; XDMG,true,true,,pending,
Chimera,monster,MM; XMM,true,true,,pending,
Chromatic Orb,spell,XPHB,false,true,,pending,
Chunk of Meat,item,PHB,true,false,,pending,
Chuul,monster,MM; XMM,true,true,,pending,
Cinnamon,item,PHB; XDMG,true,true,,pending,
Circle of Death,spell,PHB; XPHB,true,true,,pending,
Circle of the Land,subclass; subclassFeature,PHB; XPHB,true,true,,pending,
Circle of the Land Spells,subclassFeature,XPHB,false,true,,pending,
Circle Spells,subclassFeature,PHB,true,false,,pending,
Circlet of Blasting,item,DMG; XDMG,true,true,,pending,
Clairvoyance,spell,PHB; XPHB,true,true,,pending,
Clay Golem,monster,MM; XMM,true,true,,pending,
Cleansing Touch,classFeature,PHB,true,false,,pending,
Cleave,itemMastery,XPHB,false,true,,pending,
Cleric,class,PHB; XPHB,true,true,,pending,
Cleric Subclass,classFeature,XPHB,false,true,,pending,
Climb Speed,variantrule,XPHB,false,true,,pending,
Climber's Kit,item,PHB; XPHB,true,true,,pending,
Climbing,variantrule,XPHB,false,true,,pending,
Cloak of Arachnida,item,DMG; XDMG,true,true,,pending,
Cloak of Displacement,item,DMG; XDMG,true,true,,pending,
Cloak of Elvenkind,item,DMG; XDMG,true,true,,pending,
Cloak of Invisibility,item,XDMG,false,true,,pending,
Cloak of Protection,item,DMG; XDMG,true,true,,pending,
Cloak of the Bat,item,DMG; XDMG,true,true,,pending,
Cloak of the Manta Ray,item,DMG; XDMG,true,true,,pending,
Cloaker,monster,MM; XMM,true,true,,pending,
Clone,spell,PHB; XPHB,true,true,,pending,
Cloud Giant,card; monster,DMG; MM; XMM,true,true,,pending,
Cloudkill,spell,PHB; XPHB,true,true,,pending,
Cloves,item,PHB; XDMG,true,true,,pending,
Club,baseitem,PHB; XPHB,true,true,,pending,
Cobbler's Tools,baseitem,PHB; XPHB,true,true,,pending,
Cockatrice,monster,MM; XMM,true,true,,pending,
Collapsing Roof,trap,DMG; XDMG,true,true,,pending,
College of Lore,subclass; subclassFeature,PHB; XPHB,true,true,,pending,
Color Spray,spell,PHB; XPHB,true,true,,pending,
Colossus Slayer,subclassFeature,PHB,true,false,,pending,
Comet,card,DMG; XDMG,true,true,,pending,
Command,spell,PHB; XPHB,true,true,,pending,
Common,language,PHB; XPHB,true,true,,pending,
Common Clothes,item,PHB,true,false,,pending,
Common Sign Language,language,XPHB,false,true,,pending,
Common Wine (bottle),item,XPHB,false,true,,pending,
Common Wine (pitcher),item,PHB,true,false,,pending,
Commoner,monster,MM; XMM,true,true,,pending,
Commune,spell,PHB; XPHB,true,true,,pending,
Commune with Nature,spell,PHB; XPHB,true,true,,pending,
Component Pouch,item,PHB; XPHB,true,true,,pending,
Comprehend Languages,spell,PHB; XPHB,true,true,,pending,
Compulsion,spell,PHB; XPHB,true,true,,pending,
Concentration,status,PHB; XPHB,true,true,,pending,
Condition,variantrule,XPHB,false,true,,pending,
Cone [Area of Effect],variantrule,XPHB,false,true,,pending,
Cone of Cold,spell,PHB; XPHB,true,true,,pending,
Confusion,spell,PHB; XPHB,true,true,,pending,
Conjure Animals,spell,PHB; XPHB,true,true,,pending,
Conjure Celestial,spell,PHB; XPHB,true,true,,pending,
Conjure Elemental,spell,PHB; XPHB,true,true,,pending,
Conjure Fey,spell,PHB; XPHB,true,true,,pending,
Conjure Minor Elementals,spell,PHB; XPHB,true,true,,pending,
Conjure Woodland Beings,spell,PHB; XPHB,true,true,,pending,
Constrictor Snake,monster,MM; XMM,true,true,,pending,
Contact Other Plane,spell,PHB; XPHB,true,true,,pending,
Contact Patron,classFeature,XPHB,false,true,,pending,
Contagion,spell,PHB; XPHB,true,true,,pending,
Contingency,spell,PHB; XPHB,true,true,,pending,
Continual Flame,spell,PHB; XPHB,true,true,,pending,
Control Water,spell,PHB; XPHB,true,true,,pending,
Control Weather,spell,PHB; XPHB,true,true,,pending,
Cook's Utensils,baseitem,PHB; XPHB,true,true,,pending,
Copper,item,PHB; XDMG,true,true,,pending,
Copper Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Copper Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Costume,item,XPHB,false,true,,pending,
Costume Clothes,item,PHB,true,false,,pending,
Cotton Cloth (1 sq. yd.),item,PHB; XDMG,true,true,,pending,
Couatl,monster,MM; XMM,true,true,,pending,
Countercharm,classFeature,PHB; XPHB,true,true,,pending,
Counterspell,spell,PHB; XPHB,true,true,,pending,
Cover,variantrule,XPHB,false,true,,pending,
Cow,item,PHB; XDMG,true,true,,pending,
Crab,monster,MM; XMM,true,true,,pending,
Crawling,variantrule,XPHB,false,true,,pending,
Create Food and Water,spell,PHB; XPHB,true,true,,pending,
Create or Destroy Water,spell,PHB; XPHB,true,true,,pending,
Create Undead,spell,PHB; XPHB,true,true,,pending,
Creation,spell,PHB; XPHB,true,true,,pending,
Creature,variantrule,XPHB,false,true,,pending,
Creature Type,variantrule,XPHB,false,true,,pending,
Criminal,background,XPHB,false,true,,pending,
Critical Hit,variantrule,XPHB,false,true,,pending,
Crocodile,monster,MM; XMM,true,true,,pending,
Crossbow Bolt,baseitem,PHB,true,false,,pending,
Crossbow Bolt Case,item,PHB; XPHB,true,true,,pending,
Crossbow Bolts (20),baseitem,PHB,true,false,,pending,
Crowbar,item,PHB; XPHB,true,true,,pending,
Crystal,baseitem,PHB; XPHB,true,true,,pending,
Crystal Ball,item,DMG; XDMG,true,true,,pending,
Crystal Ball of Mind Reading,item,XDMG,false,true,,pending,
Crystal Ball of Telepathy,item,XDMG,false,true,,pending,
Crystal Ball of True Seeing,item,XDMG,false,true,,pending,
Cube [Area of Effect],variantrule,XPHB,false,true,,pending,
Cube of Force,item,DMG; XDMG,true,true,,pending,
Cubic Gate,item,DMG; XDMG,true,true,,pending,
Cult Fanatic,monster,MM,true,false,,pending,
Cultist,monster,MM; XMM,true,true,,pending,
Cultist Fanatic,monster,XMM,false,true,,pending,
Cunning Action,classFeature,PHB; XPHB,true,true,,pending,
Cunning Strike,classFeature,XPHB,false,true,,pending,
Cure Wounds,spell,PHB; XPHB,true,true,,pending,
Curses,variantrule,XPHB,false,true,,pending,
Cutting Words,subclassFeature,PHB; XPHB,true,true,,pending,
Cylinder [Area of Effect],variantrule,XPHB,false,true,,pending,
D20 Test,variantrule,XPHB,false,true,,pending,
Daern's Instant Fortress,item,DMG; XDMG,true,true,,pending,
Dagger,baseitem,PHB; XPHB,true,true,,pending,
Dagger of Venom,item,DMG; XDMG,true,true,,pending,
Damage,variantrule,XPHB,false,true,,pending,
Damage Roll,variantrule,XPHB,false,true,,pending,
Damage Threshold,variantrule,XPHB,false,true,,pending,
Damage Types,table; variantrule,PHB; XPHB,true,true,,pending,
Dancing Lights,spell,PHB; XPHB,true,true,,pending,
Danger Sense,classFeature,PHB; XPHB,true,true,,pending,
Dark One's Blessing,subclassFeature,PHB; XPHB,true,true,,pending,
Dark One's Own Luck,subclassFeature,PHB; XPHB,true,true,,pending,
Darkmantle,monster,MM; XMM,true,true,,pending,
Darkness,spell; variantrule,PHB; XPHB,true,true,,pending,
Darkvision,sense; spell,PHB; XPHB,true,true,,pending,
Dart,baseitem,PHB; XPHB,true,true,,pending,
Dash,action,PHB; XPHB,true,true,,pending,
Daylight,spell,PHB; XPHB,true,true,,pending,
Daze (Cost: 2d6),classFeature,XPHB,false,true,,pending,
Dead,variantrule,XPHB,false,true,,pending,
Deafened,condition,PHB; XPHB,true,true,,pending,
Death Dog,monster,MM; XMM,true,true,,pending,
Death Saving Throw,variantrule,XPHB,false,true,,pending,
Death Ward,spell,PHB; XPHB,true,true,,pending,
Decanter of Endless Water,item,DMG; XDMG,true,true,,pending,
Deception,skill,PHB; XPHB,true,true,,pending,
Deck of Illusions,deck; item,DMG; XDMG,true,true,,pending,
Deck of Many Things,deck; item,DMG; XDMG,true,true,,pending,
Deep Gnome (Svirfneblin),monster,MM,true,false,,pending,
Deep Speech,language,PHB; XPHB,true,true,,pending,
Deer,monster,MM; XMM,true,true,,pending,
Defense,feat; optionalfeature,PHB; XPHB,true,true,,pending,
Defensive Tactics,subclassFeature,PHB; XPHB,true,true,,pending,
Deflect Attacks,classFeature,XPHB,false,true,,pending,
Deflect Energy,classFeature,XPHB,false,true,,pending,
Deflect Missiles,classFeature,PHB,true,false,,pending,
Deft Explorer,classFeature,XPHB,false,true,,pending,
Delayed Blast Fireball,spell,PHB; XPHB,true,true,,pending,
Demeter,deity,PHB,true,false,,pending,
Demiplane,spell,PHB; XPHB,true,true,,pending,
