book,context,english,zh_tw,status
VNotEE,/data/0/entries/6/entries/5/entries/14/name,N13: Cultist Quarters,N13: 邪教徒的宿舍,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/3/name,Being Sneaky,悄無聲息,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/4/name,Interrogating the Cultists,審問邪教徒,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/4/entries/1/items/0/name,Cult Leader,邪教頭目,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/4/entries/1/items/1/name,Cult Worship,邪教的信仰,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/4/entries/1/items/2/name,Delvin's Fate,戴爾文的命運,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/14/entries/5/name,Treasure,寶藏,existing-site
VNotEE,/data/0/entries/6/entries/5/entries/15/name,N14: Eldritch Library,N14: 詭秘書屋,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/15/entries/2/items/0/name,Cult Experiments,邪教的實驗,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/15/entries/2/items/1/name,Others?,別的呢？,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/15/entries/3/name,Trapped Lockbox,陷阱與鎖盒,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/16/name,N15: Ritual Chamber,N15: 儀式廳,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/16/entries/4/name,Vecna Appears,維克那登場,project-proposed
VNotEE,/data/0/entries/6/entries/6/name,Vecna's Supernatural Gifts,維克那的超自然贈禮,project-proposed
VNotEE,/data/0/entries/7/name,Concluding the Adventure,結束冒險,project-proposed
VNotEE,/data/0/entries/7/entries/1/name,Continuing the Campaign,繼續戰役,project-proposed
VNotEE,/data/0/entries/8/name,Credits,製作組,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/0/name,Lead Designer:,首席設計師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/1/name,Art Director:,藝術總監：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/2/name,Designer:,設計師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/3/name,Rules Developer:,規則開發：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/4/name,Editors:,編輯：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/5/name,Graphic Designer:,平面設計師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/6/name,Cover Illustrator:,封面插畫師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/7/name,Cartographer:,地圖作者：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/8/name,Illustrator:,插畫師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/9/name,Consultants:,顧問：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/10/name,Game Architects:,遊戲設計師：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/11/name,Studio Art Director:,工作室藝術總監：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/12/name,Senior Producer:,總出品人：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/13/name,Producer:,出品人：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/0/items/14/name,Product Manager:,產品經理：,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/1/name,D&D Beyond,D&D Beyond,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/1/entries/0/items/0/name,Product Manager,產品經理,project-proposed
VNotEE,/data/0/entries/8/entries/0/entries/0/items/1/entries/0/items/1/name,Digital Design Team,數字設計團隊,project-proposed
VEoR,/data/0/name,Introduction: Danger to the Multiverse,介紹：對多元宇宙的威脅,project-proposed
VEoR,/data/0/entries/5/name,Existence in Peril,存在受到威脅,project-proposed
VEoR,/data/0/entries/5/entries/1/name,The Ritual of Remaking,重塑儀式,project-proposed
VEoR,/data/0/entries/6/name,Vecna's History,維克那的歷史,project-proposed
VEoR,/data/0/entries/6/entries/2/name,Kas and Vecna,凱斯和維克那,project-proposed
VEoR,/data/0/entries/7/name,Kas's Plan,凱斯的計劃,project-proposed
VEoR,/data/0/entries/7/entries/3/name,Domain of Dread Parolee,恐懼領域：假釋者之域,project-proposed
VEoR,/data/0/entries/7/entries/4/name,The Wizards Three,三巫師,project-proposed
VEoR,/data/0/entries/7/entries/4/entries/6/name,Kas's Sword,凱斯之劍,project-proposed
VEoR,/data/0/entries/7/entries/5/name,Confronting Vecna,面對維克那,project-proposed
VEoR,/data/0/entries/7/entries/5/entries/1/name,The Rod's Pieces,魔杖的碎片,project-proposed
VEoR,/data/0/entries/8/name,Adventure Summary,冒險摘要,project-proposed
VEoR,/data/0/entries/8/entries/1/items/0/name,Discovering Vecna's Activity,發現維克那的活動,project-proposed
VEoR,/data/0/entries/8/entries/1/items/1/name,Seeking the Rod,尋找法杖,project-proposed
VEoR,/data/0/entries/8/entries/1/items/2/name,Stopping the Ritual of Remaking,阻止重塑儀式,project-proposed
VEoR,/data/0/entries/8/entries/2/name,Chapter 1 Summary,第一章摘要,project-proposed
VEoR,/data/0/entries/8/entries/3/name,Chapter 2 Summary,第二章摘要,project-proposed
VEoR,/data/0/entries/8/entries/4/name,Chapter 3 Summary,第三章摘要,project-proposed
VEoR,/data/0/entries/8/entries/5/name,Chapter 4 Summary,第四章摘要,project-proposed
VEoR,/data/0/entries/8/entries/6/name,Chapter 5 Summary,第五章摘要,project-proposed
VEoR,/data/0/entries/8/entries/7/name,Chapter 6 Summary,第六章摘要,project-proposed
VEoR,/data/0/entries/8/entries/8/name,Chapter 7 Summary,第七章摘要,project-proposed
VEoR,/data/0/entries/8/entries/9/name,Chapter 8 Summary,第八章摘要,project-proposed
VEoR,/data/0/entries/8/entries/10/name,Chapter 9 Summary,第9章摘要,project-proposed
VEoR,/data/0/entries/8/entries/11/name,Chapter 10 Summary,第10章概要,project-proposed
VEoR,/data/0/entries/8/entries/12/name,Chapter 11 Summary,第11章概要,project-proposed
VEoR,/data/0/entries/9/name,Running the Adventure,運作冒險,project-proposed
VEoR,/data/0/entries/9/entries/6/name,Using the Maps,使用地圖,project-proposed
VEoR,/data/0/entries/9/entries/6/entries/1/name,Interior Maps,內頁地圖,project-proposed
VEoR,/data/0/entries/9/entries/7/name,Nondeadly Resolutions,非致命解決方式,project-proposed
VEoR,/data/0/entries/10/name,Character Creation,建立角色,project-proposed
VEoR,/data/0/entries/10/entries/1/name,Existing Characters,現有角色,project-proposed
VEoR,/data/0/entries/10/entries/2/name,New Characters,新角色,project-proposed
VEoR,/data/0/entries/11/name,The Power of Secrets,秘密的力量,project-proposed
VEoR,/data/0/entries/11/entries/3/name,Learning Secrets,學習秘密,project-proposed
VEoR,/data/0/entries/11/entries/3/entries/1/name,Revealing Secrets,揭示秘密,project-proposed
VEoR,/data/0/entries/11/entries/3/entries/2/name,Keeping Secrets,保守秘密,project-proposed
VEoR,/data/0/entries/11/entries/4/name,Linked to Vecna,與維克那相連,project-proposed
VEoR,/data/0/entries/12/name,Challenge Ratings,挑戰等級,project-proposed
VEoR,/data/1/name,Chapter 1: Return from Neverdeath Graveyard,第1章：從無冬墓園歸來,project-proposed
VEoR,/data/1/entries/4/name,Running This Chapter,運作本章,project-proposed
VEoR,/data/1/entries/4/entries/1/name,Character Advancement,角色升級,existing-site
VEoR,/data/1/entries/4/entries/2/name,Power of Secrets,秘密的力量,project-proposed
VEoR,/data/1/entries/4/entries/2/entries/1/items/0/name,Indrina's Secret,因德里娜的秘密,project-proposed
VEoR,/data/1/entries/4/entries/2/entries/1/items/1/name,Sarcelle's Secret,薩塞勒的秘密,project-proposed
VEoR,/data/1/entries/4/entries/2/entries/1/items/2/name,Umberto's Secret,翁貝托的秘密,project-proposed
VEoR,/data/1/entries/4/entries/3/name,Lower-Level and Higher-Level Characters,低等級和高等級角色,project-proposed
VEoR,/data/1/entries/5/name,Getting Started,開始,project-proposed
VEoR,/data/1/entries/5/entries/11/name,Neverdeath Graveyard,無冬墓園,project-proposed
VEoR,/data/1/entries/6/name,In the Graveyard,在墓地,project-proposed
VEoR,/data/1/entries/6/entries/1/name,General Features,通用特徵,project-proposed
VEoR,/data/1/entries/6/entries/1/entries/1/name,Broken Stone,殘破石,project-proposed
VEoR,/data/1/entries/6/entries/1/entries/2/name,Ceilings,天花板,existing-site
VEoR,/data/1/entries/6/entries/1/entries/3/name,Doors,門,existing-site
VEoR,/data/1/entries/6/entries/1/entries/4/name,Lighting,光照,existing-site
VEoR,/data/1/entries/6/entries/1/entries/5/name,Vestiges of the Waterclock Guild,水鍾公會的遺蹟,project-proposed
VEoR,/data/1/entries/6/entries/2/name,Neverdeath Catacomb Locations,無冬墓園地下墓穴位置,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/2/name,C1: Hallix Mausoleum,C1: 哈利克斯陵墓,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/2/entries/3/name,Noisy Investigations,嘈雜的調查,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/3/name,C2: Lower Mausoleum,C2: 下層陵墓,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/3/entries/4/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/3/entries/5/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/4/name,C3: Uneven Chamber,C3: 不均勻的房間,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/5/name,C4: Trapped Grate,C4: 困住的格柵,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/5/entries/3/name,Grate Trap,格柵陷阱,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/5/entries/4/name,Notes,備註,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/5/entries/5/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/6/name,C5: Sarcelle's Cell,C5: 薩塞勒的牢房,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/6/entries/6/name,Sarcelle's Secret,薩塞勒的秘密,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/7/name,C6: Supply Room,C6: 補給室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/7/entries/2/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/8/name,C7: Fountain Room,C7: 噴泉室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/8/entries/5/items/0/name,Cult Activity,邪教活動,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/8/entries/5/items/1/name,Neighbor,鄰居,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/8/entries/5/items/2/name,Prisoner,囚犯,existing-site
VEoR,/data/1/entries/6/entries/2/entries/8/entries/6/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/9/name,C8: East Pressure Room,C8: 東壓力室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/9/entries/3/name,Minimum Pressure,最小壓力,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/9/entries/4/name,Maximum Pressure,最大壓力,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/10/name,C9: Clockwork Alcove,C9: 發條壁龕,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/10/entries/2/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/name,C10: Improvised Workshop,C10: 臨時工作室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/4/name,Shanzezim's Lore,珊澤辛的傳說,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/4/entries/1/items/0/name,Clock Assembly,鐘錶組裝,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/4/entries/1/items/1/name,Cult Activity,邪教活動,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/4/entries/1/items/2/name,Pipe System,管道系統,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/4/entries/1/items/3/name,Waterclock Guild,水鍾公會,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/5/name,Beyond the Rubble,瓦礫之外,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/11/entries/6/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/12/name,C11: Umberto's Cell,C11: 翁貝托的牢房,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/12/entries/4/name,Umberto's Secret,翁貝托的秘密,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/13/name,C12: West Pressure Room,C12: 西側壓力室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/13/entries/2/name,Minimum Pressure,最小壓力,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/13/entries/3/name,Maximum Pressure,最大壓力,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/14/name,C13: Wall Crossing,C13: 牆壁穿越,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/15/name,C14: Common Room,C14: 公共休息室,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/15/entries/3/name,A Noisy Fight,一場喧鬧的戰鬥,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/15/entries/4/name,Unholy Basin,不潔之盆,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/16/name,C15: Kitchen,C15: 廚房,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/17/name,C16: Subleader Quarters,C16: 副領導宿舍,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/17/entries/3/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/18/name,C17: Library,C17: 圖書館,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/18/entries/5/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/18/entries/6/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/6/entries/2/entries/19/name,C18: Vacant Cell,C18: 空置牢房,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/19/entries/3/name,Eldon's Notebook,埃爾登的筆記本,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/20/name,C19: Demon Lair,C19: 惡魔巢穴,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/20/entries/2/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/21/name,C20: Indrina's Cell,C20: 因德里娜的牢房,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/21/entries/4/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/21/entries/5/name,Indrina's Secret,因德里娜的秘密,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/22/name,C21: Haunted Room,C21: 鬧鬼的房間,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/23/name,C22: Latrine,C22: 廁所,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/23/entries/1/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/24/name,C23: Corridor,C23: 走廊,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/24/entries/2/name,Made an Example,樹立了榜樣,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/25/name,C24: Empty Crypts,C24: 空墓穴,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/26/name,C25: Leader's Room,C25: 領袖的房間,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/26/entries/5/name,Jerot's Papers,傑羅特的檔案,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/26/entries/6/name,Secret Door,暗門,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/27/name,C26: Sacrifice Gallery,C26: 獻祭畫廊,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/27/entries/5/name,The Cage,籠子,project-proposed
VEoR,/data/1/entries/6/entries/2/entries/28/name,Fight's End,戰鬥的結束,project-proposed
VEoR,/data/1/entries/7/name,Escaping Evernight,逃離永夜城,project-proposed
VEoR,/data/1/entries/7/entries/3/name,Link to Vecna,與維克那的連結,project-proposed
VEoR,/data/1/entries/7/entries/3/entries/1/entries/0/name,Vecna's Link,維克那的連結,project-proposed
VEoR,/data/1/entries/7/entries/4/name,Evernight,永夜城,project-proposed
VEoR,/data/1/entries/7/entries/5/name,Evernight Awakening,永夜城覺醒,project-proposed
VEoR,/data/1/entries/7/entries/5/entries/3/entries/0/name,Eldon's Latest Imprisonment,埃爾登的最新囚禁,project-proposed
VEoR,/data/1/entries/7/entries/5/entries/3/entries/1/name,Eldon's Notebook,埃爾登的筆記本,project-proposed
VEoR,/data/1/entries/7/entries/6/name,The Corpse Market,屍體市場,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/2/name,The Market's Goods,市場的商品,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/3/name,Market Clientele,市場顧客,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/name,Meeting Sangora,遇見桑戈拉,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/entries/7/items/0/name,Evernight,永夜城,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/entries/7/items/1/name,Neverwinter,無冬城,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/entries/7/items/2/name,Crevices of Dusk,黃昏的裂縫,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/entries/7/items/3/name,Stable Crevice of Dusk,穩定的黃昏裂縫,project-proposed
VEoR,/data/1/entries/7/entries/6/entries/4/entries/7/items/4/name,Dolindars,多林達爾,project-proposed
VEoR,/data/1/entries/8/name,Dolindar Tomb,多林達爾墓穴,project-proposed
VEoR,/data/1/entries/8/entries/1/name,General Features,通用特徵,project-proposed
VEoR,/data/1/entries/8/entries/1/entries/1/name,Unending Isolation,無盡的孤獨,project-proposed
VEoR,/data/1/entries/8/entries/1/entries/2/name,Stone Construction,石質結構,project-proposed
VEoR,/data/1/entries/8/entries/1/entries/3/name,Lighting,光照,existing-site
VEoR,/data/1/entries/8/entries/1/entries/4/name,Doors,門,existing-site
VEoR,/data/1/entries/8/entries/1/entries/5/name,Ceilings,天花板,existing-site
VEoR,/data/1/entries/8/entries/2/name,Dolindar Tomb Locations,多林達爾墓穴位置,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/2/name,B1: Portico,B1: 門廊,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/name,B2: Hall,B2: 大廳,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/5/name,Talking with Newmy,與紐米交談,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/5/entries/1/items/0/name,Crypt Cleaner,墓穴清潔工,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/5/entries/1/items/1/name,Lonely Family,孤獨的家族,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/5/entries/1/items/2/name,Puzzle Buttons,謎題按鈕,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/5/entries/1/items/3/name,Restless Dead,不眠亡者,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/3/entries/6/name,Newmy's Room,紐米的房間,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/4/name,B3: Lost Dolindars,B3: 迷失的多林達爾,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/4/entries/2/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/8/entries/2/entries/5/name,B4: Vault,B4: 金庫,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/5/entries/2/name,Treasure,寶藏,existing-site
VEoR,/data/1/entries/8/entries/2/entries/6/name,B5: Puzzle Door,B5: 謎題門,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/7/name,B6: Matriarch's Chamber,B6: 女族長的房間,project-proposed
VEoR,/data/1/entries/8/entries/2/entries/7/entries/3/name,Blades,刀刃,existing-site
VEoR,/data/1/entries/8/entries/2/entries/7/entries/4/name,In the Coffin,在棺材裡,project-proposed
VEoR,/data/1/entries/8/entries/3/name,The Cult Scatters,邪教四散,project-proposed
VEoR,/data/1/entries/9/name,What's Next?,後續？,project-proposed
VEoR,/data/2/name,Chapter 2: The Wizards Three,第2章：三巫師,project-proposed
VEoR,/data/2/entries/2/name,Running This Chapter,運作本章,project-proposed
VEoR,/data/2/entries/2/entries/3/name,Character Advancement,角色升級,existing-site
VEoR,/data/2/entries/2/entries/4/name,Power of Secrets,秘密的力量,project-proposed
VEoR,/data/2/entries/2/entries/4/entries/1/items/0/name,Gertrude's Secret,格特魯德的秘密,project-proposed
VEoR,/data/2/entries/2/entries/4/entries/1/items/1/name,Mordenkainen's Secret,魔鄧肯的秘密,project-proposed
VEoR,/data/2/entries/2/entries/5/name,First Rod Piece,第一部分法杖,project-proposed
VEoR,/data/2/entries/3/name,After Neverdeath,無冬墓園事件之後,project-proposed
VEoR,/data/2/entries/3/entries/1/name,Vecna's Link,維克那的連結,project-proposed
VEoR,/data/2/entries/3/entries/2/name,During the Interim,在過渡期間,project-proposed
VEoR,/data/2/entries/4/name,Rise of the Lich-God,巫妖神的崛起,project-proposed
VEoR,/data/2/entries/4/entries/2/name,The Archmages' Desperation,大法師們的絕望,project-proposed
VEoR,/data/2/entries/5/name,The Sigil Sanctum,法印城聖所,project-proposed
VEoR,/data/2/entries/5/entries/2/name,Magic in the Sanctum,聖所中的魔法,project-proposed
VEoR,/data/2/entries/5/entries/2/entries/2/items/0/name,Banishment,放逐術,existing-site
VEoR,/data/2/entries/5/entries/2/entries/2/items/1/name,Extradimensional Space,異次元空間,project-proposed
VEoR,/data/2/entries/5/entries/2/entries/2/items/2/name,Planar Travel,位面旅行,project-proposed
VEoR,/data/2/entries/5/entries/2/entries/2/items/3/name,Summoning,召喚,project-proposed
VEoR,/data/2/entries/5/entries/2/entries/2/items/4/name,Teleportation,傳送,existing-site
VEoR,/data/2/entries/5/entries/2/entries/2/items/5/name,Teleportation Circles,傳送法陣,project-proposed
VEoR,/data/2/entries/5/entries/3/name,General Features,通用特徵,project-proposed
VEoR,/data/2/entries/5/entries/3/entries/1/name,Ceilings,天花板,existing-site
VEoR,/data/2/entries/5/entries/3/entries/2/name,Doors,門,existing-site
VEoR,/data/2/entries/5/entries/3/entries/3/name,Lighting,光照,existing-site
VEoR,/data/2/entries/5/entries/3/entries/4/name,Safe from Prying Eyes,免受窺探的安全,project-proposed
VEoR,/data/2/entries/5/entries/3/entries/5/name,Walls,牆壁,project-proposed
VEoR,/data/2/entries/5/entries/4/name,Sanctum Locations,聖所地點,project-proposed
VEoR,/data/2/entries/5/entries/4/entries/2/name,S1: Library,S1: 圖書館,project-proposed
VEoR,/data/2/entries/5/entries/4/entries/3/name,S2: Parlor,S2: 客廳,project-proposed
