english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
Algra,阿爾格拉,project-proposed,canonical-name,VEoR,25,data/1/entries/6/entries/2/entries/17/entries/1,1,"Two neutral evil {@creature Mage||mages}, an elf man named Hannel and a human woman named Algra, rest here. They are surly, taciturn zealots who venerated Vecna in secret for decades before joining the cult. They love exercising their authority over junior cultists. Each wears a necklace of human teeth in honor of their titles within the cult hierarchy as ""Teeth of Vecna."" They each carry a key to the prisoner cells ({@area areas C5|04c|x}, {@area C11|061|x}, {@area C18|077|x}, and {@area C20|07d|x}).",
Altar Trap,祭壇陷阱,draft-heading-proposed,heading-only,VEoR,140,data/7/entries/5/entries/3/entries/12/entries/2/items/2/entry,2,"This worthless {@item chest|PHB} contains a {@item Spell Scroll} of {@spell Knock}, which the altar trap values at 200 gp (see below).",祭壇陷阱
Altered Speech,改變的言語,draft-heading-proposed,heading-only,VEoR,82,data/4/entries/8/entries/4/entries/3/entries/2/items/0/name,1,Altered Speech,改變的言語
Alternative Entrance,替代入口,draft-heading-proposed,heading-only,VEoR,112,data/6/entries/5/entries/4/entries/2/entries/2/name,2,Alternative Entrance,替代入口
Althein,阿爾瑟因,project-proposed,matching-English-source-string-only,VEoR,179,data/10/entries/5/entries/6/entries/2/entries/1,2,"A drow {@creature assassin} named Althein and a wood elf {@creature mage} named Vendrasha, both faithful of Lolth, pray to the Spider Queen at the altar. Of the apparent four driders, three {@creature Drider||driders} are what they appear to be; the fourth is a {@creature phisarazu spyder-fiend|VEoR} (see {@adventure appendix A|VEoR|12}) named Rachazz, who is masquerading as a drider using its Change Shape ability.",阿爾泰因
Alustriel,艾拉斯卓,project-proposed,matching-English-source-string-only,VEoR,7,data/0/entries/7/entries/4/entries/0,150,"When the Dark Powers divulged Vecna's plan to Kas, the powers also whispered that Lady Alustriel Silverhand was marshaling allies to stop the lich. Kas didn't relish the thought of facing the might of one of the multiverse's most powerful good-aligned spellcasters, so the warlord devised a plot to trick Alustriel into helping him defeat Vecna.",艾露絲翠爾;阿魯斯特莉;阿露絲特瑞爾;阿盧斯蒂爾;阿盧斯特里爾;阿露斯蒂爾;阿露詩翠爾;阿勞斯特莉爾;阿露絲緹雅
Alustriel Silverhand,艾拉斯卓·銀手,existing-site,canonical-name,VEoR,7,data/0/entries/7/entries/4/entries/0,15,"When the Dark Powers divulged Vecna's plan to Kas, the powers also whispered that Lady Alustriel Silverhand was marshaling allies to stop the lich. Kas didn't relish the thought of facing the might of one of the multiverse's most powerful good-aligned spellcasters, so the warlord devised a plot to trick Alustriel into helping him defeat Vecna.",艾拉斯卓·銀手
Amplified Hum,增強嗡鳴,project-proposed,canonical-name,VEoR,202,data/11/entries/8/entries/2/entries/3/entries/2/entries/0,2,"The tunnel east of the door emanates an unpleasant humming sensation into creatures' minds. Though painful, the hum doesn't deal damage. Once a character crosses the threshold to area R3, the hum intensifies in volume and begins to deal damage (see the ""Amplified Hum"" section of area R3 below).",加強的嗡鳴
An Explanation,一個解釋,draft-heading-proposed,heading-only,VEoR,158,data/8/entries/5/entries/10/entries/4/entries/1,2,"Rezran, a greedy {@creature green abishai|MPMM} (see {@adventure appendix A|VEoR|12}), is the master of the casino's games of chance. His nickname ""Snake Eyes"" comes from his penchant for rolling ones in Triple Hydra (see the ""{@area Viridian Den|43f|x}"" section for an explanation of the game's rules). Rezran is an opportunist to his core, always chasing after riches. He is a devoted follower of Tiamat and covets the Dragon Queen's amassed wealth.",一個解釋
An Important Detail,一個重要細節,draft-heading-proposed,heading-only,VEoR,74,data/4/entries/5/name,1,An Important Detail,一個重要細節
Answering the Summons,回應召喚,existing-site,heading-only,VEoR,250,data/13/entries/9/entries/2/name,1,Answering the Summons,回應召喚
Antigravity Deactivated,反重力停用,draft-heading-proposed,heading-only,VEoR,91,data/4/entries/8/entries/6/entries/8/entries/1/items/0/name,1,Antigravity Deactivated,反重力停用
Antigravity Magic,反重力魔法,draft-heading-proposed,heading-only,VEoR,82,data/4/entries/8/entries/4/entries/1/name,3,Antigravity Magic,反重力魔法
Antigravity Wells,反重力井,draft-heading-proposed,heading-only,VEoR,82,data/4/entries/8/entries/4/entries/1/entries/1/items/0/name,7,Antigravity Wells,反重力井
Antimagic Field,反魔法場,existing-site,canonical-name,VEoR,127,data/6/entries/8/entries/9/entries/4/entries/2,1,"Nothing can physically pass through solid moonlight or teleport through it. It is immune to all damage and can't be dispelled by the {@spell Dispel Magic} spell. Any solid moonlight caught in the area of a {@spell Sunburst} spell is dispelled for 10 minutes. Solid moonlight also extends into the Ethereal Plane, blocking ethereal travel through it. The ritual is powered by the rod piece and is therefore unaffected by the {@spell Antimagic Field} spell.",反魔法場;抗魔場;反魔法領域
Appeasing Rerak,安撫雷拉克,draft-heading-proposed,heading-only,VEoR,147,data/7/entries/5/entries/3/entries/27/entries/2/name,1,Appeasing Rerak,安撫雷拉克
Appeasing the Statues,安撫雕像,draft-heading-proposed,heading-only,VEoR,143,data/7/entries/5/entries/3/entries/18/entries/5/name,1,Appeasing the Statues,安撫雕像
Appendix A: Bestiary,附錄A：怪物圖鑑,draft-heading-proposed,heading-only,VEoR,204,data/12/name,1,Appendix A: Bestiary,附錄A：怪物圖鑑
Appendix B: Character Dossier,附錄 B: 角色檔案,draft-heading-proposed,heading-only,VEoR,240,data/13/name,1,Appendix B: Character Dossier,附錄 B: 角色檔案
Appendix C: Secrets Tracker,附錄C：秘密追蹤器,draft-heading-proposed,heading-only,VEoR,256,data/14/name,1,Appendix C: Secrets Tracker,附錄C：秘密追蹤器
Approaching Death House,接近死亡之屋,draft-heading-proposed,heading-only,VEoR,96,data/5/entries/4/entries/7/name,1,Approaching Death House,接近死亡之屋
Approaching the Fen,接近沼澤,draft-heading-proposed,heading-only,VEoR,115,data/6/entries/6/entries/2/name,1,Approaching the Fen,接近沼澤
Arcane Portals,奧術傳送門,draft-heading-proposed,heading-only,VEoR,59,data/3/entries/6/entries/8/name,1,Arcane Portals,奧術傳送門
Archaeologist Camp,考古學家營地,draft-heading-proposed,heading-only,VEoR,131,data/7/entries/2/entries/4/entries/1/items/0/entry,2,"Marian Xavere, one of the archaeologists, holds a lifelong fascination with Acererak and the archlich's evil magic, and she was previously tempted to study necromancy. See the ""{@area Archaeologist Camp|37b|x}"" section later in this chapter for more information.",考古學家營地
Archways,拱道,draft-heading-proposed,heading-only,VEoR,39,data/2/entries/5/entries/3/entries/2/entries/0,7,"No doors separate areas S1–S3 of the sanctum, though open archways set off each area. The doors in areas S5–S7 of the sanctum are unlocked. The door to {@area area S8|0df|x}, Mordenkainen's room, is sealed with an {@spell Arcane Lock} spell that requires a successful {@dc 30} Dexterity ({@skill Sleight of Hand}) check using thieves' tools to open.",拱道
Area Features,區域特徵,draft-heading-proposed,heading-only,VNotEE,,data/0/entries/6/entries/4/name,1,Area Features,區域特徵
Area Locations,區域地點,draft-heading-proposed,heading-only,VNotEE,,data/0/entries/6/entries/5/name,1,Area Locations,區域地點
Areas of the Heart,心臟區域,draft-heading-proposed,heading-only,VEoR,70,data/3/entries/7/entries/1/entries/0,3,The areas of the heart of Havock have the following notable features:,心臟區域
Arekanz,阿雷坎茲,project-proposed,canonical-name,VEoR,197,data/11/entries/7/entries/5,11,"The astral dreadnought is called Arekanz. Arekanz has been consuming dead gods, but in this unreality, Vecna spitefully cursed the gods' remains to contaminate the dreadnought and induce its certain death. Arekanz is suffering the effects of the curse. It is so wracked with pain that it doesn't defend itself except to use its Donjon Visit legendary action.",
Arekanz's Donjon Locations,Arekanz的城堡地點,draft-heading-proposed,heading-only,VEoR,198,data/11/entries/7/entries/8/name,1,Arekanz's Donjon Locations,Arekanz的城堡地點
Argentia,阿金提亞,project-proposed,matching-English-source-string-only,VEoR,116,data/6/entries/7/entries/0,4,"Once the wardens are safe, a human werewolf named Argentia Skywright (use the {@creature werewolf} stat block, except her alignment is neutral good) thanks the characters on behalf of her group. She expands on what Riffel told the party earlier about the Three Moons Vault, conveying the following points:",阿金蒂亞;阿金蒂婭
Armor,護甲,existing-site,heading-only,VNotEE,,data/0/entries/5/entries/1/entries/0,28,An anguished scream erupts from a nearby alley. The sound comes from a slender human woman clad in the light leather armor of a scout or investigator. Clutched in her arms is the dead body of a human man clad in a tattered gray robe. The man and woman bear a striking resemblance to each other.,護甲
Arriving in Barovia,抵達巴羅維亞,draft-heading-proposed,heading-only,VEoR,93,data/5/entries/3/entries/1,2,"If the characters haven't already, allow them to research Barovia in Sigil or ask the wizards about the place, then convey the points listed in the ""Knowledge of Barovia"" section below. When you're ready to start the chapter, proceed to the ""{@area Arriving in Barovia|21e|x}"" section.",抵達巴羅維亞
Arriving on Krynn,抵達克萊恩,draft-heading-proposed,heading-only,VEoR,112,data/6/entries/4/name,1,Arriving on Krynn,抵達克萊恩
Arrow Trap,箭矢陷阱,draft-heading-proposed,heading-only,VEoR,136,data/7/entries/5/entries/3/entries/3/entries/1/name,1,Arrow Trap,箭矢陷阱
Art Department:,藝術部門：,draft-heading-proposed,heading-only,VEoR,,data/15/entries/0/items/22/name,1,Art Department:,藝術部門：
Art Director:,藝術總監：,draft-heading-proposed,heading-only,VNotEE,,data/0/entries/8/entries/0/entries/0/items/0/items/1/name,5,Art Director:,藝術總監：
Art Manager:,藝術管理：,draft-heading-proposed,heading-only,VEoR,,data/15/entries/0/items/21/name,1,Art Manager:,藝術管理：
Art Objects,藝術品,draft-heading-proposed,heading-only,VEoR,76,data/4/entries/6/entries/3/entries/6/entries/6/entries/1/items/0/name,3,Art Objects,藝術品
Assistance Needed,需要幫助,draft-heading-proposed,heading-only,VEoR,176,data/10/entries/4/entries/6/entries/1/entries/2/items/1/name,1,Assistance Needed,需要幫助
Astral Sea,星界海,project-proposed,matching-English-source-string-only,VEoR,10,data/0/entries/7/entries/5/entries/1/entries/1/rows/1/2,30,Astral Sea,星界海洋;星界之海;眾星之海
Aura of Slumber,沉睡之光,draft-heading-proposed,heading-only,VEoR,85,data/4/entries/8/entries/5/entries/11/entries/2/name,1,Aura of Slumber,沉睡之光
Avernus,阿弗納斯,draft-heading-proposed,heading-only,VEoR,10,data/0/entries/7/entries/5/entries/1/entries/1/rows/6/2,38,"Avernus, Nine Hells",阿弗納斯
Avoiding the War,避免戰爭,draft-heading-proposed,heading-only,VEoR,177,data/10/entries/4/entries/7/name,1,Avoiding the War,避免戰爭
Ayren Griffynstone,艾倫·格里芬石,project-proposed,canonical-name,VEoR,25,data/1/entries/6/entries/2/entries/18/entries/1/entries/1,2,"A stone coffin rests against the north wall, its top carved to look like pages of an open book. Engraved on the book's pages is a name: Ayren Griffynstone.",
B1: Portico,B1: 門廊,draft-heading-proposed,heading-only,VEoR,32,data/1/entries/8/entries/2/entries/2/name,1,B1: Portico,B1: 門廊
B2: Hall,B2: 大廳,draft-heading-proposed,heading-only,VEoR,33,data/1/entries/8/entries/2/entries/3/name,1,B2: Hall,B2: 大廳
B3: Lost Dolindars,B3: 迷失的多林達爾,draft-heading-proposed,heading-only,VEoR,34,data/1/entries/8/entries/2/entries/4/name,1,B3: Lost Dolindars,B3: 迷失的多林達爾
B4: Vault,B4: 金庫,draft-heading-proposed,heading-only,VEoR,34,data/1/entries/8/entries/2/entries/5/name,1,B4: Vault,B4: 金庫
B5: Puzzle Door,B5: 謎題門,draft-heading-proposed,heading-only,VEoR,34,data/1/entries/8/entries/2/entries/6/name,1,B5: Puzzle Door,B5: 謎題門
B6: Matriarch's Chamber,B6: 女族長的房間,draft-heading-proposed,heading-only,VEoR,34,data/1/entries/8/entries/2/entries/7/name,1,B6: Matriarch's Chamber,B6: 女族長的房間
Banishment,放逐術,existing-site,heading-only,VEoR,39,data/2/entries/5/entries/2/entries/2/items/0/name,3,Banishment,放逐術
Bargaining with Gazaia,與Gazaia討價還價,draft-heading-proposed,heading-only,VEoR,115,data/6/entries/5/entries/5/entries/2/name,1,Bargaining with Gazaia,與Gazaia討價還價
Barovia,巴洛維亞,draft-heading-proposed,heading-only,VEoR,10,data/0/entries/7/entries/5/entries/1/entries/1/rows/3/2,27,"Death House, Barovia",巴洛維亞
Barrier Dropped,屏障解除,draft-heading-proposed,heading-only,VEoR,91,data/4/entries/8/entries/6/entries/8/entries/1/items/1/name,1,Barrier Dropped,屏障解除
Befriending Abalahin,與阿巴拉欣結友,draft-heading-proposed,heading-only,VEoR,138,data/7/entries/5/entries/3/entries/10/entries/3/name,1,Befriending Abalahin,與阿巴拉欣結友
Beginning the Adventure,開始冒險,draft-heading-proposed,heading-only,VNotEE,,data/0/entries/4/name,1,Beginning the Adventure,開始冒險
Being Sneaky,悄無聲息,draft-heading-proposed,heading-only,VNotEE,,data/0/entries/6/entries/5/entries/14/entries/3/name,2,Being Sneaky,悄無聲息
Beyond the Rubble,瓦礫之外,draft-heading-proposed,heading-only,VEoR,23,data/1/entries/6/entries/2/entries/11/entries/5/name,1,Beyond the Rubble,瓦礫之外
Bigby,畢格比,project-proposed,canonical-name,VEoR,249,data/13/entries/7/entries/2/entries/1,1,"As his fame on Oerth grew, Mordenkainen became the leader of a powerful group of spellcasters called the Circle of Eight. The group included several wizards who similarly pioneered new spells, including Tenser and Bigby. Eventually, the circle disbanded after it stopped an uprising organized by Vecna. That development fueled Mordenkainen's lifelong hatred of the lich.",
Bittergrass Fen,苦草沼澤,draft-heading-proposed,heading-only,VEoR,115,data/6/entries/6/name,10,Bittergrass Fen,苦草沼澤
Bittergrass Fen Features,苦草沼澤特徵,draft-heading-proposed,heading-only,VEoR,116,data/6/entries/6/entries/4/name,1,Bittergrass Fen Features,苦草沼澤特徵
Black Moonlight Mirror,黑月光鏡,draft-heading-proposed,heading-only,VEoR,125,data/6/entries/8/entries/8/entries/29/entries/2/name,5,Black Moonlight Mirror,黑月光鏡
Blade Scouting Party,刀刃偵察隊,draft-heading-proposed,heading-only,VEoR,75,data/4/entries/6/entries/2/entries/3/entries/0,2,"There is no safe food to forage in the Mournland, and monsters are everywhere. If the party lingers too long between locations, introduce random encounters with creatures such as {@creature Blazebear|VEoR|blazebears} (see {@adventure appendix A|VEoR|12}) or blade scouting parties (see the ""{@area Blade Scouting Party|1ba|x}"" section later in this chapter).",刀刃偵察隊
Blades,刀刃,existing-site,heading-only,VEoR,20,data/1/entries/6/entries/2/entries/5/entries/3/entries/0,21,"A character can detect the grate's trap by examining the grate and succeeding on a {@dc 14} Intelligence ({@skill Investigation}) check. The trap activates when more than 10 pounds of pressure is placed on the grate. Poisoned blades extend from grooves in the grate, dealing 14 ({@dice 4d6}) slashing damage to whatever triggered the trap, and if the target of the trap is a creature, it must succeed on a {@dc 14} Constitution saving throw or take 14 ({@dice 4d6}) poison damage. The trap resets after 1 minute.",刀刃
Blazing Bloody Jack (Costs 100 Talons),熾熱血腥傑克（花費100爪幣）,draft-heading-proposed,heading-only,VEoR,165,data/8/entries/7/entries/4/entries/2/entries/2/entries/1/items/0/name,1,Blazing Bloody Jack (Costs 100 Talons),熾熱血腥傑克（花費100爪幣）
Blingdenstone,布靈登石城,project-proposed,matching-English-source-string-only,VEoR,46,data/2/entries/10/entries/1,3,"Web's Edge is a hidden meeting place for agents of Lolth who operate throughout the Underdark beneath the Sword Coast, pursuing missions for the glory of their demon-god. These agents use Web's Edge to plot infiltration missions targeting virtuous clerical orders; to sabotage efforts to quash Lolth's worship; to orchestrate the upheaval of good-aligned governments; and to plan large-scale conversion efforts in Underdark cities, including Blingdenstone, Gracklstugh, and Mithral Hall.",布林登斯通
Blinx,布林克斯,project-proposed,canonical-name,VEoR,159,data/8/entries/6/entries/1/entries/4/entries/3,1,"One {@creature pit fiend} serves as security for the area. The six {@creature Nightmare||nightmares} (named Chicanery, Far Gambit, Blinx, Cursed Cavalry, Sunshroud, and Retribution) stamp impatiently in their stalls, and a {@creature barbed devil} jockey attends to each one.",
Blood War,血戰,draft-heading-proposed,heading-only,VEoR,149,data/8/entries/3/entries/1/entries/1/items/0/name,5,Blood War,血戰
Blue Circle,藍色圓圈,draft-heading-proposed,heading-only,VEoR,137,data/7/entries/5/entries/3/entries/6/entries/6/items/4/name,1,Blue Circle,藍色圓圈
Blue Feather of Habbakuk,哈巴庫克的藍色羽毛,draft-heading-proposed,heading-only,VEoR,197,data/11/entries/7/entries/7/name,1,Blue Feather of Habbakuk,哈巴庫克的藍色羽毛
Blue Fire Attack,藍火攻擊,draft-heading-proposed,heading-only,VEoR,116,data/6/entries/7/entries/2/items/0/name,1,Blue Fire Attack,藍火攻擊
Blue Square,藍色方塊,draft-heading-proposed,heading-only,VEoR,137,data/7/entries/5/entries/3/entries/6/entries/6/items/1/name,1,Blue Square,藍色方塊
Bobbing Spirit Lights,飄動的靈光,draft-heading-proposed,heading-only,VEoR,138,data/7/entries/5/entries/3/entries/10/entries/4/name,2,Bobbing Spirit Lights,飄動的靈光
Box Trap,盒子陷阱,draft-heading-proposed,heading-only,VEoR,141,data/7/entries/5/entries/3/entries/14/entries/4/name,1,Box Trap,盒子陷阱
Brelish,布魯蘭,project-proposed,matching-English-source-string-only,VEoR,83,data/4/entries/8/entries/5/entries/4/entries/1,2,"This area is separated from the rest of the caves by rickety metal sheets scavenged from the debris of Landro's right foot ({@area area L5|1da|x}). The area serves as a shelter for three Brelish soldiers who were transformed by the strange magic of the Day of Mourning. Use the {@creature fomorian} stat block for each soldier, except they are Large instead of Huge.",佈雷蘭
Bridge Puzzle,橋謎題,draft-heading-proposed,heading-only,VEoR,144,data/7/entries/5/entries/3/entries/23/entries/2/title,2,Map 7.4: Vortex Bridge Puzzle,橋謎題
Brimstone Springs (Costs 100 Talons),硫磺泉（花費100爪幣）,draft-heading-proposed,heading-only,VEoR,166,data/8/entries/7/entries/4/entries/4/entries/2/items/0/name,1,Brimstone Springs (Costs 100 Talons),硫磺泉（花費100爪幣）
Broken Control Helmet,損壞的控制頭盔,draft-heading-proposed,heading-only,VEoR,86,data/4/entries/8/entries/5/entries/18/entries/2/name,1,Broken Control Helmet,損壞的控制頭盔
Broken Stone,殘破石,draft-heading-proposed,heading-only,VEoR,19,data/1/entries/6/entries/1/entries/1/name,2,Broken Stone,殘破石
Bromtok,布羅姆托克,project-proposed,canonical-name,VEoR,53,data/2/entries/10/entries/6/entries/12/entries/4,2,"The devotees include a chaotic evil, elf {@creature assassin} named Jolera Hartoph; two {@creature Mage||mages} named Bromtok and Shiroktu, who are chaotic evil orcs; two {@creature Grimlock||grimlocks} named Roltharni and Sharlotte, who are chaotic evil; and an {@creature erinyes} named Fernitha.",
C10: Improvised Workshop,C10: 臨時工作室,draft-heading-proposed,heading-only,VEoR,22,data/1/entries/6/entries/2/entries/11/name,1,C10: Improvised Workshop,C10: 臨時工作室
C11: Umberto's Cell,C11: 烏姆貝託的牢房,draft-heading-proposed,heading-only,VEoR,23,data/1/entries/6/entries/2/entries/12/name,1,C11: Umberto's Cell,C11: 烏姆貝託的牢房
C12: West Pressure Room,C12: 西側壓力室,draft-heading-proposed,heading-only,VEoR,24,data/1/entries/6/entries/2/entries/13/name,1,C12: West Pressure Room,C12: 西側壓力室
C13: Wall Crossing,C13: 牆壁穿越,draft-heading-proposed,heading-only,VEoR,24,data/1/entries/6/entries/2/entries/14/name,1,C13: Wall Crossing,C13: 牆壁穿越
C14: Common Room,C14: 公共休息室,draft-heading-proposed,heading-only,VEoR,24,data/1/entries/6/entries/2/entries/15/name,1,C14: Common Room,C14: 公共休息室
C15: Kitchen,C15: 廚房,draft-heading-proposed,heading-only,VEoR,25,data/1/entries/6/entries/2/entries/16/name,1,C15: Kitchen,C15: 廚房
C16: Subleader Quarters,C16: 副領導宿舍,draft-heading-proposed,heading-only,VEoR,25,data/1/entries/6/entries/2/entries/17/name,1,C16: Subleader Quarters,C16: 副領導宿舍
C17: Library,C17: 圖書館,draft-heading-proposed,heading-only,VEoR,25,data/1/entries/6/entries/2/entries/18/name,1,C17: Library,C17: 圖書館
C18: Vacant Cell,C18: 空置牢房,draft-heading-proposed,heading-only,VEoR,26,data/1/entries/6/entries/2/entries/19/name,1,C18: Vacant Cell,C18: 空置牢房
C19: Demon Lair,C19: 惡魔巢穴,draft-heading-proposed,heading-only,VEoR,26,data/1/entries/6/entries/2/entries/20/name,1,C19: Demon Lair,C19: 惡魔巢穴
C1: Hallix Mausoleum,C1: 哈里克斯陵墓,draft-heading-proposed,heading-only,VEoR,19,data/1/entries/6/entries/2/entries/2/name,1,C1: Hallix Mausoleum,C1: 哈里克斯陵墓
C20: Indrina's Cell,C20: 印德琳的牢房,draft-heading-proposed,heading-only,VEoR,26,data/1/entries/6/entries/2/entries/21/name,1,C20: Indrina's Cell,C20: 印德琳的牢房
C21: Haunted Room,C21: 鬧鬼的房間,draft-heading-proposed,heading-only,VEoR,27,data/1/entries/6/entries/2/entries/22/name,1,C21: Haunted Room,C21: 鬧鬼的房間
C22: Latrine,C22: 廁所,draft-heading-proposed,heading-only,VEoR,27,data/1/entries/6/entries/2/entries/23/name,1,C22: Latrine,C22: 廁所
C23: Corridor,C23: 走廊,draft-heading-proposed,heading-only,VEoR,27,data/1/entries/6/entries/2/entries/24/name,1,C23: Corridor,C23: 走廊
C24: Empty Crypts,C24: 空墓穴,draft-heading-proposed,heading-only,VEoR,28,data/1/entries/6/entries/2/entries/25/name,1,C24: Empty Crypts,C24: 空墓穴
C25: Leader's Room,C25: 領袖的房間,draft-heading-proposed,heading-only,VEoR,28,data/1/entries/6/entries/2/entries/26/name,1,C25: Leader's Room,C25: 領袖的房間
C26: Sacrifice Gallery,C26: 獻祭畫廊,draft-heading-proposed,heading-only,VEoR,29,data/1/entries/6/entries/2/entries/27/name,1,C26: Sacrifice Gallery,C26: 獻祭畫廊
C2: Lower Mausoleum,C2: 下層陵墓,draft-heading-proposed,heading-only,VEoR,19,data/1/entries/6/entries/2/entries/3/name,1,C2: Lower Mausoleum,C2: 下層陵墓
C3: Uneven Chamber,C3: 不均勻的房間,draft-heading-proposed,heading-only,VEoR,19,data/1/entries/6/entries/2/entries/4/name,1,C3: Uneven Chamber,C3: 不均勻的房間
C4: Trapped Grate,C4: 困住的格柵,draft-heading-proposed,heading-only,VEoR,20,data/1/entries/6/entries/2/entries/5/name,1,C4: Trapped Grate,C4: 困住的格柵
C5: Sarcelle's Cell,C5: 薩塞爾的牢房,draft-heading-proposed,heading-only,VEoR,20,data/1/entries/6/entries/2/entries/6/name,1,C5: Sarcelle's Cell,C5: 薩塞爾的牢房
C6: Supply Room,C6: 補給室,draft-heading-proposed,heading-only,VEoR,21,data/1/entries/6/entries/2/entries/7/name,1,C6: Supply Room,C6: 補給室
