book,context,page,type,classification_confidence,english,zh_tw
VNotEE,data/0/entries/5/entries/4/entries/0/entries/2/entries/1,,DM_INSTRUCTION,0.85,"Kevori requests the characters' aid in uncovering who or what killed her brother while she returns to the Hall of Justice to inform Lord Neverember of these developments. She implores the characters to avenge her brother's death, but she also reminds the characters that Lord Neverember values information and will pay more for capturing cultists alive.",珂沃莉請求角色們幫助她揪出殺害她兄弟的幕後黑手，無論其是否是人類，同時她還要返回正義殿，向無燼領主彙報這些發現。她懇請角色們為她兄弟的死復仇，不過她也提醒角色們，無燼領主視情報為千金，如果能活捉邪教徒，他願意付更多的報酬。
VNotEE,data/0/entries/5/entries/5/name,,HEADING_LABEL,0.99,Investigating the Eyeball,調查眼球
VNotEE,data/0/entries/5/entries/5/entries/0,,NARRATIVE,0.8,"The eyeball serves as both a map and a key to the cult's hideout. When a creature holding the eyeball speaks the key phrase, ""Hail the Undying,"" the eyeball glows with green light before spinning to look in the direction of the cult's hideout (acting like a compass).",這顆眼球既是通往邪教藏身處的地圖，也是鑰匙。持握眼球的生物說出通關口令「不死者萬歲」時，眼球便會泛起綠光，隨後轉向邪教藏身處的方向，如同指南針一般。
VNotEE,data/0/entries/5/entries/5/entries/1,,DM_INSTRUCTION,0.85,"A {@spell Detect Magic} spell or similar effect reveals an aura of divination magic around the eyeball. Casting {@spell Identify} while targeting the eyeball reveals its function and its key phrase. Alternatively, a character can rifle through Delvin's pockets and find a slip of parchment with the key phrase scribbled on it.",一道{@spell Detect Magic||偵測魔法}法術或類似的效應會揭露眼球上的預言系魔法靈光。對這顆眼球施放{@spell Identify||鑑定術}可以揭示出其功用以及口令語。或者，一名角色可以翻找戴爾文的口袋找到一張潦草地寫著口令語的羊皮紙片。
VNotEE,data/0/entries/5/entries/5/entries/2,,DM_INSTRUCTION,0.85,"Following the activated eyeball's directions leads the characters to a catacomb entrance in one of the still-ruined sections of Neverwinter (see ""Into Neverwinter's Catacombs"").","跟隨啟用的眼球的方向會將角色們帶到無冬城地下一座已然被破壞的地下墓穴的入口。（見""進入無冬城地下墓穴""）"
VNotEE,data/0/entries/6/name,,HEADING_LABEL,0.99,Into Neverwinter's Catacombs,進入無冬城地下墓穴
VNotEE,data/0/entries/6/entries/0,,DM_INSTRUCTION,0.85,"Several months ago, cultists dedicated to Vecna commandeered sections of Neverwinter's catacombs for their nefarious purposes. The sect the characters are pursuing is in the western ruins of the city.",幾個月之前，一夥獻身於維克那的邪教徒們佔領了無冬城地下墓穴的一些區域，來完成他們的邪惡目的。角色們正在追查的教派紮根在城市西部的廢墟中。
VNotEE,data/0/entries/6/entries/1,,DM_INSTRUCTION,0.85,"Unless you decide otherwise, the characters encounter no difficulties following the eyeball's directions to a dilapidated entrance into the city's western catacombs. Read or paraphrase the following:",除非你另有打算，否則在眼球的指引下，角色們前往城市西部的地下墓穴的毀壞入口時不會遇到任何困難。請朗讀或複述下列文字：
VNotEE,data/0/entries/6/entries/2/entries/0,,READ_ALOUD,0.99,"The withered eyeball aims its empty gaze down an alley strewn with rubble. Rats scurry between chunks of old stone and dusty crates. At the back of the alley is a set of moldering wood boards, propped up just enough to block a dark tunnel leading below the surface.",乾癟的眼球將空洞的目光投向了一條瓦礫遍佈的小巷。老鼠在老舊的碎石和滿是塵土的板條箱之間遊走。在小巷深處，立著一排腐爛的木板，剛好擋住了一條通往地下的幽暗隧道。
VNotEE,data/0/entries/6/entries/3,,NARRATIVE,0.8,"The boards blocking the entrance to the catacombs can be moved easily, revealing a sloping tunnel ({@area area N1|011|x}).",擋著地下墓穴入口的木板可以輕易挪開，露出後面傾斜向下的甬道（{@area 區域N1|011|x}）。
VNotEE,data/0/entries/6/entries/4/name,,HEADING_LABEL,0.99,Area Features,區域特徵
VNotEE,data/0/entries/6/entries/4/entries/0,,NARRATIVE,0.8,"This adventure explores only a small section of Neverwinter's sprawling catacombs. Unless otherwise stated, areas of the catacombs shown in this adventure have the following features:",本篇冒險只探索了無冬城綿延不絕的地下墓穴中的一小部分。除非另有說明，否則本篇冒險中出現的地下墓穴區域都具有以下特徵：
VNotEE,data/0/entries/6/entries/4/entries/1/items/0/name,,HEADING_LABEL,0.99,Ceilings,天花板
VNotEE,data/0/entries/6/entries/4/entries/1/items/0/entry,,NARRATIVE,0.8,The ceilings throughout the catacombs are 10 feet high and made of roughly hewn stone.,地下墓穴的天花板高10尺，由粗糙開鑿的石頭製成。
VNotEE,data/0/entries/6/entries/4/entries/1/items/1/name,,HEADING_LABEL,0.99,Eyeball Compass,眼球指南針
VNotEE,data/0/entries/6/entries/4/entries/1/items/1/entry,,NARRATIVE,0.8,The activated eyeball continuously points in the direction of the cult hideout's entrance ({@area area N11|02d|x}). The eyeball is also needed to unlock the door in area N11.,啟用的眼球持續指向邪教徒窩點的入口（{@area 區域N11|02d|x}）。區域N11的大門同樣需要眼球來開啟。
VNotEE,data/0/entries/6/entries/4/entries/1/items/2/name,,HEADING_LABEL,0.99,Light,光線
VNotEE,data/0/entries/6/entries/4/entries/1/items/2/entry,,NARRATIVE,0.8,Rusted wall sconces hold lit torches. The area is dimly lit.,鏽跡斑斑的燈座上點著火把。這個區域是微光光照。
VNotEE,data/0/entries/6/entries/4/entries/1/items/3/name,,HEADING_LABEL,0.99,Walls and Floors,牆壁和地板
VNotEE,data/0/entries/6/entries/4/entries/1/items/3/entry,,NARRATIVE,0.8,"Walls are constructed of stone blocks and are slick with moisture, making climbing impossible without magic or gear. Floors are made from a mix of stone slabs and packed earth.",牆壁由石磚砌成，十分潮溼，不借助魔法或裝備無法攀爬。地板由石板和壓實的泥土組成。
VNotEE,data/0/entries/6/entries/5/name,,HEADING_LABEL,0.99,Area Locations,區域地點
VNotEE,data/0/entries/6/entries/5/entries/0,,NARRATIVE,0.8,The following locations are keyed to the Nest of the Eldritch Eye map.,以下地點已經在妖眼魔窟地圖上標出。
VNotEE,data/0/entries/6/entries/5/entries/1/images/0/title,,NARRATIVE,0.8,Map: Nest of the Eldritch Eye,地圖：妖眼魔窟
VNotEE,data/0/entries/6/entries/5/entries/1/images/1/title,,NARRATIVE,0.8,Player Version,玩家版本
VNotEE,data/0/entries/6/entries/5/entries/2/name,,HEADING_LABEL,0.99,N1: Entrance Tunnel,N1: 入口隧道
VNotEE,data/0/entries/6/entries/5/entries/2/entries/0,,DM_INSTRUCTION,0.85,"The tunnel proceeds at a downward slope, bringing the characters 20 feet beneath street level.",隧道斜向下延申，將角色引向街道下方20尺深處。
VNotEE,data/0/entries/6/entries/5/entries/3/name,,HEADING_LABEL,0.99,N2: Half-Collapsed Chamber,N2: 半毀的房間
VNotEE,data/0/entries/6/entries/5/entries/3/entries/0/entries/0,,READ_ALOUD,0.99,"The soft lapping of water echoes through this wide chamber. Wood and stone debris from collapsed buildings litter the area. Brackish water floods nearly half of the chamber, getting deeper toward a dark tunnel to the west.",輕柔的潺潺水聲迴盪在這個寬敞的房間裡。建築物崩毀留下的石材和木材滿地都是。鹹水淹沒了房間將近一半的面積，在通向西邊的幽暗隧道中越來越深。
VNotEE,data/0/entries/6/entries/5/entries/3/entries/1,,DM_INSTRUCTION,0.85,Characters who have a passive Wisdom ({@skill Perception}) score of 12 or higher notice the entrance to a cramped tunnel hidden behind some collapsed rubble to the south. A character who spends 1 minute clearing the rubble opens the entrance to a crawlspace ({@area area N7|024|x}).,被動感知（{@skill Perception||感知}）在12或以上的角色會注意到南邊一些崩毀的瓦礫後面掩藏著一條狹窄的隧道入口。一名角色可以花費1分鐘來清理乾淨瓦礫開啟通往爬行空間（{@area 區域N7|024|x}）的入口。
VNotEE,data/0/entries/6/entries/5/entries/3/entries/2/name,,HEADING_LABEL,0.99,Making a Skiff,製作木筏
VNotEE,data/0/entries/6/entries/5/entries/3/entries/2/entries/0,,MIXED,0.85,"Characters have the option of assembling a makeshift skiff from the debris here to make traversing the flooded area easier. A character attempting to assemble a skiff must make a {@dc 11} Wisdom ({@skill Survival}) check. On a successful check, the character makes a skiff sturdy enough to support up to two Medium or smaller creatures.",角色們可以選擇收集這裡的建築碎片組裝一支臨時木筏，以便更輕鬆地穿越這片被淹沒的區域。嘗試組裝木筏的角色必須成功透過一次{@dc 11}的感知（{@skill Survival||求生}）檢定。若成功，那麼該角色製作的木筏堅固程度足以承載至多兩名中型或更小的生物。
VNotEE,data/0/entries/6/entries/5/entries/3/entries/2/entries/1,,NARRATIVE,0.8,"While riding a skiff, a creature can use its movement to propel the skiff up to 20 feet in a direction of its choice.",在木筏上時，一個生物可以使用其移動力帶動木筏在其所選擇的方向上移動至多20尺。
VNotEE,data/0/entries/6/entries/5/entries/4/name,,HEADING_LABEL,0.99,N3: Flooded Tunnel,N3: 被淹沒的隧道
VNotEE,data/0/entries/6/entries/5/entries/4/entries/0,,NARRATIVE,0.8,"The water filling this tunnel is 3 feet deep; without the use of a skiff or other water vehicle, the water counts as {@book difficult terrain|PHB|8|Difficult Terrain} for Medium or larger creatures that lack a swimming speed, while Small and smaller creatures must swim to traverse the tunnel.",淹沒隧道的水深3尺；不使用木筏或其他水運載具的情況下，水體對於沒有游泳速度的中型或更大的生物被視為{@book 困難地形|PHB|8|Difficult Terrain}，而小型或更小的生物必須游泳才能透過隧道。
VNotEE,data/0/entries/6/entries/5/entries/4/entries/1/name,,HEADING_LABEL,0.99,Water Weird,水詭
VNotEE,data/0/entries/6/entries/5/entries/4/entries/1/entries/0,,NARRATIVE,0.8,A neutral evil {@creature water weird} lurks here. It tries to ambush and kill any creature that enters the tunnel.,一隻中立邪惡的{@creature water weird||水詭}潛伏於此。它試圖伏擊並殺死任何進入隧道的生物。
VNotEE,data/0/entries/6/entries/5/entries/4/entries/1/entries/1,,MIXED,0.85,"Upon entering the tunnel for the first time, a character who has a passive Wisdom ({@skill Perception}) score of 15 or higher notices odd waves and currents that suggest the presence of a creature in the water. If a character's passive Wisdom ({@skill Perception}) score is lower than 15, the character has disadvantage on their initiative roll when the water weird attacks.",在第一次進入隧道時，被動感知（{@skill Perception||感知}）為15或更高的角色會注意到奇怪的波浪和水流，這表明水中有生物存在。若角色的被動感知（{@skill Perception||感知}）低於15，則其在被水詭攻擊時進行的先攻檢定中具有劣勢。
VNotEE,data/0/entries/6/entries/5/entries/5/name,,HEADING_LABEL,0.99,N4: Cinerary Rotunda,N4: 圓頂骨灰堂
VNotEE,data/0/entries/6/entries/5/entries/5/entries/0/entries/0,,READ_ALOUD,0.99,"Glossy urns and cinerary boxes line the walls of this vaulted rotunda. Drifting in the center of the room above a drain is a ghostly, transparent, humanoid figure. The figure is clad in plate armor, and where a head should be, there is instead a featureless, luminescent orb.",這座圓頂大廳的牆壁上排滿了發著微光的骨灰甕和骨灰盒。房間中央的下水口上方漂浮著一個幽靈般的透明類人生物人影。人影穿著一身板甲，本該是頭的地方現在只有一個沒有任何特徵的光球。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/1,,DM_INSTRUCTION,0.85,"The neutral {@creature ghost} haunting this area has no memory of its name or existence in life—a fact which pains it greatly. Upon noticing the characters enter, the ghost beseeches them for help in recovering its previous identity. If the characters refuse, the ghost sulks but isn't hostile.",這個盤踞在這裡的絕對中立的{@creature ghost||幽魂}沒有任何關於它的名字或生前的記憶——這讓他痛苦萬分。當它注意到角色們進入時，這個幽魂懇求角色們幫助他找回生前的身份。若角色們拒絕了它幽魂就會開始生悶氣，但並不會敵對。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/2/name,,HEADING_LABEL,0.99,Discovering the Ghost's Identity,揭露幽魂的身份
VNotEE,data/0/entries/6/entries/5/entries/5/entries/2/entries/0,,DM_INSTRUCTION,0.85,The ghost is the spirit of the knight entombed in {@area area N6|01f|x}. Clues regarding the ghost's identity can be found in areas N5 and N6. A character who searches the rotunda for 10 minutes finds no clues related to the ghost in this room.,幽魂是被葬在{@area 區域N6|01f|x}中騎士的精魂。關於幽魂身份的資訊可以在區域N5和N6中找到。一名角色搜尋10分鐘圓頂大廳可以確定這裡沒有關於幽魂的線索。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/2/entries/1,,DM_INSTRUCTION,0.85,"To regain its identity, the ghost must hear its full name: Chanelle Hallwinter. If a character speaks this name aloud within 20 feet of the ghost, the featureless orb of the ghost's head coalesces into the face of a middle-aged human woman with braided hair, and the ghost's memories return. The ghost is grateful to the characters and resolves to aid them.",要重獲它的身份，這個幽魂必須聽到它的全名：香奈兒·海爾溫特。如果一名角色在幽魂20尺內大聲念出這個名字，這名幽魂就會感謝角色們並決定援助他們。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/name,,HEADING_LABEL,0.99,What the Ghost Knows,幽魂知道什麼
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/0,,DM_INSTRUCTION,0.85,"At first, the ghost remembers nothing about Delvin, the cult, or the catacombs. Once the ghost's identity has been restored, it remembers not only its life as Chanelle Hallwinter but also what it has witnessed while haunting these catacombs. The ghost can share the following information with the characters:",一開始，這個幽魂不記得任何關於戴爾文，邪教，或者地下墓穴的任何事。一旦幽魂的身份被召回，它不僅會想起自己叫香奈兒·海爾溫特，還會想起他在地下墓穴中游蕩時所目擊到的食物。這個幽魂可以和角色們分享以下資訊：
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/0/name,,HEADING_LABEL,0.99,Catacomb Invaders,地下墓穴入侵者
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/0/entry,,NARRATIVE,0.8,"A small group of Humanoids descended into the catacombs several months ago, whispering about strange rituals and secrets.",一小股類人生物幾個月前進入了地下墓穴，竊竊私語著有關怪異的儀式和秘密的資訊。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/1/name,,HEADING_LABEL,0.99,Delvin,戴爾文
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/1/entry,,NARRATIVE,0.8,"Chanelle saw a man matching Delvin's description flee through the rotunda from deeper within the catacombs, pursued by an individual in a hooded gray robe.",香奈兒看到一個與戴爾文描述相符的人從地下墓穴深處穿過圓形大廳，身後追著一個身穿兜帽黑袍的入侵者。
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/2/name,,HEADING_LABEL,0.99,Zombie Infestation,殭屍侵擾
VNotEE,data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/2/entry,,NARRATIVE,0.8,The crypt to the south of the rotunda was desecrated and now swarms with zombies.,圓頂大廳南邊的墓室被褻瀆了，現在裡面擠滿了殭屍。
VNotEE,data/0/entries/6/entries/5/entries/6/name,,HEADING_LABEL,0.99,N5: Tomb of the Mage,N5: 魔法師之墓
VNotEE,data/0/entries/6/entries/5/entries/6/entries/0/entries/0,,READ_ALOUD,0.99,"The smell of old parchment fills this tomb. Bookshelves carrying various tomes and scholarly implements stand against the walls. At the center is a stone, gold-painted sarcophagus, the sides of which bear a beautiful relief carving of two humanoid women exploring a forest together.",這座墳墓飄蕩著一股舊羊皮紙的氣味。靠牆的書架上擺滿了各式典籍和學術用具。墓室中央是一尊金色的彩繪石棺，側面雕刻著兩個類人生物女性一起探索森林的美麗浮雕。
VNotEE,data/0/entries/6/entries/5/entries/6/entries/1,,NARRATIVE,0.8,"This is the tomb of Makalia Siannodel, a female elf mage and the partner of the knight entombed in area N6.",這座墳墓屬於瑪卡莉亞·希亞諾戴爾，一名女性精靈魔法師，也是葬在區域N6的騎士的同伴。
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/name,,HEADING_LABEL,0.99,Discovering the Ghost's Identity,揭露幽魂的身份
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/entries/0,,DM_INSTRUCTION,0.85,"Characters who search this tomb find treasure (see ""Treasure"" below) and the following clues:","搜尋這間墓室的角色會發現財寶（見下文""寶藏""）並發現如下線索："
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/0/name,,HEADING_LABEL,0.99,Golden Locket,黃金吊墜
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/0/entry,,MIXED,0.85,"A heart-shaped golden locket sits on one of the bookshelves. The locket is locked but can be either pried open with a successful {@dc 11} Strength ({@skill Athletics}) check or picked open with a successful {@dc 10} Dexterity ({@skill Sleight of Hand}) check using thieves' tools. Inside is a small portrait of a human woman, next to which is the inscription, ""My dearest Chanelle.""","一座書架上有一條心形的金色吊墜。這個吊墜上了鎖，但是可以成功透過一次{@dc 11}的力量（{@skill Athletics||運動}）檢定或使用盜賊工具併成功透過一次{@dc 10}的敏捷（{@skill Sleight of Hand||巧手}）檢定來開啟弔墜。吊墜裡面有一張人類女性的肖像畫，旁邊刻著""我最親愛的香奈兒。"""
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/1/name,,HEADING_LABEL,0.99,Relief Details,浮雕細節
VNotEE,data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/1/entry,,NARRATIVE,0.8,One of the figures depicted in the sarcophagus's relief carving wears armor that matches the armor of the ghost in area N4.,石棺上的浮雕描繪的其中一個人物所穿的盔甲款式和區域N4的幽魂盔甲吻合。
VNotEE,data/0/entries/6/entries/5/entries/6/entries/3/name,,HEADING_LABEL,0.99,Treasure,寶藏
VNotEE,data/0/entries/6/entries/5/entries/6/entries/3/entries/0,,MIXED,0.85,Nestled among the bookshelves are five incense sticks (worth 10 gp each) and a {@item component pouch|PHB}. A character who inspects the area and succeeds on a {@dc 15} Intelligence ({@skill Investigation}) check also finds a hidden compartment in one of the shelved books. Inside is a {@item Spell Scroll} of {@spell Protection from Evil and Good}.,書架間有五支薰香（每支價值10gp）和一個{@item component pouch|PHB|材料包}。一名仔細檢查併成功透過{@dc 15}的智力（{@skill Investigation||調查}）檢定的角色還能在其中一本書後發現一個暗格，裡面有一張{@spell Protection from Evil and Good||防護善惡}的{@item Spell Scroll||法術卷軸}。
VNotEE,data/0/entries/6/entries/5/entries/7/name,,HEADING_LABEL,0.99,N6: Tomb of the Knight,N6: 騎士之墓
VNotEE,data/0/entries/6/entries/5/entries/7/entries/0/entries/0,,READ_ALOUD,0.99,"A stone, gold-painted sarcophagus rests in the center of this tomb. The sides of the sarcophagus bear a relief depicting two women gazing lovingly over a field and a city, and the lid has a faintly distinguishable family crest carved into it. Old weapons and decorated armor line the walls of this room.",墓室中央是一尊金色的彩繪石棺，側面雕刻著兩個女性深情地凝視著原野和城市的浮雕，棺蓋上還刻著一個模糊可辨的家族紋章。房間的牆壁上掛滿了老舊的武器和裝飾過的鎧甲。
VNotEE,data/0/entries/6/entries/5/entries/7/entries/1,,NARRATIVE,0.8,"This is the tomb of Chanelle Hallwinter, a female human knight and the partner of the mage entombed in area N5. This is also the tomb of the ghost found in {@area area N4|017|x}.",這間是香奈兒·海爾溫特的墓室，是葬在區域N5中的魔法師的人類女性騎士夥伴。這裡也是{@area 區域N4|017|x}中幽魂的墓室。
VNotEE,data/0/entries/6/entries/5/entries/7/entries/2/name,,HEADING_LABEL,0.99,Discovering the Ghost's Identity,揭露幽魂的身份
VNotEE,data/0/entries/6/entries/5/entries/7/entries/2/entries/0,,DM_INSTRUCTION,0.85,Characters who search this tomb for clues find the following pieces of information:,在這間墓室中搜查的角色會獲得以下資訊：
VNotEE,data/0/entries/6/entries/5/entries/7/entries/2/entries/1/items/0/name,,HEADING_LABEL,0.99,Family Crest,家族紋章
VNotEE,data/0/entries/6/entries/5/entries/7/entries/2/entries/1/items/0/entry,,MIXED,0.85,"Engraved on the lid of the sarcophagus is a coat of arms depicting a blunted six-point crown. A character who succeeds on a {@dc 10} Intelligence ({@skill History}) check recognizes this symbol as the crest of the Hallwinter family, whose lineage produced renowned knights throughout the Sword Coast.",石棺的蓋子上刻著一枚盾徽，上面有一個圓鈍的六角王冠的圖案。一名成功透過一次{@dc 10}的智力（{@skill History||歷史}）檢定的角色會認出這枚徽記是海爾溫特家族的紋章，許多劍灣的著名騎士都誕生於這個家族的血統。
VNotEE,data/0/entries/6/entries/5/entries/7/entries/2/entries/1/items/1/name,,HEADING_LABEL,0.99,Relief Details,浮雕細節
