english,zh_tw,category,status,source_paths
25E,25e,heading-label,project-proposed,data/19/entries/4/entries/26/entries/2/entries/5
26. Hidden Spiked Pit,26. 隱藏尖刺陷坑,heading-label,project-proposed,data/19/entries/4/entries/27
27. Dining Hall,27. 餐廳,heading-label,project-proposed,data/19/entries/4/entries/28
28. Larder,28. 食物儲藏櫃,heading-label,project-proposed,data/19/entries/4/entries/29
29. Ghoulish Encounter,29. 遭遇食屍鬼,heading-label,project-proposed,data/19/entries/4/entries/30
3. Den of Wolves,3. 狼窩,heading-label,project-proposed,data/19/entries/4/entries/4
3. The Sunsword,3. 太陽劍,heading-label,project-proposed,data/2/entries/2/entries/6/entries/6
30. Stairs Down,30. 下行臺階,heading-label,project-proposed,data/19/entries/4/entries/31
31. Darklord's Shrine,31. 黑暗領主的神龕,heading-label,project-proposed,data/19/entries/4/entries/32
32. Hidden Trapdoor,32. 隱藏活版門,heading-label,project-proposed,data/19/entries/4/entries/33
33. Cult Leaders' Den,33. 邪教徒領袖的窩點,heading-label,project-proposed,data/19/entries/4/entries/34
34. Cult Leaders' Quarters,34.邪教徒領袖臥室,heading-label,project-proposed,data/19/entries/4/entries/35
35. Reliquary,35. 聖物間,heading-label,project-proposed,data/19/entries/4/entries/36
36. Prison,36. 監獄,heading-label,project-proposed,data/19/entries/4/entries/37
37. Portcullis,37. 鐵閘門,heading-label,project-proposed,data/19/entries/4/entries/38
38. Ritual Chamber,38.儀式間,heading-label,project-proposed,data/19/entries/4/entries/39
4. Kitchen and Pantry,4. 廚房和食品儲藏間,heading-label,project-proposed,data/19/entries/4/entries/5
4. Strahd's Enemy,4. 施特拉德的敵人,heading-label,project-proposed,data/2/entries/2/entries/6/entries/7
5. Dining Room,5. 餐廳,heading-label,project-proposed,data/19/entries/4/entries/6
5. Strahd,5. 施特拉德,heading-label,project-proposed,data/2/entries/2/entries/6/entries/8
6. Upper Hall,6. 二樓大廳,heading-label,project-proposed,data/19/entries/4/entries/7
7. Servants' Room,7.僕人的房間,heading-label,project-proposed,data/19/entries/4/entries/8
8. Library,8. 圖書館,heading-label,project-proposed,data/19/entries/4/entries/9
9. Secret Room,9. 密室,heading-label,project-proposed,data/19/entries/4/entries/10
A Classic Retold,經典重述,heading-label,project-proposed,data/1/entries/4/entries/1
A Kindness of Wereravens,鴉人的親群,heading-label,existing-site,data/21/entries/5/entries/5/entries/2/entries/0
A Vistana's Tale,一個維斯塔尼人的故事,heading-label,project-proposed,data/3/entries/14/entries/8/entries/7
A. Old Svalich Road,A.斯瓦里奇老路,heading-label,project-proposed,data/3/entries/14/entries/2
About the Emerald Enclave,關於翠綠閒庭,heading-label,project-proposed,data/2/entries/3/entries/10/entries/5/entries/2
About the Harpers,關於豎琴手,heading-label,project-proposed,data/2/entries/3/entries/10/entries/3/entries/3
About the Lords' Alliance,關於領主聯盟,heading-label,project-proposed,data/2/entries/3/entries/10/entries/6/entries/4
About the Order of the Gauntlet,關於鐵手套教團,heading-label,project-proposed,data/2/entries/3/entries/10/entries/4/entries/2
About the Zhentarim,關於散塔林會,heading-label,project-proposed,data/2/entries/3/entries/10/entries/7/entries/2
Accomplishing Story Goals,完成故事目標,heading-label,project-proposed,data/1/entries/4/entries/8/entries/2/entries/0/items/2
Additional Art Direction,其他藝術指導,heading-label,project-proposed,data/24/entries/0/items/8
Adventure Hooks,冒險引子,heading-label,project-proposed,data/2/entries/3
Adventure Structure,冒險故事結構,heading-label,project-proposed,data/1/entries/4/entries/7
Aftermath,後續,heading-label,project-proposed,data/17/entries/3/entries/6
Age,歲月,heading-label,existing-site,data/1/entries/5/entries/4
Alterations to Magic,魔法的變化,heading-label,project-proposed,data/3/entries/7
Amber Sarcophagi,琥珀石棺,heading-label,project-proposed,data/14/entries/8/entries/44/entries/2/entries/1;data/14/entries/8/entries/54/entries/4
Angel in Disguise,偽裝的天使,heading-label,project-proposed,data/21/entries/3/entries/0/entries/1/entries/0
Animated Halberds,活化長戟,heading-label,project-proposed,data/5/entries/6/entries/17/entries/4/entries/8
Animated Objects,被活化的物件,heading-label,existing-site,data/21/entries/3/entries/1
Appendix A: Character Options,附錄A：角色選用項,heading-label,project-proposed,data/18
Appendix B: Death House,附錄B：死亡之屋,heading-label,project-proposed,data/19
Appendix C: Treasures,附錄C：寶藏,heading-label,project-proposed,data/20
Appendix D: Monsters and NPCs,附錄D：怪物與非玩家角色,heading-label,project-proposed,data/21
Appendix E: The Tarokka Deck,附錄E：塔羅卡牌組,heading-label,project-proposed,data/22
Appendix F: Handouts,附錄F：資料,heading-label,project-proposed,data/23
Approaching the Den,接近巢穴,heading-label,project-proposed,data/16/entries/9
Approaching the Mansion,接近宅邸,heading-label,project-proposed,data/8/entries/8
Approaching the Ruins,接近廢墟,heading-label,project-proposed,data/11/entries/6
Approaching the Tower,接近塔樓,heading-label,project-proposed,data/12/entries/6
Approaching the Town,接近城鎮,heading-label,project-proposed,data/6/entries/5
Approaching the Village,接近村莊,heading-label,project-proposed,data/4/entries/4
Approaching the Vineyard,接近葡萄園,heading-label,project-proposed,data/13/entries/13
Approaching the Windmill,接近風車,heading-label,project-proposed,data/7/entries/6
Approaching the Winery,接近釀酒廠,heading-label,project-proposed,data/13/entries/14
Areas of Argynvostholt,銀龍宅邸各區域,heading-label,project-proposed,data/8/entries/9
Areas of Barovia,巴洛維亞區域,heading-label,project-proposed,data/3/entries/14
Areas of Berez,柏瑞茲各區域,heading-label,project-proposed,data/11/entries/7
Areas of Krezk,克雷茨克村各區域,heading-label,project-proposed,data/9/entries/5
Areas of Vallaki,瓦拉吉區域,heading-label,project-proposed,data/6/entries/6
Areas of the Den,巢穴各區域,heading-label,project-proposed,data/16/entries/10
Areas of the Hill,丘陵各區域,heading-label,project-proposed,data/15/entries/3
Areas of the House,屋內各區域,heading-label,project-proposed,data/19/entries/4
Areas of the Pass,山道各區域,heading-label,project-proposed,data/10/entries/3
Areas of the Temple,神殿各區域,heading-label,project-proposed,data/14/entries/8
Areas of the Tower,塔樓各區域,heading-label,project-proposed,data/12/entries/7
Areas of the Village,村莊區域,heading-label,project-proposed,data/4/entries/5
Areas of the Windmill,風車各區域,heading-label,project-proposed,data/7/entries/7
Areas of the Winery,釀酒廠各區域,heading-label,project-proposed,data/13/entries/15
Arik the Barkeep,酒吧老闆阿里克,heading-label,project-proposed,data/4/entries/5/entries/3/entries/3/entries/1
Arrigal's Hunt,阿瑞加爾的追獵,heading-label,project-proposed,data/8/entries/10/entries/2
Art Director,美術指導,heading-label,project-proposed,data/24/entries/0/items/7
B. Gates of Barovia,B.巴洛維亞大門,heading-label,project-proposed,data/3/entries/14/entries/3
Baba Lysaga,芭芭·萊薩迦,heading-label,existing-site,data/21/entries/3/entries/2
Baba Lysaga's Creeping Hut,芭芭·萊薩迦的步行小屋,heading-label,existing-site,data/21/entries/3/entries/1/entries/2
Baba Lysaga's Traits,芭芭·萊薩迦的特質,heading-label,existing-site,data/21/entries/3/entries/2/entries/2
Barovian Calendar,巴洛維亞日曆,heading-label,project-proposed,data/3/entries/11/entries/2/entries/2
Barovian Commoners,巴羅維亞平民,heading-label,project-proposed,data/3/entries/13/entries/0/entries/6;data/5/entries/4/entries/3/entries/0
Barovian Lore,巴洛維亞傳聞,heading-label,project-proposed,data/3/entries/11
Barovian Names,巴洛維亞人名,heading-label,project-proposed,data/3/entries/8/entries/7
Barovian Scouts,巴羅維亞偵察兵,heading-label,project-proposed,data/3/entries/13/entries/0/entries/7
Barovian Villagers,巴洛維亞村民,heading-label,project-proposed,data/4/entries/4/entries/4/entries/3
Barovian Witch,巴洛維亞巫師,heading-label,existing-site,data/5/entries/4/entries/3/entries/1;data/21/entries/3/entries/3
Barovians,巴洛維亞人,heading-label,project-proposed,data/3/entries/8
Barovians and Nonhumans,巴洛維亞人與非人類種族,heading-label,project-proposed,data/3/entries/10
Beacon of Protection,防護燈塔,heading-label,project-proposed,data/8/entries/9/entries/54/entries/4/entries/3
Beliefs and Superstitions,信仰與迷信,heading-label,project-proposed,data/3/entries/11/entries/3;data/3/entries/12/entries/6/entries/3
Berserkers,狂戰士們,heading-label,existing-site,data/3/entries/13/entries/0/entries/8
Black Cat,黑貓,heading-label,project-proposed,data/5/entries/4/entries/3/entries/2
Blight Animosity,枯萎憎恨,heading-label,existing-site,data/21/entries/3/entries/4/entries/1/entries/1
"Blight, Tree",枯樹怪,heading-label,project-proposed,data/21/entries/3/entries/4
Blinded by Hatred,被仇恨矇蔽,heading-label,existing-site,data/21/entries/5/entries/4/entries/1/entries/2
Blinsky Toy,布林斯基玩具,heading-label,project-proposed,data/5/entries/4/entries/3/entries/3
Blood Spear of Kavan,喀萬的血矛,heading-label,project-proposed,data/15/entries/4/entries/2
Bloodhorn's Charge,血角的衝鋒,heading-label,project-proposed,data/10/entries/4/entries/2
Bond,牽掛,heading-label,existing-site,data/21/entries/3/entries/0/entries/2/entries/1;data/21/entries/3/entries/2/entries/2/entries/1;data/21/entries/3/entries/5/entries/2/entries/1;data/21/entries/4/entries/0/entries/3/entries/1;data/21/entries/4/entries/1/entries/2/entries/1;data/21/entries/4/entries/2/entries/2/entries/1;data/21/entries/4/entries/5/entries/4/entries/1;data/21/entries/5/entries/0/entries/2/entries/1;data/21/entries/5/entries/1/entries/2/entries/1;data/21/entries/5/entries/4/entries/2/entries/1
Bones of St. Andral,聖安德拉的骨頭,heading-label,project-proposed,data/6/entries/6/entries/1/entries/9
Booby Trap,詭雷,heading-label,project-proposed,data/12/entries/7/entries/1/entries/6
Bridal Gown,婚紗,heading-label,project-proposed,data/6/entries/6/entries/3/entries/20/entries/2
Bride of Strahd,施特拉德的新娘,heading-label,project-proposed,data/21/entries/3/entries/0/entries/1/entries/3
Broom of Animated Attack,活化戰鬥掃帚,heading-label,existing-site,data/5/entries/4/entries/3/entries/4;data/21/entries/3/entries/1/entries/3
Brothers and Sisters of Strahd,施特拉德的兄弟姐妹,heading-label,existing-site,data/21/entries/3/entries/3/entries/1/entries/0
Burgomaster Dmitri Krezkov,迪米特里·克雷茨科夫鎮長,heading-label,project-proposed,data/9/entries/5/entries/3/entries/6
Burgomaster's Cottage,村長小屋,heading-label,project-proposed,data/9/entries/5/entries/4/entries/3/entries/1
C. Svalich Woods,C.斯瓦里奇森林,heading-label,project-proposed,data/3/entries/14/entries/4
Camouflage Experts,偽裝專家,heading-label,existing-site,data/21/entries/4/entries/3/entries/1/entries/2
Card Reading,卡牌占卜,heading-label,project-proposed,data/2/entries/2/entries/6
Cartographer,製圖師,heading-label,existing-site,data/24/entries/0/items/22
Cartographers,製圖師,heading-label,project-proposed,data/24/entries/0/items/12
Cellar,地窖,heading-label,project-proposed,data/11/entries/7/entries/3/entries/6
Chamberlain,宮廷總管,heading-label,existing-site,data/21/entries/5/entries/0/entries/1/entries/1
Chapter 10: The Ruins of Berez,第10章：柏瑞茲廢墟,heading-label,project-proposed,data/11
Chapter 11: Van Richten's Tower,第11章：範·裡希騰之塔,heading-label,project-proposed,data/12
Chapter 12: The Wizard of Wines,第12章：美酒巫師莊園,heading-label,project-proposed,data/13
Chapter 13: The Amber Temple,第13章：琥珀神殿,heading-label,project-proposed,data/14
Chapter 14: Yester Hill,第14章：往日山丘,heading-label,project-proposed,data/15
Chapter 15: Werewolf Den,第15章：狼人巢穴,heading-label,project-proposed,data/16
Chapter 1: Into the Mists,第1章：踏入迷霧,heading-label,project-proposed,data/2
Chapter 2: The Lands of Barovia,第2章：巴洛維亞各地區,heading-label,project-proposed,data/3
Chapter 3: The Village of Barovia,第3章：巴洛維亞村,heading-label,project-proposed,data/4
Chapter 4: Castle Ravenloft,第4章：鴉閣城堡,heading-label,project-proposed,data/5
Chapter 5: The Town of Vallaki,第5章：瓦拉吉鎮,heading-label,project-proposed,data/6
Chapter 6: Old Bonegrinder,第6章：碾骨老磨坊,heading-label,project-proposed,data/7
Chapter 7: Argynvostholt,第7章：銀龍宅邸,heading-label,project-proposed,data/8
Chapter 8: The Village of Krezk,第8章：克雷茨克村,heading-label,project-proposed,data/9
Chapter 9: Tsolenka Pass,第9章：索倫卡山道,heading-label,project-proposed,data/10
Character Background,角色背景,heading-label,project-proposed,data/18/entries/0
Character Levels,角色等級,heading-label,project-proposed,data/1/entries/4/entries/8
Characters as Wereravens,鴉人角色,heading-label,existing-site,data/21/entries/5/entries/5/entries/2/entries/2
Charitable Collectors,慷慨的收藏家,heading-label,existing-site,data/21/entries/5/entries/5/entries/2/entries/1
Circle of Standing Stones,立石陣,heading-label,project-proposed,data/11/entries/7/entries/7/entries/4
Coins,錢幣,heading-label,project-proposed,data/22/entries/5/entries/3;data/22/entries/6/entries/3
Coins (Diamonds),錢幣（方塊）,heading-label,project-proposed,data/2/entries/2/entries/7/entries/3
Common Deck,通用牌組,heading-label,project-proposed,data/2/entries/2/entries/5/entries/1;data/22/entries/5
Commoner Cottages,平民小屋,heading-label,project-proposed,data/9/entries/5/entries/4/entries/3/entries/2
Composition,構圖,heading-label,project-proposed,data/22/entries/3
Concealed Door,暗門,heading-label,project-proposed,data/19/entries/4/entries/32/entries/3
Consorts Unleashed,獲得自由的吸血鬼伴侶們,heading-label,project-proposed,data/17/entries/3/entries/6/entries/5
Constructed Nature,構裝本質,heading-label,existing-site,data/21/entries/3/entries/1/entries/1/entries/0
Corpse,屍體,heading-label,existing-site,data/3/entries/13/entries/0/entries/9
Cosmetic Spell Modifications,咒語效果畸變,heading-label,project-proposed,data/3/entries/7/entries/3
Cottages,小屋,heading-label,project-proposed,data/9/entries/5/entries/4/entries/3
Court of the Count,伯爵的庭院,heading-label,project-proposed,data/5/entries/7
Cover Illustrator,封面插畫師,heading-label,project-proposed,data/24/entries/0/items/10
Crawling Claws,蠕行之爪們,heading-label,existing-site,data/5/entries/4/entries/3/entries/5
Crawling Strahd Zombie,蠕行施特拉德喪屍,heading-label,project-proposed,data/5/entries/4/entries/3/entries/6
Creative Consultants,創意顧問,heading-label,project-proposed,data/24/entries/0/items/1
Creatures (A-H),生物（A-H）,heading-label,project-proposed,data/21/entries/3
Creatures (I-Q),生物 (I-Q),heading-label,project-proposed,data/21/entries/4
Creatures (R-Z),生物（R-Z）,heading-label,project-proposed,data/21/entries/5
Credits,製作組,heading-label,project-proposed,data/24
Creeping Fog,蔓延之霧,heading-label,project-proposed,data/2/entries/3/entries/11
Creeping Hut,步行小屋,heading-label,project-proposed,data/11/entries/8/entries/1
Creepy Toys,詭異的玩具,heading-label,project-proposed,data/6/entries/6/entries/7/entries/5
Crypt 1,墓穴1,heading-label,project-proposed,data/5/entries/11/entries/13/entries/8
Crypt 10,墓穴10,heading-label,project-proposed,data/5/entries/11/entries/13/entries/19
Crypt 11,墓穴11,heading-label,project-proposed,data/5/entries/11/entries/13/entries/20
Crypt 12,墓穴12,heading-label,project-proposed,data/5/entries/11/entries/13/entries/21
Crypt 13,墓穴13,heading-label,project-proposed,data/5/entries/11/entries/13/entries/22
Crypt 14,墓穴14,heading-label,project-proposed,data/5/entries/11/entries/13/entries/23
Crypt 15,墓穴15,heading-label,project-proposed,data/5/entries/11/entries/13/entries/24
Crypt 16,墓穴16,heading-label,project-proposed,data/5/entries/11/entries/13/entries/25
Crypt 17,墓穴17,heading-label,project-proposed,data/5/entries/11/entries/13/entries/26
Crypt 18,墓穴18,heading-label,project-proposed,data/5/entries/11/entries/13/entries/27
Crypt 19,墓穴19,heading-label,project-proposed,data/5/entries/11/entries/13/entries/28
Crypt 2,墓穴2,heading-label,project-proposed,data/5/entries/11/entries/13/entries/9
Crypt 20,墓穴20,heading-label,project-proposed,data/5/entries/11/entries/13/entries/29
Crypt 21,墓穴21,heading-label,project-proposed,data/5/entries/11/entries/13/entries/30
Crypt 22,墓穴22,heading-label,project-proposed,data/5/entries/11/entries/13/entries/31
Crypt 23,墓穴23,heading-label,project-proposed,data/5/entries/11/entries/13/entries/32
Crypt 24,墓穴24,heading-label,project-proposed,data/5/entries/11/entries/13/entries/33
Crypt 25,墓穴25,heading-label,project-proposed,data/5/entries/11/entries/13/entries/34
Crypt 26,墓穴26,heading-label,project-proposed,data/5/entries/11/entries/13/entries/35
Crypt 27,墓穴27,heading-label,project-proposed,data/5/entries/11/entries/13/entries/36
Crypt 28,墓穴28,heading-label,project-proposed,data/5/entries/11/entries/13/entries/37
Crypt 29,墓穴29,heading-label,project-proposed,data/5/entries/11/entries/13/entries/38
Crypt 3,墓穴3,heading-label,project-proposed,data/5/entries/11/entries/13/entries/10
Crypt 30,墓穴30,heading-label,project-proposed,data/5/entries/11/entries/13/entries/39
Crypt 31,墓穴31,heading-label,project-proposed,data/5/entries/11/entries/13/entries/40
Crypt 32,墓穴32,heading-label,project-proposed,data/5/entries/11/entries/13/entries/42
Crypt 33,墓穴33,heading-label,project-proposed,data/5/entries/11/entries/13/entries/43
Crypt 34,墓穴34,heading-label,project-proposed,data/5/entries/11/entries/13/entries/44
Crypt 35,墓穴35,heading-label,project-proposed,data/5/entries/11/entries/13/entries/45
Crypt 36,墓穴36,heading-label,project-proposed,data/5/entries/11/entries/13/entries/46
Crypt 37,墓穴37,heading-label,project-proposed,data/5/entries/11/entries/13/entries/47
Crypt 38,墓穴38,heading-label,project-proposed,data/5/entries/11/entries/13/entries/49
Crypt 39,墓穴39,heading-label,project-proposed,data/5/entries/11/entries/13/entries/51
Crypt 4,墓穴4,heading-label,project-proposed,data/5/entries/11/entries/13/entries/11
Crypt 40,墓穴40,heading-label,project-proposed,data/5/entries/11/entries/13/entries/52
Crypt 5,墓穴5,heading-label,project-proposed,data/5/entries/11/entries/13/entries/12
Crypt 6,墓穴6,heading-label,project-proposed,data/5/entries/11/entries/13/entries/14
Crypt 7,墓穴7,heading-label,project-proposed,data/5/entries/11/entries/13/entries/15
Crypt 8,墓穴8,heading-label,project-proposed,data/5/entries/11/entries/13/entries/17
Crypt 9,墓穴9,heading-label,project-proposed,data/5/entries/11/entries/13/entries/18
Cultists,邪教徒們,heading-label,existing-site,data/6/entries/5/entries/5/entries/4
D&D Lead Designers,D&D首席設計師,heading-label,project-proposed,data/24/entries/0/items/6
D. River Ivlis,D.伊夫里斯河,heading-label,project-proposed,data/3/entries/14/entries/5
Deadly Vengeance,致命復仇,heading-label,existing-site,data/21/entries/5/entries/4/entries/1/entries/1
Dealing with Arrigal,與阿瑞加爾打交道,heading-label,project-proposed,data/6/entries/6/entries/9/entries/8/entries/5
Dealing with Luvash,與魯瓦斯打交道,heading-label,project-proposed,data/6/entries/6/entries/9/entries/8/entries/4
Death House's Features,死亡之屋特徵,heading-label,project-proposed,data/19/entries/3/entries/7/entries/1
Defeating Villains,擊敗反派,heading-label,project-proposed,data/1/entries/4/entries/8/entries/2/entries/0/items/1
Designers,設計師,heading-label,project-proposed,data/24/entries/0/items/2;data/24/entries/0/items/18
Details,細節,heading-label,project-proposed,data/1/entries/5/entries/7
Development,發展,heading-label,project-proposed,data/5/entries/6/entries/4/entries/5;data/5/entries/10/entries/4/entries/12;data/5/entries/11/entries/6/entries/8;data/5/entries/11/entries/13/entries/30/entries/7;data/6/entries/7/entries/1/entries/3;data/6/entries/7/entries/2/entries/2;data/6/entries/7/entries/3/entries/3;data/6/entries/7/entries/4/entries/4;data/8/entries/9/entries/17/entries/5;data/8/entries/9/entries/38/entries/8;data/9/entries/6/entries/1/entries/3;data/9/entries/6/entries/3/entries/7;data/9/entries/6/entries/4/entries/11;data/10/entries/4/entries/2/entries/8;data/12/entries/8/entries/1/entries/4;data/12/entries/8/entries/2/entries/3;data/13/entries/16/entries/1/entries/2;data/13/entries/16/entries/2/entries/3;data/14/entries/8/entries/25/entries/6;data/14/entries/8/entries/44/entries/2;data/14/entries/9/entries/1/entries/2;data/14/entries/9/entries/2/entries/1;data/15/entries/3/entries/4/entries/4;data/15/entries/4/entries/1/entries/4;data/16/entries/10/entries/3/entries/2;data/16/entries/11/entries/1/entries/4;data/19/entries/4/entries/21/entries/5;data/19/entries/4/entries/33/entries/1
Die Kinder,拯救孩子,heading-label,project-proposed,data/16/entries/11/entries/2
Dire Wolves,恐狼,heading-label,project-proposed,data/3/entries/13/entries/0/entries/10
Doll Collector,玩偶收藏家,heading-label,existing-site,data/21/entries/4/entries/0/entries/2/entries/2
Donkey-Headed Criminals,戴驢頭的罪犯,heading-label,project-proposed,data/6/entries/6/entries/8/entries/4
Doors,門,heading-label,existing-site,data/3/entries/14/entries/3/entries/6/entries/1
Dream Pastries,夢幻糕餅,heading-label,project-proposed,data/4/entries/6/entries/2;data/7/entries/5
Dreams of the Damned,被詛者的夢,heading-label,project-proposed,data/21/entries/4/entries/1/entries/1/entries/1
Druid and Twig Blights,德魯伊和枯枝怪,heading-label,project-proposed,data/3/entries/13/entries/0/entries/11
Druids' Ritual,德魯伊們的儀式,heading-label,project-proposed,data/15/entries/4/entries/1
Dumbwaiter,升降機,heading-label,project-proposed,data/19/entries/4/entries/5/entries/1;data/19/entries/4/entries/8/entries/1;data/19/entries/4/entries/13/entries/3
Dungeon Features,地下城特徵物,heading-label,project-proposed,data/19/entries/4/entries/22/entries/4
Dungeon and Catacombs,地牢與地下墓穴,heading-label,project-proposed,data/5/entries/11
Dusk Elves,黃昏精靈,heading-label,project-proposed,data/6/entries/6/entries/9/entries/4/entries/2
E. Village of Barovia,E.巴洛維亞村,heading-label,project-proposed,data/3/entries/14/entries/6
E1. Bildrath's Mercantile,E1.比爾德拉斯商行,heading-label,project-proposed,data/4/entries/5/entries/2
E2. Blood of the Vine Tavern,E2.葡萄藤之血酒館,heading-label,project-proposed,data/4/entries/5/entries/3
E3. Mad Mary's Townhouse,E3.瘋瑪麗的連排屋,heading-label,project-proposed,data/4/entries/5/entries/4
E4. Burgomaster's Mansion,E4.村長宅邸,heading-label,project-proposed,data/4/entries/5/entries/5
E5. Church,E5.教堂,heading-label,project-proposed,data/4/entries/5/entries/6
E5a. Hall,E5a.門廳,heading-label,project-proposed,data/4/entries/5/entries/6/entries/6
E5b. Doru's Bedroom,E5b. 多魯的臥室,heading-label,project-proposed,data/4/entries/5/entries/6/entries/7
E5c. Donavich's Bedroom,E5c.唐納維奇的臥室,heading-label,project-proposed,data/4/entries/5/entries/6/entries/8
E5d. Trapdoor,E5d. 活板門,heading-label,project-proposed,data/4/entries/5/entries/6/entries/9
E5e. Office,E5e. 辦公室,heading-label,project-proposed,data/4/entries/5/entries/6/entries/10
E5f. Chapel,E5f.聖堂,heading-label,project-proposed,data/4/entries/5/entries/6/entries/11
E5g. Undercroft,E5g. 地下室,heading-label,project-proposed,data/4/entries/5/entries/6/entries/12
E6. Cemetery,E6.公墓,heading-label,project-proposed,data/4/entries/5/entries/7
E7. Haunted House,E7. 鬼屋,heading-label,project-proposed,data/4/entries/5/entries/8
East Sarcophagus,東側石棺,heading-label,project-proposed,data/14/entries/8/entries/45/entries/1/entries/8;data/14/entries/8/entries/45/entries/2/entries/4;data/14/entries/8/entries/45/entries/3/entries/6;data/14/entries/8/entries/45/entries/4/entries/6;data/14/entries/8/entries/45/entries/6/entries/5;data/14/entries/8/entries/54/entries/4/entries/3
Eastern Casks,東部木桶區,heading-label,project-proposed,data/5/entries/10/entries/6/entries/3/entries/2
Editor,編輯,heading-label,project-proposed,data/24/entries/0/items/4;data/24/entries/0/items/19
Editorial Assistance,編輯助理,heading-label,project-proposed,data/24/entries/0/items/5
Emerald Enclave,翠綠閒庭,heading-label,project-proposed,data/2/entries/3/entries/10/entries/5
Endings,結局,heading-label,project-proposed,data/19/entries/5
Enemies of Strahd,施特拉德的敵人,heading-label,existing-site,data/21/entries/5/entries/4/entries/1/entries/0
Enter Vasili von Holtz,瓦西里·馮·霍爾茨登場,heading-label,project-proposed,data/21/entries/3/entries/0/entries/1/entries/2
Epilogue,尾聲,heading-label,project-proposed,data/17
Escape from Barovia,逃離巴洛維亞,heading-label,project-proposed,data/17/entries/3/entries/5
Evil Eye,邪眼,heading-label,existing-site,data/3/entries/12/entries/8
Evil Summoner,邪惡召喚者,heading-label,project-proposed,data/6/entries/6/entries/3/entries/20/entries/4/entries/1/items/0
Evil Toy,邪惡玩具,heading-label,existing-site,data/21/entries/4/entries/5/entries/3/entries/1
Executioner,劊子手,heading-label,existing-site,data/21/entries/5/entries/0/entries/1/entries/2
Exile,流放者,heading-label,existing-site,data/21/entries/5/entries/0/entries/1/entries/0
Extreme Cold,極度寒冷,heading-label,project-proposed,data/14/entries/3
Ezmerelda d'Avenir,艾絲美拉達·德·阿維尼爾,heading-label,existing-site,data/5/entries/4/entries/3/entries/7;data/9/entries/5/entries/26/entries/2;data/21/entries/3/entries/5
Ezmerelda d'Avenir's Traits,艾絲美拉達·德·阿維尼爾的特質,heading-label,existing-site,data/21/entries/3/entries/5/entries/2
Ezmerelda's Prosthetic,艾絲美拉達的義肢,heading-label,project-proposed,data/21/entries/3/entries/5/entries/1/entries/3
