english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
2. Barracks,2. 營房,draft-heading-proposed,heading-only,OotA,11,data/0/entries/9/entries/5/entries/1/name,1,2. Barracks,2. 營房
2. Cave Floor,2. 洞穴地面,draft-heading-proposed,heading-only,OotA,168,data/12/entries/3/entries/9/name,1,2. Cave Floor,2. 洞穴地面
2. Diseased Pool,2. 病疫池塘,draft-heading-proposed,heading-only,OotA,72,data/3/entries/15/entries/7/entries/3/name,1,2. Diseased Pool,2. 病疫池塘
2. Docks,2. 碼頭,draft-heading-proposed,heading-only,OotA,46,data/2/entries/14/name,1,2. Docks,2. 碼頭
2. Dripping Death,2. 滴落的死亡,draft-heading-proposed,heading-only,OotA,34,data/1/entries/15/entries/4/name,1,2. Dripping Death,2. 滴落的死亡
2. Fungus Cave,2. 真菌洞穴,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/5/name,1,2. Fungus Cave,2. 真菌洞穴
2. Main Gate,2.主城門,draft-heading-proposed,heading-only,OotA,101,data/5/entries/6/entries/2/name,1,2. Main Gate,2.主城門
2. Northern Terraces,2. 北部梯田,draft-heading-proposed,heading-only,OotA,87,data/4/entries/12/name,1,2. Northern Terraces,2. 北部梯田
2. Shrine,2. 神殿,draft-heading-proposed,heading-only,OotA,37,data/1/entries/16/entries/7/name,1,2. Shrine,2. 神殿
2. Trench,2. 溝渠,draft-heading-proposed,heading-only,OotA,136,data/8/entries/14/name,1,2. Trench,2. 溝渠
20. Neheedra's Lair,20. 妮希德拉的巢穴,draft-heading-proposed,heading-only,OotA,109,data/5/entries/23/entries/10/name,1,20. Neheedra's Lair,20. 尼希德拉的巢穴
21. Drow Statues,21. 卓爾雕像,draft-heading-proposed,heading-only,OotA,109,data/5/entries/23/entries/11/name,1,21. Drow Statues,21. 黑暗精靈雕像
22. Steadfast Stone,22. 堅定之石,draft-heading-proposed,heading-only,OotA,109,data/5/entries/23/entries/12/name,1,22. Steadfast Stone,22. 堅定之石
23. Main Entrance,23. 主入口,draft-heading-proposed,heading-only,OotA,110,data/5/entries/24/entries/3/name,1,23. Main Entrance,23. 主入口
24. Refuse Pile,24. 垃圾堆,draft-heading-proposed,heading-only,OotA,110,data/5/entries/24/entries/4/name,1,24. Refuse Pile,24. 垃圾堆
25. Hall of Miners,25. 礦工大廳,draft-heading-proposed,heading-only,OotA,110,data/5/entries/24/entries/5/name,1,25. Hall of Miners,25. 礦工大廳
26. Chipgrin's Rise,26. 奇普格林的崛起,draft-heading-proposed,heading-only,OotA,111,data/5/entries/24/entries/6/name,1,26. Chipgrin's Rise,26. 奇普格林的崛起
27. Secret Tunnel,27. 秘密隧道,draft-heading-proposed,heading-only,OotA,111,data/5/entries/24/entries/7/name,1,27. Secret Tunnel,27. 秘密隧道
28. House Center,28. 房屋中心,draft-heading-proposed,heading-only,OotA,111,data/5/entries/25/entries/2/name,1,28. House Center,28. 房屋中心
29. Ruined Stockade,29. 毀壞的圍欄,draft-heading-proposed,heading-only,OotA,112,data/5/entries/25/entries/3/name,1,29. Ruined Stockade,29. 毀壞的圍欄
2A. Gnoll Hunters,2A. 鬣狗人獵人,draft-heading-proposed,heading-only,OotA,32,data/1/entries/14/entries/5/name,1,2A. Gnoll Hunters,2A. 鬣狗人獵人
2B. Gnoll Hunters,2B. 鬣狗人獵人,draft-heading-proposed,heading-only,OotA,33,data/1/entries/14/entries/6/name,1,2B. Gnoll Hunters,2B. 鬣狗人獵人
3. Central Basin,3. 中央盆地,draft-heading-proposed,heading-only,OotA,88,data/4/entries/13/name,1,3. Central Basin,3. 中央盆地
3. Cornered,3. 走投無路,draft-heading-proposed,heading-only,OotA,33,data/1/entries/14/entries/7/name,1,3. Cornered,3. 走投無路
3. Glabbagool,3. 格拉巴布林,draft-heading-proposed,heading-only,OotA,35,data/1/entries/15/entries/5/name,1,3. Glabbagool,3. 格拉巴古爾
3. Main Cavern,3. 主洞穴,draft-heading-proposed,heading-only,OotA,136,data/8/entries/15/name,1,3. Main Cavern,3. 主洞穴
3. Main Hall,3. 主廳,draft-heading-proposed,heading-only,OotA,11,data/0/entries/9/entries/5/entries/2/name,1,3. Main Hall,3. 主廳
3. Maze,3. 迷宮,draft-heading-proposed,heading-only,OotA,102,data/5/entries/6/entries/3/name,1,3. Maze,3. 迷宮
3. Ossuary,3. 骨灰堂,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/6/name,1,3. Ossuary,3. 骨灰堂
3. Parade of Fools,3. 愚人行,draft-heading-proposed,heading-only,OotA,72,data/3/entries/15/entries/7/entries/4/name,1,3. Parade of Fools,3. 愚人行
3. Rise,3. 上升,draft-heading-proposed,heading-only,OotA,168,data/12/entries/3/entries/10/name,1,3. Rise,3. 上升
3. Servants' Sarcophagi,3. 僕人的石棺,draft-heading-proposed,heading-only,OotA,37,data/1/entries/16/entries/8/name,1,3. Servants' Sarcophagi,3. 僕人的石棺
3. Shrine of the Sea Mother,3. 海洋之母神殿,draft-heading-proposed,heading-only,OotA,46,data/2/entries/15/name,1,3. Shrine of the Sea Mother,3. 海洋之母神殿
30. Throne Room,30. 寶座室,draft-heading-proposed,heading-only,OotA,112,data/5/entries/25/entries/4/name,1,30. Throne Room,30. 寶座室
3a. West Marketplace,3a. 西市場,draft-heading-proposed,heading-only,OotA,136,data/8/entries/15/entries/3/name,1,3a. West Marketplace,3a. 西市場
3b. East Marketplace,3b. 東部市場,draft-heading-proposed,heading-only,OotA,136,data/8/entries/15/entries/4/name,1,3b. East Marketplace,3b. 東部市場
4. Altar of the Deep Father,4. 深父祭壇,draft-heading-proposed,heading-only,OotA,47,data/2/entries/16/name,1,4. Altar of the Deep Father,4. 深父祭壇
4. Basin,4. 盆地,draft-heading-proposed,heading-only,OotA,168,data/12/entries/3/entries/11/name,1,4. Basin,4. 盆地
4. Chasm,4. 裂谷,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/7/name,1,4. Chasm,4. 裂谷
4. Drow Enclave,4. 卓爾飛地,draft-heading-proposed,heading-only,OotA,137,data/8/entries/16/name,1,4. Drow Enclave,4. 卓爾飛地
4. Elite Barracks,4. 精英兵營,draft-heading-proposed,heading-only,OotA,12,data/0/entries/9/entries/5/entries/3/name,1,4. Elite Barracks,4. 精英兵營
4. False Tomb,4. 假墓,draft-heading-proposed,heading-only,OotA,38,data/1/entries/16/entries/9/name,1,4. False Tomb,4. 假墓
4. Fungi Thicket,4. 真菌叢,draft-heading-proposed,heading-only,OotA,73,data/3/entries/15/entries/7/entries/5/name,1,4. Fungi Thicket,4. 真菌叢
4. Gauntlet,4. 障礙賽,draft-heading-proposed,heading-only,OotA,102,data/5/entries/6/entries/4/name,1,4. Gauntlet,4. 障礙賽
4. Hook Horror Nest,4. 恐爪怪巢穴,draft-heading-proposed,heading-only,OotA,33,data/1/entries/14/entries/8/name,1,4. Hook Horror Nest,4. 恐爪怪巢穴
4. Pudding Pits,4. 布丁坑,draft-heading-proposed,heading-only,OotA,35,data/1/entries/15/entries/6/name,1,4. Pudding Pits,4. 布丁坑
4. Southern Terraces,4. 南部梯田,draft-heading-proposed,heading-only,OotA,90,data/4/entries/14/name,1,4. Southern Terraces,4. 南部梯田
4a. Drow Fungi Grove,4a. 卓爾真菌林,draft-heading-proposed,heading-only,OotA,137,data/8/entries/16/entries/2/name,1,4a. Drow Fungi Grove,4a. 黑暗精靈真菌林
4b. Drow Warehouse,4b. 卓爾倉庫,draft-heading-proposed,heading-only,OotA,138,data/8/entries/16/entries/3/name,1,4b. Drow Warehouse,4b. 黑暗精靈倉庫
5. Duergar Enclave,5. 灰矮人聚居地,draft-heading-proposed,heading-only,OotA,138,data/8/entries/17/name,1,5. Duergar Enclave,5. 灰矮人聚居地
5. Echo Chambers,5. 回聲室,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/8/name,1,5. Echo Chambers,5. 回聲室
5. Fountain of Madness,5. 瘋狂之泉,draft-heading-proposed,heading-only,OotA,36,data/1/entries/15/entries/7/name,1,5. Fountain of Madness,5. 瘋狂之泉
5. Garden of Welcome,5. 歡迎花園,draft-heading-proposed,heading-only,OotA,90,data/4/entries/15/name,1,5. Garden of Welcome,5. 歡迎花園
5. Gnoll Camp,5. 鬣狗人營地,draft-heading-proposed,heading-only,OotA,34,data/1/entries/14/entries/9/name,1,5. Gnoll Camp,5. 鬣狗人營地
5. Lift,5. 升降機,draft-heading-proposed,heading-only,OotA,12,data/0/entries/9/entries/5/entries/4/name,1,5. Lift,5. 升降機
5. Raucous Mesa,5. 喧鬧的臺地,draft-heading-proposed,heading-only,OotA,74,data/3/entries/15/entries/7/entries/6/name,1,5. Raucous Mesa,5. 喧鬧的臺地
5. Reception Hall,5. 接待大廳,draft-heading-proposed,heading-only,OotA,102,data/5/entries/11/name,1,5. Reception Hall,5. 接待大廳
5. Supplies and Captives,5. 補給和俘虜,draft-heading-proposed,heading-only,OotA,169,data/12/entries/3/entries/12/name,1,5. Supplies and Captives,5. 補給和俘虜
5. True Tomb,5. 真正墓室,draft-heading-proposed,heading-only,OotA,38,data/1/entries/16/entries/10/name,1,5. True Tomb,5. 真正墓室
5a. Duergar Fungi Grove,5a. 灰矮人真菌林,draft-heading-proposed,heading-only,OotA,138,data/8/entries/17/entries/1/name,1,5a. Duergar Fungi Grove,5a. 灰矮人爾真菌林
5b. Duergar Warehouse,5b. 灰矮人倉庫,draft-heading-proposed,heading-only,OotA,138,data/8/entries/17/entries/2/name,1,5b. Duergar Warehouse,5b. 灰矮人倉庫
6. Barracks,6. 兵營,draft-heading-proposed,heading-only,OotA,102,data/5/entries/12/name,1,6. Barracks,6. 兵營
6. Caretaker's Quarters,6. 管理員宿舍,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/9/name,1,6. Caretaker's Quarters,6. 管理員宿舍
6. Dire Den,6. 險惡巢穴,draft-heading-proposed,heading-only,OotA,74,data/3/entries/15/entries/7/entries/7/name,1,6. Dire Den,6. 險惡巢穴
6. Shrine to Lolth,6. 羅絲神龕,draft-heading-proposed,heading-only,OotA,12,data/0/entries/9/entries/5/entries/5/name,1,6. Shrine to Lolth,6. 羅絲神龕
6. Steam Vent,6. 蒸汽噴口,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/13/name,1,6. Steam Vent,6. 蒸汽噴口
6. Svirfneblin Enclave,6. 地底侏儒聚居地,draft-heading-proposed,heading-only,OotA,139,data/8/entries/18/name,1,6. Svirfneblin Enclave,6. 斯涅布力聚居地
6. Water Chamber,6. 水室,draft-heading-proposed,heading-only,OotA,36,data/1/entries/15/entries/8/name,1,6. Water Chamber,6. 水室
6a. Svirfneblin Fungi Grove,6a. 地底侏儒真菌林,draft-heading-proposed,heading-only,OotA,140,data/8/entries/18/entries/1/name,1,6a. Svirfneblin Fungi Grove,6a. 斯涅布力真菌林
6b. Svirfneblin Warehouse,6b. 地底侏儒倉庫,draft-heading-proposed,heading-only,OotA,140,data/8/entries/18/entries/2/name,1,6b. Svirfneblin Warehouse,6b. 斯涅布力倉庫
7. Entry Chamber,7. 入口室,draft-heading-proposed,heading-only,OotA,173,data/12/entries/5/entries/10/name,1,7. Entry Chamber,7. 入口室
7. Gray Ghost Garden,7. 灰影花園,draft-heading-proposed,heading-only,OotA,75,data/3/entries/15/entries/7/entries/8/name,1,7. Gray Ghost Garden,7. 灰影花園
7. Ilvara's Quarters,7. 伊爾瓦拉的住處,draft-heading-proposed,heading-only,OotA,12,data/0/entries/9/entries/5/entries/6/name,1,7. Ilvara's Quarters,7. 伊爾瓦拉的住處
7. Traders' Grotto,7. 商人之洞,draft-heading-proposed,heading-only,OotA,103,data/5/entries/13/name,1,7. Traders' Grotto,7. 商人之洞
7. Troglodyte Outpost,7. 穴蜥人前哨站,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/14/name,1,7. Troglodyte Outpost,7. 穴蜥人前哨站
7. Zhentarim Enclave,7. 散塔林會聚居地,draft-heading-proposed,heading-only,OotA,140,data/8/entries/19/name,1,7. Zhentarim Enclave,7. 散塔林會聚居地
7a. Zhentarim Encampment,7a. 散塔林會營地,draft-heading-proposed,heading-only,OotA,140,data/8/entries/19/entries/1/name,1,7a. Zhentarim Encampment,7a. 散塔林會營地
7b. Zhentarim Warehouse,7b. 散塔林會倉庫,draft-heading-proposed,heading-only,OotA,141,data/8/entries/19/entries/2/name,1,7b. Zhentarim Warehouse,7b. 散塔林會倉庫
8. Egg Chamber,8. 卵室,draft-heading-proposed,heading-only,OotA,173,data/12/entries/5/entries/11/name,1,8. Egg Chamber,8. 卵室
8. Gray Alchemist,8. 灰袍鍊金術士,draft-heading-proposed,heading-only,OotA,76,data/3/entries/15/entries/7/entries/9/name,1,8. Gray Alchemist,8. 灰袍鍊金術士
8. Roper Lair,8. 石繩怪巢穴,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/15/name,1,8. Roper Lair,8. 石繩怪巢穴
8. Shoor's Quarters,8. 修爾的住處,draft-heading-proposed,heading-only,OotA,14,data/0/entries/9/entries/5/entries/7/name,1,8. Shoor's Quarters,8. 舒爾的住處
8. The Ruby in the Rough,8. 粗獷的紅寶石,draft-heading-proposed,heading-only,OotA,103,data/5/entries/14/name,1,8. The Ruby in the Rough,8. 粗獷的紅寶石
9. Bat Cave,9. 蝙蝠洞,draft-heading-proposed,heading-only,OotA,174,data/12/entries/5/entries/12/name,1,9. Bat Cave,9. 蝙蝠洞
9. Cultivation Cave,9. 培育洞穴,draft-heading-proposed,heading-only,OotA,105,data/5/entries/15/name,1,9. Cultivation Cave,9. 培育洞穴
9. Fountain of Evil,9. 邪惡之泉,draft-heading-proposed,heading-only,OotA,77,data/3/entries/15/entries/7/entries/10/name,1,9. Fountain of Evil,9. 邪惡之泉
9. Sunken Pool,9. 沉沒池塘,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/16/name,1,9. Sunken Pool,9. 沉沒池塘
9. Waterfall,9. 瀑布,draft-heading-proposed,heading-only,OotA,14,data/0/entries/9/entries/5/entries/8/name,1,9. Waterfall,9. 瀑布
A Change of Heart,心靈的轉變,draft-heading-proposed,heading-only,OotA,190,data/14/entries/4/entries/2/entries/1,2,"If the characters read Grin's thoughts or compel him to speak using magic or torture, Grin reveals that he has misgivings about Vizeran's plan. Though he has no affection for the matron mothers and priestesses that govern Menzoberranzan, Grin has no wish to see his birthplace—and its people—destroyed. If Grin sees firsthand the destruction wrought by Demogorgon's rampage through the city, he becomes even more reluctant to see Vizeran's plan through (see ""{@area A Change of Heart|55d|x}"" later in this chapter).",心靈的轉變
A City Divided,分裂之城,draft-heading-proposed,heading-only,OotA,54,data/3/entries/4/entries/9/entries/4/entries/1/entries/2/name,1,A City Divided,分裂之城
A Day in Neverlight Grove,無光林地的一天,draft-heading-proposed,heading-only,OotA,85,data/4/entries/5/entries/5/name,1,A Day in Neverlight Grove,永不熄滅之林的一天
A Flight of Demons,惡魔的飛行,draft-heading-proposed,heading-only,OotA,16,data/0/entries/10/entries/3/name,2,A Flight of Demons,惡魔的飛行
A Kuo-Toan Koan,寇濤魚人的禪宗公案,draft-heading-proposed,heading-only,OotA,46,data/2/entries/12/entries/2/entries/3/name,1,A Kuo-Toan Koan,寇濤魚人的禪宗公案
A Motley Crew,一群雜牌軍,draft-heading-proposed,heading-only,OotA,8,data/0/entries/7/entries/3/entries/10/entries/2/name,3,A Motley Crew,一群雜牌軍
A Place of Peace,和平之地,draft-heading-proposed,heading-only,OotA,154,data/10/entries/5/entries/5/entries/1/entries/5/name,2,A Place of Peace,和平之地
A Task for the Keepers,守護者的任務,draft-heading-proposed,heading-only,OotA,66,data/3/entries/14/entries/4/entries/6/name,1,A Task for the Keepers,守護者的任務
Abandoned Guardhouses,廢棄的警衛室,draft-heading-proposed,heading-only,OotA,64,data/3/entries/10/entries/2/name,1,Abandoned Guardhouses,廢棄的警衛室
Abundant Fungi,豐富的真菌,draft-heading-proposed,heading-only,OotA,87,data/4/entries/9/entries/2/name,1,Abundant Fungi,豐富的真菌
Abusive Duergar Guards,虐待狂灰矮人守衛,draft-heading-proposed,heading-only,OotA,51,data/3/entries/4/entries/7/entries/2/name,1,Abusive Duergar Guards,虐待狂灰矮人守衛
Abyss,無底深淵,project-proposed,matching-English-source-string-only,OotA,4,data/0/entries/2,61,"The setup of {@i Out of the Abyss} is such that the characters need have no connections with events in the Underdark, or with each other, prior to the start of the adventure. They can meet and get to know each other as prisoners of the drow. Players who would like their characters to have a stronger Underdark connection can choose from the background options in {@adventure appendix A|OotA|17}.",Abyss
Access to the Whorlstone Tunnels,進入渦石隧道的通道,draft-heading-proposed,heading-only,OotA,62,data/3/entries/9/entries/9/entries/3/name,2,Access to the Whorlstone Tunnels,進入漩渦石隧道的通道
Accessing the Records,訪問記錄,draft-heading-proposed,heading-only,OotA,154,data/10/entries/5/entries/6/entries/1/name,1,Accessing the Records,訪問記錄
Achieving Victory,取得勝利,draft-heading-proposed,heading-only,OotA,214,data/15/entries/9/entries/2/name,1,Achieving Victory,取得勝利
Acid Vial,強酸瓶,draft-heading-proposed,heading-only,OotA,76,data/3/entries/15/entries/7/entries/9/entries/5/entries/1/name,1,Acid Vial,強酸瓶
Acquisitions,收購,draft-heading-proposed,heading-only,OotA,15,data/0/entries/10/entries/1/name,1,Acquisitions,收購
Acrobatics,體操,existing-site,heading-only,OotA,31,data/1/entries/13/entries/2/entries/2/items/1,8,Add {@skill Acrobatics} +6 and {@skill Athletics} +3 to the goblins' list of skills.,雜技
Across the Fungal Fields,穿越真菌田野,draft-heading-proposed,heading-only,OotA,211,data/15/entries/5/entries/3/name,1,Across the Fungal Fields,穿越真菌田野
Activating the Engine,啟用引擎,draft-heading-proposed,heading-only,OotA,187,data/13/entries/14/entries/5/name,1,Activating the Engine,啟用引擎
Adamantine Tower,精金塔,draft-heading-proposed,heading-only,OotA,179,data/13/entries/7/entries/0,2,"This chapter features a number of set encounters. Either as the characters journey to the Labyrinth or return to Vizeran's tower, you can run the ""{@area Adamantine Tower|4a0|x}"" encounter. Once the characters reach the edge of the Labyrinth, go to the ""Spiral of the Horned Lord"" encounter.",精金塔
Additional Proofreading,額外校對,draft-heading-proposed,heading-only,OotA,,data/22/entries/1/items/6/name,1,Additional Proofreading,額外校對
Afterword,後記,draft-heading-proposed,heading-only,OotA,250,data/21/name,1,Afterword,後記
Against Demogorgon,對抗狄摩高根,draft-heading-proposed,heading-only,OotA,219,data/16/entries/4/name,1,Against Demogorgon,對抗狄摩高根
Agents of the Wyrmsmith,龍匠的代理人,draft-heading-proposed,heading-only,OotA,66,data/3/entries/14/entries/4/name,1,Agents of the Wyrmsmith,龍匠的代理人
