english,category,proposed_zh_tw,alternative_zh_tw,status,source,notes
Manage Prerelease Content,ui,管理預發布內容,,proposed,5etools interface,
Manage Homebrew,ui,管理自製內容,,proposed,5etools interface,
Settings,ui,設定,,proposed,5etools interface,
All Sources,ui,所有來源,,proposed,5etools interface,
Select an entry from the list to view it here,ui,從列表選擇一個條目以在此檢視,,proposed,5etools interface,
Ability Score,rule,屬性值,,proposed,SRD 5.1; SRD 5.2.1,
Ability Modifier,rule,屬性調整值,,proposed,SRD 5.1; SRD 5.2.1,
Ability Check,rule,屬性檢定,,proposed,SRD 5.1; SRD 5.2.1,
Saving Throw,rule,豁免檢定,,proposed,SRD 5.1; SRD 5.2.1,
Attack Roll,rule,攻擊檢定,,proposed,SRD 5.1; SRD 5.2.1,
D20 Test,rule,d20 檢定,,proposed,SRD 5.2.1,Keep lowercase d in d20
Advantage,rule,優勢,,proposed,SRD 5.1; SRD 5.2.1,
Disadvantage,rule,劣勢,,proposed,SRD 5.1; SRD 5.2.1,
Proficiency,rule,熟練,,proposed,SRD 5.1; SRD 5.2.1,
Proficiency Bonus,rule,熟練加值,,proposed,SRD 5.1; SRD 5.2.1,
Initiative,rule,先攻,,proposed,SRD 5.1; SRD 5.2.1,
Action,rule,動作,,proposed,SRD 5.1; SRD 5.2.1,
Bonus Action,rule,附贈動作,獎勵動作,proposed,5eclone-style; Foundry zh-TW,
Reaction,rule,反應,,proposed,SRD 5.1; SRD 5.2.1,
Movement,rule,移動,,proposed,SRD 5.1; SRD 5.2.1,
Speed,rule,速度,,proposed,SRD 5.1; SRD 5.2.1,
Hit Points,rule,生命值,,proposed,SRD 5.1; SRD 5.2.1,
Temporary Hit Points,rule,臨時生命值,,proposed,SRD 5.1; SRD 5.2.1,
Hit Dice,rule,生命骰,,proposed,SRD 5.1; SRD 5.2.1,
Armor Class,rule,護甲等級,,proposed,SRD 5.1; SRD 5.2.1,
Challenge Rating,rule,挑戰等級,,proposed,SRD 5.1; SRD 5.2.1,
Difficulty Class,rule,難度等級,,proposed,SRD 5.1; SRD 5.2.1,Retain DC abbreviation
Short Rest,rule,短休,,proposed,SRD 5.1; SRD 5.2.1,
Long Rest,rule,長休,,proposed,SRD 5.1; SRD 5.2.1,
Concentration,rule,專注,,proposed,SRD 5.1; SRD 5.2.1,
Ritual,rule,儀式,,proposed,SRD 5.1; SRD 5.2.1,
Spell Slot,rule,法術位,,proposed,SRD 5.1; SRD 5.2.1,
Cantrip,rule,戲法,,proposed,SRD 5.1; SRD 5.2.1,
Spellcasting,rule,施法,,proposed,SRD 5.1; SRD 5.2.1,
Melee Attack,rule,近戰攻擊,,proposed,SRD 5.1; SRD 5.2.1,
Ranged Attack,rule,遠程攻擊,,proposed,SRD 5.1; SRD 5.2.1,
Unarmed Strike,rule,徒手打擊,,proposed,SRD 5.1; SRD 5.2.1,
Opportunity Attack,rule,借機攻擊,機會攻擊,conflict,community; Foundry zh-TW,
Critical Hit,rule,重擊,致命一擊,proposed,SRD 5.1; SRD 5.2.1,
Resistance,rule,抗性,抗力,conflict,community; legacy zh-TW,
Vulnerability,rule,易傷,,proposed,SRD 5.1; SRD 5.2.1,
Immunity,rule,免疫,,proposed,SRD 5.1; SRD 5.2.1,
Damage,rule,傷害,,proposed,SRD 5.1; SRD 5.2.1,
Healing,rule,治療,,proposed,SRD 5.1; SRD 5.2.1,
Cover,rule,掩護,,proposed,SRD 5.1; SRD 5.2.1,
Lightly Obscured,rule,輕度遮蔽,,proposed,SRD 5.1; SRD 5.2.1,
Heavily Obscured,rule,重度遮蔽,,proposed,SRD 5.1; SRD 5.2.1,
Difficult Terrain,rule,困難地形,,proposed,SRD 5.1; SRD 5.2.1,
Forced Movement,rule,強制移動,,proposed,SRD 5.2.1,
Grapple,rule,擒抱,,proposed,SRD 5.1; SRD 5.2.1,
Shove,rule,推撞,,proposed,SRD 5.1; SRD 5.2.1,
Dash,action,疾走,,proposed,SRD 5.1; SRD 5.2.1,
Disengage,action,撤離,,proposed,SRD 5.1; SRD 5.2.1,
Dodge,action,閃避,,proposed,SRD 5.1; SRD 5.2.1,
Help,action,協助,,proposed,SRD 5.1; SRD 5.2.1,
Hide,action,躲藏,,proposed,SRD 5.1; SRD 5.2.1,
Influence,action,影響,,proposed,SRD 5.2.1,
Magic,action,魔法,,proposed,SRD 5.2.1,
Ready,action,準備,,proposed,SRD 5.1; SRD 5.2.1,
Study,action,研究,,proposed,SRD 5.2.1,
Strength,ability,力量,,proposed,5eclone-style; Foundry zh-TW,
Dexterity,ability,敏捷,,proposed,5eclone-style; Foundry zh-TW,
Constitution,ability,體質,,proposed,5eclone-style; Foundry zh-TW,
Intelligence,ability,智力,,proposed,5eclone-style; Foundry zh-TW,
Wisdom,ability,睿知,感知,conflict,legacy zh-TW; Foundry zh-TW,Impacts the Perception translation
Charisma,ability,魅力,,proposed,5eclone-style; Foundry zh-TW,
Acrobatics,skill,體操,特技,conflict,legacy zh-TW; Foundry zh-TW,
Animal Handling,skill,馴獸,動物馴養,conflict,legacy zh-TW; Foundry zh-TW,
Arcana,skill,奧秘,奧祕,conflict,legacy zh-TW; Foundry zh-TW,Character variant choice
Athletics,skill,運動,,proposed,legacy zh-TW; Foundry zh-TW,
Deception,skill,欺瞞,,proposed,legacy zh-TW; Foundry zh-TW,
History,skill,歷史,,proposed,legacy zh-TW; Foundry zh-TW,
Insight,skill,洞悉,,proposed,legacy zh-TW; Foundry zh-TW,
Intimidation,skill,威嚇,,proposed,legacy zh-TW; Foundry zh-TW,
Investigation,skill,調查,,proposed,legacy zh-TW; Foundry zh-TW,
Medicine,skill,醫療,醫藥,conflict,legacy zh-TW; Foundry zh-TW,
Nature,skill,自然,,proposed,legacy zh-TW; Foundry zh-TW,
Perception,skill,感知,察覺,conflict,legacy zh-TW; Foundry zh-TW,Depends on Wisdom choice
Performance,skill,表演,,proposed,legacy zh-TW; Foundry zh-TW,
Persuasion,skill,說服,遊說,conflict,legacy zh-TW; Foundry zh-TW,
Religion,skill,宗教,,proposed,legacy zh-TW; Foundry zh-TW,
Sleight of Hand,skill,巧手,靈巧,conflict,Foundry zh-TW; community,
Stealth,skill,隱匿,,proposed,legacy zh-TW; Foundry zh-TW,
Survival,skill,求生,,proposed,legacy zh-TW; Foundry zh-TW,
Acid,damage-type,強酸,酸蝕,conflict,Foundry zh-TW; community,
Bludgeoning,damage-type,鈍擊,,proposed,Foundry zh-TW,
Cold,damage-type,寒冷,,proposed,Foundry zh-TW,
Fire,damage-type,火焰,,proposed,Foundry zh-TW,
Force,damage-type,力場,,proposed,Foundry zh-TW,
Lightning,damage-type,閃電,,proposed,Foundry zh-TW,
Necrotic,damage-type,死靈,暗蝕,conflict,legacy zh-TW; Foundry zh-TW,
Piercing,damage-type,穿刺,,proposed,Foundry zh-TW,
Poison,damage-type,毒素,,proposed,Foundry zh-TW,
Psychic,damage-type,心靈,,proposed,Foundry zh-TW,
Radiant,damage-type,光耀,,proposed,Foundry zh-TW,
Slashing,damage-type,揮砍,,proposed,Foundry zh-TW,
Thunder,damage-type,雷鳴,,proposed,Foundry zh-TW,
Blinded,condition,目盲,,proposed,legacy zh-TW; Foundry zh-TW,
Charmed,condition,魅惑,,proposed,legacy zh-TW; Foundry zh-TW,
Deafened,condition,耳聾,,proposed,legacy zh-TW; Foundry zh-TW,
Exhaustion,condition,力竭,,proposed,legacy zh-TW; Foundry zh-TW,
Frightened,condition,恐懼,恐慌,conflict,legacy zh-TW; Foundry zh-TW,
Grappled,condition,被擒,受擒,conflict,legacy zh-TW; Foundry zh-TW,
Incapacitated,condition,無力,失能,conflict,legacy zh-TW; Foundry zh-TW,
Invisible,condition,隱形,,proposed,legacy zh-TW; Foundry zh-TW,
Paralyzed,condition,麻痺,麻痹,proposed,legacy zh-TW; Foundry zh-TW,Use Taiwan character 痺
Petrified,condition,石化,,proposed,legacy zh-TW; Foundry zh-TW,
Poisoned,condition,中毒,,proposed,legacy zh-TW; Foundry zh-TW,
Prone,condition,伏地,倒地,conflict,legacy zh-TW; Foundry zh-TW,
Restrained,condition,束縛,,proposed,legacy zh-TW; Foundry zh-TW,
Stunned,condition,震懾,,proposed,legacy zh-TW; Foundry zh-TW,
Unconscious,condition,昏迷,,proposed,legacy zh-TW; Foundry zh-TW,
Barbarian,class,野蠻人,,proposed,community,
Bard,class,吟遊詩人,,proposed,community,
Cleric,class,牧師,,proposed,community,
Druid,class,德魯伊,,proposed,community,
Fighter,class,戰士,,proposed,community,
Monk,class,武僧,,proposed,community,
Mystic,class,秘術師,靈能師,proposed,community candidate,UA psionic class; 5eclone lacks an ENG_name mapping
Paladin,class,聖武士,,proposed,community,
Ranger,class,遊俠,,proposed,community,
Rogue,class,遊蕩者,盜賊,conflict,5eclone; community,5eclone candidate listed first
Sorcerer,class,術士,,proposed,community,
Warlock,class,契術師,邪術師,conflict,5eclone; community,5eclone candidate listed first
Wizard,class,法師,,proposed,community,
Dragonborn,species,龍裔,,proposed,community,
Dwarf,species,矮人,,proposed,community,
Elf,species,精靈,,proposed,community,
Gnome,species,地侏,,proposed,community,
Goliath,species,歌利亞,,proposed,community,
Halfling,species,半身人,,proposed,community,
Human,species,人類,,proposed,community,
Orc,species,獸人,,proposed,community,
Tiefling,species,提夫林,,proposed,community,
Half-Elf,race,半精靈,,proposed,community,SRD 5.1 only
Half-Orc,race,半獸人,,proposed,community,SRD 5.1 only
Abjuration,spell-school,防護,,proposed,community,
Conjuration,spell-school,咒法,,proposed,community,
Divination,spell-school,預言,,proposed,community,
Enchantment,spell-school,惑控,,proposed,community,
Evocation,spell-school,塑能,,proposed,community,
Illusion,spell-school,幻術,,proposed,community,
Necromancy,spell-school,死靈,,proposed,community,
Transmutation,spell-school,變化,,proposed,community,
