context,page,type,classification_confidence,english,zh_tw
data/0/entries/5/entries/0/rows/8/0,4,TABLE,0.99,{@creature Aurinax|WDH},{@creature Aurinax|WDH|奧瑞納克斯}
data/0/entries/5/entries/0/rows/8/1,4,TABLE,0.99,OR-ah-nax,OR-ah-nax
data/0/entries/5/entries/0/rows/9/0,4,TABLE,0.99,Avareen Windrivver,阿瓦琳·溫德里弗
data/0/entries/5/entries/0/rows/9/1,4,TABLE,0.99,ah-vah-REEN,ah-vah-REEN
data/0/entries/5/entries/0/rows/10/0,4,TABLE,0.99,Bregan D'aerthe,布雷甘·達耶
data/0/entries/5/entries/0/rows/10/1,4,TABLE,0.99,BRAY-gan DAIRTH,BRAY-gan DAIRTH
data/0/entries/5/entries/0/rows/11/0,4,TABLE,0.99,Corylus Thann,科里勒斯·坦恩
data/0/entries/5/entries/0/rows/11/1,4,TABLE,0.99,KOR-eh-luss,KOR-eh-luss
data/0/entries/5/entries/0/rows/12/0,4,TABLE,0.99,{@creature Davil Starsong|WDH},{@creature Davil Starsong|WDH|達維爾·星歌}
data/0/entries/5/entries/0/rows/12/1,4,TABLE,0.99,DAH-vil,DAH-vil
data/0/entries/5/entries/0/rows/13/0,4,TABLE,0.99,Duhlark Kolat,杜拉克·克拉特
data/0/entries/5/entries/0/rows/13/1,4,TABLE,0.99,doo-LARK KOH-lat,doo-LARK KOH-lat
data/0/entries/5/entries/0/rows/14/0,4,TABLE,0.99,Eleasis (month),伊萊西斯（月份）
data/0/entries/5/entries/0/rows/14/1,4,TABLE,0.99,eh-LEE-sis,eh-LEE-sis
data/0/entries/5/entries/0/rows/15/0,4,TABLE,0.99,Eleint (month),伊萊恩特（月份）
data/0/entries/5/entries/0/rows/15/1,4,TABLE,0.99,eh-LAINT,eh-LAINT
data/0/entries/5/entries/0/rows/16/0,4,TABLE,0.99,Esvele Rosznar,艾絲薇爾·羅茲納爾
data/0/entries/5/entries/0/rows/16/1,4,TABLE,0.99,EZ-veh-lay RAWJ-nar,EZ-veh-lay RAWJ-nar
data/0/entries/5/entries/0/rows/17/0,4,TABLE,0.99,{@creature Fala Lefaliir|WDH},{@creature Fala Lefaliir|WDH|法拉·勒法利爾}
data/0/entries/5/entries/0/rows/17/1,4,TABLE,0.99,FAH-lah LEF-ah-leer,FAH-lah LEF-ah-leer
data/0/entries/5/entries/0/rows/18/0,4,TABLE,0.99,{@creature Fel'rekt Lafeen|WDH},{@creature Fel'rekt Lafeen|WDH|菲爾萊科特·拉菲恩}
data/0/entries/5/entries/0/rows/18/1,4,TABLE,0.99,FEL-rekt lah-FEEN,FEL-rekt lah-FEEN
data/0/entries/5/entries/0/rows/19/0,4,TABLE,0.99,Fenerus Stormcastle,費內魯斯·風暴堡
data/0/entries/5/entries/0/rows/19/1,4,TABLE,0.99,FEN-er-us,FEN-er-us
data/0/entries/5/entries/0/rows/20/0,4,TABLE,0.99,Flamerule (month),弗萊姆魯爾（月份）
data/0/entries/5/entries/0/rows/20/1,4,TABLE,0.99,FLAME-rool,FLAME-rool
data/0/entries/5/entries/0/rows/21/0,4,TABLE,0.99,{@creature Floon Blagmaar|WDH},{@creature Floon Blagmaar|WDH|福盧恩·布拉格瑪}
data/0/entries/5/entries/0/rows/21/1,4,TABLE,0.99,FLOON BLAG-mar,FLOON BLAG-mar
data/0/entries/5/entries/0/rows/22/0,4,TABLE,0.99,{@creature Hlam|WDH},{@creature Hlam|WDH|胡拉姆}
data/0/entries/5/entries/0/rows/22/1,4,TABLE,0.99,huh-LAWM,huh-LAWM
data/0/entries/5/entries/0/rows/23/0,4,TABLE,0.99,Holvan Ebberek,霍爾萬·埃貝雷克
data/0/entries/5/entries/0/rows/23/1,4,TABLE,0.99,HOLE-van EBB-er-ek,HOLE-van EBB-er-ek
data/0/entries/5/entries/0/rows/24/0,4,TABLE,0.99,{@creature Hrabbaz|WDH},{@creature Hrabbaz|WDH|哈巴茲}
data/0/entries/5/entries/0/rows/24/1,4,TABLE,0.99,hrah-BAWZ,hrah-BAWZ
data/0/entries/5/entries/0/rows/25/0,4,TABLE,0.99,Hyustus Staget,休斯圖斯·斯塔吉特
data/0/entries/5/entries/0/rows/25/1,4,TABLE,0.99,HEW-stus STAG-it,HEW-stus STAG-it
data/0/entries/5/entries/0/rows/26/0,4,TABLE,0.99,Iokaste Daliano,伊奧卡斯特·達利亞諾
data/0/entries/5/entries/0/rows/26/1,4,TABLE,0.99,i-oh-KAW-stay daw-lee-AH-noh,i-oh-KAW-stay daw-lee-AH-noh
data/0/entries/5/entries/0/rows/27/0,4,TABLE,0.99,{@creature Istrid Horn|WDH},{@creature Istrid Horn|WDH|伊思崔德·霍恩}
data/0/entries/5/entries/0/rows/27/1,4,TABLE,0.99,ISS-trid,ISS-trid
data/0/entries/5/entries/0/rows/28/0,4,TABLE,0.99,{@creature Jalester Silvermane|WDH},{@creature Jalester Silvermane|WDH|加萊斯特·銀鬃}
data/0/entries/5/entries/0/rows/28/1,4,TABLE,0.99,JAH-less-ter,JAH-less-ter
data/0/entries/5/entries/0/rows/29/0,4,TABLE,0.99,{@creature Jarlaxle Baenre|WDH},{@creature Jarlaxle Baenre|WDH|賈拉索·班瑞}
data/0/entries/5/entries/0/rows/29/1,4,TABLE,0.99,jar-LAX-ull BANE-ray,jar-LAX-ull BANE-ray
data/0/entries/5/entries/0/rows/30/0,4,TABLE,0.99,Jelenn Urmbrusk,傑倫·烏姆布魯斯克
data/0/entries/5/entries/0/rows/30/1,4,TABLE,0.99,juh-LEN URM-brusk,juh-LEN URM-brusk
data/0/entries/5/entries/0/rows/31/0,4,TABLE,0.99,Jeryth Phaulkon,傑瑞斯·波康
data/0/entries/5/entries/0/rows/31/1,4,TABLE,0.99,JAIR-ith FAWL-kon,JAIR-ith FAWL-kon
data/0/entries/5/entries/0/rows/32/0,4,TABLE,0.99,Jezrynne Hornraven,傑茲琳·霍恩瑞文
data/0/entries/5/entries/0/rows/32/1,4,TABLE,0.99,JEZ-rin,JEZ-rin
data/0/entries/5/entries/0/rows/33/0,4,TABLE,0.99,{@creature Kaevja Cynavern|WDH},{@creature Kaevja Cynavern|WDH|凱夫賈·西納文}
data/0/entries/5/entries/0/rows/33/1,4,TABLE,0.99,CAVE-yah SIN-ah-vern,CAVE-yah SIN-ah-vern
data/0/entries/5/entries/0/rows/34/0,4,TABLE,0.99,{@creature Kalain|WDH},{@creature Kalain|WDH|卡萊恩}
data/0/entries/5/entries/0/rows/34/1,4,TABLE,0.99,kah-LAIN,kah-LAIN
data/0/entries/5/entries/0/rows/35/0,4,TABLE,0.99,Karabal L'enz,卡拉巴爾·倫茲
data/0/entries/5/entries/0/rows/35/1,4,TABLE,0.99,KAWR-ah-bawl LENZ,KAWR-ah-bawl LENZ
data/0/entries/5/entries/0/rows/36/0,4,TABLE,0.99,Khafeyta Murzan,卡菲塔·穆爾贊
data/0/entries/5/entries/0/rows/36/1,4,TABLE,0.99,kah-FAY-tah mur-ZAWN,kah-FAY-tah mur-ZAWN
data/0/entries/5/entries/0/rows/37/0,4,TABLE,0.99,Korgstrod Uxgulm,科爾格斯特羅德·烏克斯古爾姆
data/0/entries/5/entries/0/rows/37/1,4,TABLE,0.99,KORG-strawd UX-gulm,KORG-strawd UX-gulm
data/0/entries/5/entries/0/rows/38/0,4,TABLE,0.99,{@creature Krebbyg Masq'il'yr|WDH},{@creature Krebbyg Masq'il'yr|WDH|克雷比格·馬斯奇爾}
data/0/entries/5/entries/0/rows/38/1,4,TABLE,0.99,KREH-big MASK-il-eer,KREH-big MASK-il-eer
data/0/entries/5/entries/0/rows/39/0,4,TABLE,0.99,Kythorn (month),凱索恩（月份）
data/0/entries/5/entries/0/rows/39/1,4,TABLE,0.99,KY-thorn,KY-thorn
data/0/entries/5/entries/0/rows/40/0,4,TABLE,0.99,{@creature Laeral Silverhand|WDH},{@creature Laeral Silverhand|WDH|萊拉·銀手}
data/0/entries/5/entries/0/rows/40/1,4,TABLE,0.99,LAIR-awl,LAIR-awl
data/0/entries/5/entries/0/rows/41/0,4,TABLE,0.99,Laiba Rosse,萊巴·羅斯
data/0/entries/5/entries/0/rows/41/1,4,TABLE,0.99,LAY-bah ROSS-uh,LAY-bah ROSS-uh
data/0/entries/5/entries/0/rows/42/0,4,TABLE,0.99,Llorath Pharn,洛拉斯·法恩
data/0/entries/5/entries/0/rows/42/1,4,TABLE,0.99,LOR-ath FARN,LOR-ath FARN
data/0/entries/5/entries/0/rows/43/0,4,TABLE,0.99,{@creature Losser Mirklav|WDH},{@creature Losser Mirklav|WDH|洛瑟·米爾克拉夫}
data/0/entries/5/entries/0/rows/43/1,4,TABLE,0.99,LOSS-er MER-klav,LOSS-er MER-klav
data/0/entries/5/entries/0/rows/44/0,4,TABLE,0.99,{@creature Manshoon|WDH},{@creature Manshoon|WDH|曼松}
data/0/entries/5/entries/0/rows/44/1,4,TABLE,0.99,man-SHOON,man-SHOON
data/0/entries/5/entries/0/rows/45/0,4,TABLE,0.99,Margo Verida,瑪戈·維里達
data/0/entries/5/entries/0/rows/45/1,4,TABLE,0.99,MAR-go veh-REE-dah,MAR-go veh-REE-dah
data/0/entries/5/entries/0/rows/46/0,4,TABLE,0.99,Marro Qaz'arrt,馬羅·卡扎爾特
data/0/entries/5/entries/0/rows/46/1,4,TABLE,0.99,MAW-row kah-ZART,MAW-row kah-ZART
data/0/entries/5/entries/0/rows/47/0,4,TABLE,0.99,Mattrim Mereg,馬特里姆·梅雷格
data/0/entries/5/entries/0/rows/47/1,4,TABLE,0.99,MAT-trim MAIR-egg,MAT-trim MAIR-egg
data/0/entries/5/entries/0/rows/48/0,4,TABLE,0.99,{@creature Melannor Fellbranch|WDH},{@creature Melannor Fellbranch|WDH|梅蘭諾·費爾布蘭奇}
data/0/entries/5/entries/0/rows/48/1,4,TABLE,0.99,MEL-ah-nor,MEL-ah-nor
data/0/entries/5/entries/0/rows/49/0,4,TABLE,0.99,{@creature Meloon Wardragon|WDH},{@creature Meloon Wardragon|WDH|麥倫·戰龍}
data/0/entries/5/entries/0/rows/49/1,4,TABLE,0.99,may-LOON,may-LOON
data/0/entries/5/entries/0/rows/50/0,4,TABLE,0.99,{@creature Mirt|WDH},{@creature Mirt|WDH|米爾特}
data/0/entries/5/entries/0/rows/50/1,4,TABLE,0.99,MERT or MEERT,MERT or MEERT
data/0/entries/5/entries/0/rows/51/0,4,TABLE,0.99,Mirtul (month),米爾圖（月份）
data/0/entries/5/entries/0/rows/51/1,4,TABLE,0.99,MER-tul,MER-tul
data/0/entries/5/entries/0/rows/52/0,4,TABLE,0.99,{@creature Nar'l Xibrindas|WDH},{@creature Nar'l Xibrindas|WDH|納爾·澤布林達斯}
data/0/entries/5/entries/0/rows/52/1,4,TABLE,0.99,NAR-ul zeh-BRIN-das,NAR-ul zeh-BRIN-das
data/0/entries/5/entries/0/rows/53/0,4,TABLE,0.99,{@creature Nihiloor|WDH},{@creature Nihiloor|WDH|尼希盧爾}
data/0/entries/5/entries/0/rows/53/1,4,TABLE,0.99,NYE-heh-lure,NYE-heh-lure
data/0/entries/5/entries/0/rows/54/0,4,TABLE,0.99,{@creature Obaya Uday|WDH},{@creature Obaya Uday|WDH|歐芭雅·烏黛}
data/0/entries/5/entries/0/rows/54/1,4,TABLE,0.99,oh-BYE-yah oo-DAY,oh-BYE-yah oo-DAY
data/0/entries/5/entries/0/rows/55/0,4,TABLE,0.99,{@creature Orond Gralhund|WDH},{@creature Orond Gralhund|WDH|奧隆德·格勞洪德}
data/0/entries/5/entries/0/rows/55/1,4,TABLE,0.99,oh-ROND GRAWL-hoond,oh-ROND GRAWL-hoond
data/0/entries/5/entries/0/rows/56/0,4,TABLE,0.99,Raelyn Auvryndar,瑞琳·奧弗林達爾
data/0/entries/5/entries/0/rows/56/1,4,TABLE,0.99,RAY-lin ah-VRIN-dar,RAY-lin ah-VRIN-dar
data/0/entries/5/entries/0/rows/57/0,4,TABLE,0.99,{@creature Remallia Haventree|WDH},{@creature Remallia Haventree|WDH|蕾米莉亞·港樹}
data/0/entries/5/entries/0/rows/57/1,4,TABLE,0.99,reh-MAW-lee-ah,reh-MAW-lee-ah
data/0/entries/5/entries/0/rows/58/0,4,TABLE,0.99,{@creature Renaer Neverember|WDH},{@creature Renaer Neverember|WDH|瑞納爾·無燼}
data/0/entries/5/entries/0/rows/58/1,4,TABLE,0.99,reh-NAIR,reh-NAIR
data/0/entries/5/entries/0/rows/59/0,4,TABLE,0.99,Rishaal,瑞莎爾
data/0/entries/5/entries/0/rows/59/1,4,TABLE,0.99,ree-SHAWL,ree-SHAWL
data/0/entries/5/entries/0/rows/60/0,4,TABLE,0.99,Rongquan Mystere,榮泉·密斯特爾
data/0/entries/5/entries/0/rows/60/1,4,TABLE,0.99,RONG-kwan mis-TAIR,RONG-kwan mis-TAIR
data/0/entries/5/entries/0/rows/61/0,4,TABLE,0.99,{@creature Saeth Cromley|WDH},{@creature Saeth Cromley|WDH|薩斯·克姆利}
data/0/entries/5/entries/0/rows/61/1,4,TABLE,0.99,SAYTH KROM-lee,SAYTH KROM-lee
data/0/entries/5/entries/0/rows/62/0,4,TABLE,0.99,Savra Belabranta,薩芙拉·貝拉布蘭塔
data/0/entries/5/entries/0/rows/62/1,4,TABLE,0.99,SAV-rah bel-ah-BRAN-tah,SAV-rah bel-ah-BRAN-tah
data/0/entries/5/entries/0/rows/63/0,4,TABLE,0.99,Seffia Naelryke,瑟菲亞·奈爾瑞克
data/0/entries/5/entries/0/rows/63/1,4,TABLE,0.99,SEF-yah NAIL-rike,SEF-yah NAIL-rike
data/0/entries/5/entries/0/rows/64/0,4,TABLE,0.99,Sidra Romeir,希德拉·羅梅爾
data/0/entries/5/entries/0/rows/64/1,4,TABLE,0.99,SID-rah roh-MEER,SID-rah roh-MEER
data/0/entries/5/entries/0/rows/65/0,4,TABLE,0.99,Skarn Zarphoul,斯卡恩·扎爾弗爾
data/0/entries/5/entries/0/rows/65/1,4,TABLE,0.99,SKARN ZAR-fool,SKARN ZAR-fool
data/0/entries/5/entries/0/rows/66/0,4,TABLE,0.99,{@creature Skeemo Weirdbottle|WDH},{@creature Skeemo Weirdbottle|WDH|斯齊莫·奇瓶}
data/0/entries/5/entries/0/rows/66/1,4,TABLE,0.99,SKEE-moh,SKEE-moh
data/0/entries/5/entries/0/rows/67/0,4,TABLE,0.99,{@creature Soluun Xibrindas|WDH},{@creature Soluun Xibrindas|WDH|索倫·希布林達斯}
data/0/entries/5/entries/0/rows/67/1,4,TABLE,0.99,soh-LOON zeh-BRIN-das,soh-LOON zeh-BRIN-das
data/0/entries/5/entries/0/rows/68/0,4,TABLE,0.99,Talisolvanar Fellbranch,塔利索爾瓦納·費爾布蘭奇
data/0/entries/5/entries/0/rows/68/1,4,TABLE,0.99,tal-iss-AWL-van-ar,tal-iss-AWL-van-ar
data/0/entries/5/entries/0/rows/69/0,4,TABLE,0.99,Tarsakh (month),塔薩克（月份）
data/0/entries/5/entries/0/rows/69/1,4,TABLE,0.99,TAR-sack,TAR-sack
data/0/entries/5/entries/0/rows/70/0,4,TABLE,0.99,{@creature Tashlyn Yafeera|WDH},{@creature Tashlyn Yafeera|WDH|塔什琳·雅菲拉}
data/0/entries/5/entries/0/rows/70/1,4,TABLE,0.99,TASH-lin yah-FEER-ah,TASH-lin yah-FEER-ah
data/0/entries/5/entries/0/rows/71/0,4,TABLE,0.99,{@creature Tissina Khyret|WDH},{@creature Tissina Khyret|WDH|蒂西娜·凱瑞特}
data/0/entries/5/entries/0/rows/71/1,4,TABLE,0.99,teh-SEE-nah KYE-ret,teh-SEE-nah KYE-ret
data/0/entries/5/entries/0/rows/72/0,4,TABLE,0.99,Tylan Ilueph,提蘭·伊盧埃夫
data/0/entries/5/entries/0/rows/72/1,4,TABLE,0.99,TYE-lan ill-OO-eff,TYE-lan ill-OO-eff
data/0/entries/5/entries/0/rows/73/0,4,TABLE,0.99,Umbero Zastro,烏姆貝羅·扎斯特羅
data/0/entries/5/entries/0/rows/73/1,4,TABLE,0.99,um-BAIR-oh ZASS-troh,um-BAIR-oh ZASS-troh
data/0/entries/5/entries/0/rows/74/0,4,TABLE,0.99,Urlaster Ghann,烏拉斯特·甘恩
data/0/entries/5/entries/0/rows/74/1,4,TABLE,0.99,ur-LASS-ter GAN,ur-LASS-ter GAN
data/0/entries/5/entries/0/rows/75/0,4,TABLE,0.99,{@creature Urstul Floxin|WDH},{@creature Urstul Floxin|WDH|厄斯圖爾·弗洛克辛}
data/0/entries/5/entries/0/rows/75/1,4,TABLE,0.99,UR-stool FLOX-in,UR-stool FLOX-in
data/0/entries/5/entries/0/rows/76/0,4,TABLE,0.99,Vaelle Lurval,瓦艾爾·勒瓦爾
data/0/entries/5/entries/0/rows/76/1,4,TABLE,0.99,vay-ELLE lur-VAWL,vay-ELLE lur-VAWL
data/0/entries/5/entries/0/rows/77/0,4,TABLE,0.99,{@creature Vajra Safahr|WDH},{@creature Vajra Safahr|WDH|瓦婕拉·莎法爾}
data/0/entries/5/entries/0/rows/77/1,4,TABLE,0.99,VOJ-rah sah-FAR,VOJ-rah sah-FAR
data/0/entries/5/entries/0/rows/78/0,4,TABLE,0.99,Velgos Ephezzrin,維爾戈斯·埃菲茲林
data/0/entries/5/entries/0/rows/78/1,4,TABLE,0.99,VEL-gohs eh-FEZ-rin,VEL-gohs eh-FEZ-rin
data/0/entries/5/entries/0/rows/79/0,4,TABLE,0.99,Vevette Blackwater,薇薇特·黑水
data/0/entries/5/entries/0/rows/79/1,4,TABLE,0.99,veh-VET,veh-VET
data/0/entries/5/entries/0/rows/80/0,4,TABLE,0.99,Vhaspar Holmdreg,瓦斯帕·霍姆德雷格
data/0/entries/5/entries/0/rows/80/1,4,TABLE,0.99,VASS-par HOLM-dreg,VASS-par HOLM-dreg
data/0/entries/5/entries/0/rows/81/0,4,TABLE,0.99,{@creature Victoro Cassalanter|WDH},{@creature Victoro Cassalanter|WDH|維克托羅·卡薩蘭特}
data/0/entries/5/entries/0/rows/81/1,4,TABLE,0.99,vik-TOR-oh KAS-ah-lan-ter,vik-TOR-oh KAS-ah-lan-ter
data/0/entries/5/entries/0/rows/82/0,4,TABLE,0.99,Volkarr Kibbens,沃爾卡·基本斯
data/0/entries/5/entries/0/rows/82/1,4,TABLE,0.99,VOAL-kar KIB-enz,VOAL-kar KIB-enz
data/0/entries/5/entries/0/rows/83/0,4,TABLE,0.99,Volothamp Geddarm,瓦羅贊普·格達姆
data/0/entries/5/entries/0/rows/83/1,4,TABLE,0.99,VOH-loh-thamp geh-DARM,VOH-loh-thamp geh-DARM
data/0/entries/5/entries/0/rows/84/0,4,TABLE,0.99,Westra Moltimmur,維絲特拉·莫爾提穆爾
data/0/entries/5/entries/0/rows/84/1,4,TABLE,0.99,WES-trah MOLT-im-ur,WES-trah MOLT-im-ur
data/0/entries/5/entries/0/rows/85/0,4,TABLE,0.99,{@creature Xanathar|WDH},{@creature Xanathar|WDH|姍娜薩}
data/0/entries/5/entries/0/rows/85/1,4,TABLE,0.99,ZAN-ah-thar,ZAN-ah-thar
data/0/entries/5/entries/0/rows/86/0,4,TABLE,0.99,{@creature Yagra Stonefist|WDH},{@creature Yagra Stonefist|WDH|雅格拉·石拳}
data/0/entries/5/entries/0/rows/86/1,4,TABLE,0.99,YAG-raw,YAG-raw
data/0/entries/5/entries/0/rows/87/0,4,TABLE,0.99,{@creature Yalah Gralhund|WDH},{@creature Yalah Gralhund|WDH|雅拉·格勞洪德}
data/0/entries/5/entries/0/rows/87/1,4,TABLE,0.99,YAW-law GRAWL-hoond,YAW-law GRAWL-hoond
data/0/entries/5/entries/0/rows/88/0,4,TABLE,0.99,Yaliek Iltizmar,雅利克·伊爾提茲瑪
data/0/entries/5/entries/0/rows/88/1,4,TABLE,0.99,yah-LEEK ill-TIZ-mar,yah-LEEK ill-TIZ-mar
data/0/entries/5/entries/0/rows/89/0,4,TABLE,0.99,Zaibon Kyszalt,扎伊邦·基薩爾特
data/0/entries/5/entries/0/rows/89/1,4,TABLE,0.99,ZYE-bawn kij-ALT,ZYE-bawn kij-ALT
data/0/entries/5/entries/0/rows/90/0,4,TABLE,0.99,{@creature Ziraj the Hunter|WDH},{@creature Ziraj the Hunter|WDH|獵人茲拉吉}
data/0/entries/5/entries/0/rows/90/1,4,TABLE,0.99,zeer-AWJ,zeer-AWJ
data/0/entries/5/entries/0/rows/91/0,4,TABLE,0.99,Zorbog Jyarkoth,佐爾博格·賈爾科斯
data/0/entries/5/entries/0/rows/91/1,4,TABLE,0.99,ZOR-bog jee-AR-koth,ZOR-bog jee-AR-koth
data/1/name,5,HEADING_LABEL,0.99,Introduction,簡介
data/1/entries/0,5,DM_INSTRUCTION,0.85,"Welcome to Waterdeep, the Crown of the North, where a wondrous tale of urban adventure is about to unfold. Our story begins with the gathering of adventurers at the Yawning Portal Inn and Tavern. {@creature Volothamp ""Volo"" Geddarm|ToA|Volothamp Geddarm}, the famous explorer and raconteur, has a quest for them-one that entangles the characters in a bitter conflict between two nefarious organizations. If the adventurers complete his quest, Volo rewards them handsomely. Yet a much greater prize lies hidden somewhere in the City of Splendors, waiting to be claimed. Waterdeep: Dragon Heist is a Dungeons & Dragons adventure designed for characters starting at 1st level. By the end of the story, the characters will be at least 5th level. If you're planning to run through the adventure as a player, stop reading now!","歡迎來到北地之冠——深水城，這裡將展開一段奇妙的都市冒險。我們的故事從冒險者們聚集在""呵欠之門""酒館和旅店開始。著名的探險家兼故事大王{@creature Volothamp ""Volo"" Geddarm|ToA|瓦羅贊普·格達姆}為他們準備了一項任務——這項任務將使角色們陷入兩個邪惡組織之間的激烈衝突。如果冒險者們完成了他的任務，瓦羅將慷慨地獎勵他們。然而，還有一個更大的獎賞隱藏在這座輝煌之城的某個角落，等待著被髮掘。深水城：龍金劫是一款為起始等級為1級角色設計的《龍與地下城》冒險。在故事結束時，角色們將至少達到5級。如果你打算以玩家身份參與這次冒險，請立即停止閱讀！"
data/1/entries/1,5,DM_INSTRUCTION,0.85,"If you're looking for higher-level adventure content set in Waterdeep, a companion product titled {@i Waterdeep: Dungeon of the Mad Mage} explores the vast dungeon under Waterdeep known as Undermountain and is designed for characters of levels all the way up to 20th.",如果你在尋找更高等級的在深水城設定的冒險內容，一個名為{@i 深水城: 瘋法師的地城}的配套產品探索了深水城下被稱為地脈迷城的廣闊地牢，並設計為適合角色等級一直提升到第20級的冒險。
data/1/entries/2/name,5,HEADING_LABEL,0.99,Story Overview,故事梗概
data/1/entries/2/entries/0,5,NARRATIVE,0.8,Waterdeep: Dragon Heist is a treasure hunt set against an urban backdrop. The adventure's plot can be summarized as follows:,《深水城：龍金劫》是一場在都市背景下進行的尋寶遊戲。這個冒險的情節可以概括如下：
