english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Antimagic Field,possible-proper-noun,79,1,data/5/entries/10/entries/5/entries/1/name,Antimagic Field,0.95,反魔法場,existing-site,contextual,反魔法場;抗魔場;反魔法領域,
Anverth Leffery,possible-proper-noun,143,1,data/8/entries/4/entries/5/entries/8/entries/2/entries/0,"Three rock gnome {@creature engineer|wdh|engineers} named Lorella Middenpump, Tervaround Waggletop, and Anverth Leffery are on duty here, along with two {@creature drow elite warrior||drow elite warriors} named Karabal L'enz and Marro Qaz'arrt. The drow guard the control room and keep the gnomes on task.",0.8,安弗斯·萊弗里,project-proposed,contextual,,
Apprentice Wizard,possible-proper-noun,194,1,data/12/entries/3/name,Apprentice Wizard,0.95,學徒法師,existing-site,contextual,學徒法師,
Arannis Nur'zekk,possible-proper-noun,101,1,data/6/entries/7/entries/3/entries/1/entries/1,"If the party includes at least one Bregan D'aerthe member with renown of 4 or more in the faction, four male {@creature drow} are waiting for the party at the top of the staircase. Their names are Arannis Nur'zekk, Beldar Tlabbath, Rylvar Tlabbath, and Draknafein Uriss. Their orders are to help the characters complete their mission, whatever the cost. These drow also have secret orders to kill {@creature Nar'l Xibrindas|wdh}, if he's still alive, and retrieve Jarlaxle's bag of holding (see {@area X35|2c7}). If you're tracking experience points, each drow gets an equal share of the XP while a member of the adventuring party.",0.8,阿蘭尼斯·努爾澤克,project-proposed,contextual,,
Armor,heading/rule,7,3,data/1/entries/6/entries/4/entries/1/rows/1/0,AC = Armor Class,0.95,護甲,existing-site,heading-only,護甲,
Arn,possible-proper-noun,4,7,data/0/entries/5/entries/0/rows/7/0,Arn Xalrondar,0.8,阿恩,project-proposed,contextual,,
Arn Xalrondar,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/7/0,Arn Xalrondar,0.8,阿恩·薩爾隆達爾,project-proposed,contextual,,
Art Imitates Life (3/Day),possible-proper-noun,89,1,data/5/entries/13/entries/5/entries/4/entries/3/name,Art Imitates Life (3/Day),0.95,藝術模仿生活（每日3次）,existing-site,contextual,藝術模仿生活（每日3次）,
Assets,possible-proper-noun,42,1,data/3/entries/5/entries/3/entries/4/name,Assets,0.95,資產,existing-site,contextual,資產,
Aurinax,possible-proper-noun,4,37,data/0/entries/5/entries/0/rows/8/0,{@creature Aurinax|WDH},0.95,奧瑞納克斯,existing-site,contextual,奧瑞納克斯,
Autumn,possible-proper-noun,7,12,data/1/entries/4/entries/3/name,Autumn,0.95,秋,existing-site,contextual,秋,
Auvryndar,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/56/0,Raelyn Auvryndar,0.8,奧弗林達爾,project-proposed,contextual,,
Avareen,possible-proper-noun,4,5,data/0/entries/5/entries/0/rows/9/0,Avareen Windrivver,0.8,阿瓦琳,project-proposed,contextual,,
Avareen Windrivver,possible-proper-noun,4,2,data/0/entries/5/entries/0/rows/9/0,Avareen Windrivver,0.8,阿瓦琳·溫德里弗,project-proposed,contextual,,
Avi,possible-proper-noun,32,7,data/3/entries/3/entries/3/entries/0,"During daylight hours, smoke and steam billow from the many windows around this indoor forge where metal weapons, armor, and tools are made. The forge is owned and operated by a married couple: a fire genasi named {@creature Embric|wdh} and a water genasi named {@creature Avi|wdh}. Both are members of the Most Careful Order of Skilled Smiths and Metalforgers. As an armorer, {@creature Avi|WDH} also belongs to the Splendid Order of Armorers, Locksmiths, and Finesmiths.",0.95,阿維,existing-site,contextual,,
Azaam,possible-proper-noun,94,1,data/5/entries/15/entries/2/entries/2/entries/1,"The doors part, sliding back into the walls, when the three correct keys are brought within 5 feet of them. They remain open until {@creature Aurinax|WDH} or someone else speaks the command word to close them (""Azaam""). The keys can open the doors from either side. The doors can't be forced open or damaged in any way, and attempts to circumvent them with magic fail automatically.",0.8,阿扎姆,project-proposed,contextual,,
BRANDATH,possible-proper-noun,70,1,data/5/entries/7/entries/7/entries/1,"The cemetery is buried in snow, and though some visitors are drawn to its scenic beauty even in winter, the blizzard keeps most of them away. The crumbling mausoleum is sealed tight, and the name BRANDATH is etched above its entrance. Large elm and birch trees grow around the structure, sheltering it as best they can with their leafless boughs.",0.8,布蘭達斯,project-proposed,contextual,,
Backpack Parachute,possible-proper-noun,47,1,data/4/entries/8/entries/2/entries/4/entries/2/name,Backpack Parachute,0.95,降落傘包,existing-site,contextual,降落傘包,
Bane,possible-proper-noun,61,7,data/5/entries/3/entries/9/entries/1/entries/1,"If he is captured and questioned, Agorn reveals that he made one stop on his way to Mistshore. He dropped off a lady friend, a priest of Bane allied with the Zhentarim, and left the stone with her and her acolytes for safekeeping. The characters can find them in an old tower in the Castle Ward (encounter 7, ""Old Tower""). Before they leave that place, the characters are confronted by {@creature Manshoon|WDH}'s simulacrum, which arrives by way of teleportation circle to collect the stone. Once the simulacrum is defeated, the characters can use the stone to learn that the entrance to the Vault of Dragons is hidden below a mausoleum in the City of the Dead (encounter 4, ""Mausoleum"").",0.8,班恩,project-proposed,contextual,,
Bard,possible-proper-noun,195,1,data/12/entries/5/name,Bard,0.95,吟遊詩人,existing-site,contextual,吟遊詩人,
Barking Box,possible-proper-noun,47,1,data/4/entries/8/entries/2/entries/4/entries/3/name,Barking Box,0.95,吠叫箱,existing-site,contextual,吠叫箱,
Barnibus,possible-proper-noun,44,25,data/4/entries/7/entries/1/entries/0/title,Saeth and Barnibus,0.95,巴尼布斯,existing-site-short-form,contextual,巴納比斯;巴尼巴斯;巴納布斯,
Barnibus Blastwind,possible-proper-noun,44,6,data/4/entries/7/entries/1/entries/1,"Twenty minutes after the explosion, a City Watch {@creature sergeant|WDH} named {@creature Saeth Cromley|wdh} (see {@adventure appendix B|WDH|12}) escorts a member of the Watchful Order of Magists and Protectors named {@creature Barnibus Blastwind|WDH} (see {@adventure appendix B|WDH|12}) to the crime scene. Barnibus quietly takes charge of the investigation at that point, while {@creature Sergeant|WDH} Cromley directs a force of twenty constables ({@creature veteran||veterans}) to knock on doors and question locals.",0.95,巴尼布斯·陣風,existing-site,contextual,巴尼布斯·陣風,
Barok Clanghammer,possible-proper-noun,96,3,data/5/entries/15/entries/2/entries/9/entries/3/title,Barok Clanghammer,0.8,巴洛克·鏗鎚,project-proposed,contextual,巴洛克·克拉漢默,
Bashekk Ortallis,possible-proper-noun,46,1,data/4/entries/7/entries/3/entries/5/items/0,Their names were Bashekk Ortallis and Wern Malkrave. They worked for {@creature Urstul Floxin|wdh} and resided at Gralhund Villa.,0.8,巴謝克·奧塔利斯,project-proposed,contextual,,
Beholders,possible-proper-noun,99,1,data/6/entries/2,"Before running this chapter, review the ""Beholders"" section of the {@book Monster Manual|mm}, particularly the section titled ""A Beholder's Lair."" Within its lair, {@creature Xanathar|WDH} has access to lair actions, and characters might encounter the beholder's regional effects as well.",0.8,眼魔,project-proposed,contextual,巨眼觸手怪;巨眼怪物;巨眼怪;巨眼魔,
Beldar Tlabbath,possible-proper-noun,101,1,data/6/entries/7/entries/3/entries/1/entries/1,"If the party includes at least one Bregan D'aerthe member with renown of 4 or more in the faction, four male {@creature drow} are waiting for the party at the top of the staircase. Their names are Arannis Nur'zekk, Beldar Tlabbath, Rylvar Tlabbath, and Draknafein Uriss. Their orders are to help the characters complete their mission, whatever the cost. These drow also have secret orders to kill {@creature Nar'l Xibrindas|wdh}, if he's still alive, and retrieve Jarlaxle's bag of holding (see {@area X35|2c7}). If you're tracking experience points, each drow gets an equal share of the XP while a member of the adventuring party.",0.8,貝爾達爾·特拉巴斯,project-proposed,contextual,,
Bent Nail,possible-proper-noun,32,4,data/3/entries/3/entries/2/name,T2. The Bent Nail,0.8,彎釘,project-proposed,contextual,彎曲的釘子,
Bepis,possible-proper-noun,112,4,data/6/entries/7/entries/4/entries/34/entries/2/entries/1,"{@creature Bepis Honeymaker|wdh} is a honey merchant who was kidnapped from his Trades Ward home a month ago. The Xanathar Guild tried to ransom him back, but seemingly his relatives either couldn't pay or decided not to. (In truth, his rotten in-laws destroyed the ransom notes and told Bepis' wife and children that he ran away with another family.) {@creature Ahmaergo|WDH} has put him to work as a cook but threatens to give him over to the mind flayer {@creature Nihiloor|WDH} every so often.",0.95,貝皮斯,existing-site-short-form,contextual,,
Bepis Honeymaker,possible-proper-noun,112,1,data/6/entries/7/entries/4/entries/34/entries/2/entries/1,"{@creature Bepis Honeymaker|wdh} is a honey merchant who was kidnapped from his Trades Ward home a month ago. The Xanathar Guild tried to ransom him back, but seemingly his relatives either couldn't pay or decided not to. (In truth, his rotten in-laws destroyed the ransom notes and told Bepis' wife and children that he ran away with another family.) {@creature Ahmaergo|WDH} has put him to work as a cook but threatens to give him over to the mind flayer {@creature Nihiloor|WDH} every so often.",0.95,貝皮斯·蜜釀師,existing-site,contextual,,
Black Network,possible-proper-noun,5,44,data/1/entries/2/entries/4/entries/0,"Beneath the city streets lurks a criminal underworld, its leader a beholder called {@creature Xanathar|WDH}. Hoping to gain a political foothold in Waterdeep, agents of the Zhentarim (also known as the Black Network) recently tried to ally their organization with the Xanathar Guild. The architect of this attempt was a clone of the wizard {@creature Manshoon|WDH}, a founder of the Black Network long thought dead.",0.8,黑網,project-proposed,contextual,黑暗網路,
Black Pudding,possible-proper-noun,95,1,data/5/entries/15/entries/2/entries/5/entries/2/name,Black Pudding,0.95,黑布丁,existing-site,contextual,黑布丁,
Black Viper,possible-proper-noun,13,14,data/1/entries/9/entries/4/entries/1/entries/4/entries/1,"Lady Esvele Rosznar (see ""The {@creature Black Viper|WDH}"" in appendix B) is a member of this house, though she keeps her masked identity and thieving escapades a secret.",0.95,黑毒蛇,existing-site,contextual,,
Blackstaff Academy,possible-proper-noun,216,1,data/12/entries/37/entries/2,"Vajra runs Blackstaff Academy, a school for mages, out of Blackstaff Tower in the Castle Ward. She is also in charge of Force Grey, an order of highly skilled adventurers who are called upon to defend the city in times of need.",0.8,黑杖學院,project-proposed,contextual,,
Blackstaff Tower,possible-proper-noun,36,5,data/3/entries/4/entries/6/entries/1/entries/0,"""I am {@creature Vajra Safahr|WDH}, the Blackstaff. Come to Blackstaff Tower in the Castle Ward at once. Bring your friends.""",0.8,黑杖塔,project-proposed,contextual,,
Blood Frenzy trait,possible-proper-noun,220,1,data/12/entries/41/entries/6/entries/1,"{@creature Xanathar|WDH}'s beloved fish, {@creature Sylgar|wdh}, has the statistics of a {@creature quipper}, except that it lacks the Blood Frenzy trait.",0.8,血腥狂暴特性,project-proposed,contextual,,
Bonnie,possible-proper-noun,20,7,data/1/entries/12/entries/5/entries/3/name,"""Bonnie""",0.95,邦妮,existing-site,contextual,,
Brandath,possible-proper-noun,70,10,data/5/entries/7/entries/7/entries/0,"The {@item Stone of Golorr|WDH} has revealed that the Vault of Dragons lies beneath the Brandath family mausoleum in the City of the Dead. The characters are unlikely to know it, but the Brandath family is an old one. Lord Dagult Neverember married into it for its wealth, and Lady Brandath gave birth to his son, Renaer. It's a dark irony that Neverember entrusted the location of his embezzled gold to his dead wife's family. {@creature Renaer Neverember|wdh} would be horrified but not surprised to learn the truth.",0.8,布蘭達斯,project-proposed,contextual,布蘭德森,
Breezeway,possible-proper-noun,180,1,data/10/entries/5/entries/11/entries/1/entries/3,"The Guild of Butchers operates several slaughterhouses, smokehouses, and leather-making facilities in the area-noisome operations that have been pushed out of the city proper. A word to the wise: being friendly with a burly fellow who is good with a knife is one of your best defenses in the Field Ward. The other place you might solicit aid is Endshift Tavern, a popular stop for off-duty members of the City Guard, situated on the corner of Endshift Street and the Breezeway. Though the guards might not be inclined to assist you, your status as a visitor to Waterdeep technically obliges them to help you reach the city proper in safety.",0.8,微風路,project-proposed,contextual,,
Bregan D'aerthe,possible-proper-noun,4,54,data/0/entries/5/entries/0/rows/10/0,Bregan D'aerthe,0.8,布雷甘·達耶,project-proposed,contextual,佈雷甘·達特;佈雷根·達特;佈雷根·達爾特;佈雷根·達厄特;佈雷根·德爾特;布雷甘·達特;佈雷甘·達爾特;布勒根·達爾特;佈雷甘·達厄斯,
Brizzenbright,possible-proper-noun,76,5,data/5/entries/9/entries/5/entries/0,"As this encounter opens, the characters follow a fleeing Zhent swashbuckler into a theater in the Trades Ward called the Brizzenbright. Named after Malkolm Brizzenbright, its dead owner, the establishment has struggled in recent years. It stays open in the winter for its own survival, but the theater is wickedly cold this time of year.",0.8,布里曾布萊特,project-proposed,contextual,,
Brondar's Way,possible-proper-noun,16,2,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,布隆達爾路,project-proposed,contextual,,
Broxley Fairkettle,possible-proper-noun,41,2,data/3/entries/5/entries/2/entries/1/name,Broxley Fairkettle,0.8,布羅克斯利·費爾凱特,project-proposed,contextual,,
Caladorn,possible-proper-noun,116,6,data/7/entries/5/entries/1/entries/3/entries/3/entries/1/items/2,"Lord {@creature Victoro Cassalanter|WDH} is the only living heir of the late Caladorn Cassalanter, a former Masked Lord and a hero of the North.",0.8,卡拉多恩,project-proposed,contextual,卡拉丁,
Caladorn Cassalanter,possible-proper-noun,116,3,data/7/entries/5/entries/1/entries/3/entries/3/entries/1/items/2,"Lord {@creature Victoro Cassalanter|WDH} is the only living heir of the late Caladorn Cassalanter, a former Masked Lord and a hero of the North.",0.8,卡拉多恩·卡薩蘭特,project-proposed,contextual,,
Candle Lane,possible-proper-noun,23,5,data/2/entries/3/entries/4/entries/1,"En route to the tavern, ""Blood in the Streets"" is a chance for characters to see the City Watch in action. If the characters decide to look around, ""Searching the Dock Ward"" gives them a feel for their surroundings, and they might discover a strange place, ""Old Xoblob Shop,"" that warrants further exploration. Once they arrive at their destination, ""The Skewered Dragon"" is an opportunity for the characters to get information from the patrons, which leads them to ""Candle Lane,"" where their quest continues.",0.8,蠟燭巷,project-proposed,contextual,燭光巷,
Cassalanter,possible-proper-noun,4,124,data/0/entries/5/entries/0/rows/6/0,{@creature Ammalia Cassalanter|WDH},0.8,卡薩蘭特,project-proposed,contextual,卡薩拉特,
Cassalanters,possible-proper-noun,6,64,data/1/entries/3/entries/5/name,The Cassalanters,0.8,卡薩蘭特家族,project-proposed,contextual,,
Castle Ward,possible-proper-noun,6,42,data/1/entries/2/entries/6/entries/0,Waterdeep is blanketed by an undispellable magical effect called {@i Ahghairon's dragonward}. The effect originates from somewhere under Ahghairon's Tower in the Castle Ward and is permanent. Dragons and all other creatures of the dragon type are physically unable to enter the city (or its sewers) as long as the dragonward persists. The effect doesn't extend to the harbor or into Undermountain.,0.8,城堡區,project-proposed,contextual,深水堡區;城堡街區,
Castle Waterdeep,possible-proper-noun,40,7,data/3/entries/4/entries/10/entries/4/entries/0,"After the characters complete two missions for Davil, he is arrested by the City Watch and held in Castle Waterdeep while he waits to be questioned by the Lords of Waterdeep about the Black Network's operations in the city. The characters continue to receive missions, but they come from {@creature Tashlyn Yafeera|WDH} (see {@adventure appendix B|WDH|12}). Characters first become aware of this change when they receive their next mission briefing, since it's written in a different hand.",0.8,深水堡,project-proposed,contextual,深水城城堡,
Ceilings,possible-proper-noun,73,5,data/5/entries/9/entries/1/items/0,"Ceilings in the rooms are 10 feet high except in {@area P5|196}, which has a 20-foot-high raftered ceiling. Connecting the rooms are 8-foot-high passages and 7-foot-high doorways.",0.95,天花板,existing-site,contextual,天花板,
Character Advancement,possible-proper-noun,14,1,data/1/entries/10/name,Character Advancement,0.95,角色升級,existing-site,contextual,角色升級,
Charisma,possible-proper-noun,10,50,data/1/entries/8/entries/3/entries/2,"If the threat of arrest becomes tedious, you can switch to the second approach, which is to merely inform the players that one or more characters have been arrested. You can describe the arrest, the subsequent detention, and the events leading up to the trial. The drawback to this approach is that player characters have no control over the situation. (This sense of helplessness has the virtue of being realistic, if not fun.) To mitigate this drawback, you might allow characters to make ability checks to influence the outcome; for example, a successful Charisma (Persuasion) check might enable a character to bribe an official or sow enough doubt in the mind of a magistrate to have the case thrown out.",0.8,魅力,project-proposed,contextual,,
Charm of Heroism,possible-proper-noun,,0,,,0.95,英勇護咒,existing-site,contextual,英雄魅力;英雄之魅力;英雄護符,
Charworl,possible-proper-noun,104,1,data/6/entries/7/entries/4/entries/8/entries/1/rows/0/1,"A male half-ogre named Groz, a minotaur named Umpok, and a female orog named Charworl",0.8,查爾沃爾,project-proposed,contextual,,
Ches,possible-proper-noun,7,5,data/1/entries/4/entries/5/entries/1/entries/0,"The Faerûnian months are Hammer, Alturiak, Ches, Tarsakh, Mirtul, Kythorn, Flamerule, Eleasis, Eleint, Marpenoth, Uktar, and Nightal.",0.8,切斯,project-proposed,contextual,日冠月,
Chest,heading/rule,65,8,data/5/entries/5/entries/1/entries/4/entries/1/name,Chest,0.95,箱子,existing-site,heading-only,箱子,
Children,heading/rule,55,3,data/4/entries/10/entries/7/entries/19/name,G18. Children's Room,0.95,子嗣,existing-site,heading-only,子嗣,
Chondathan,possible-proper-noun,20,5,data/1/entries/12/entries/5/entries/5/entries/0,{@i LG male Chondathan human fighter},0.8,瓊達斯人,project-proposed,proper-noun,,
Chosen,possible-proper-noun,36,3,data/3/entries/4/entries/5/entries/4/entries/0,"When the characters arrive at Phaulkonmere for the first time, {@creature Melannor Fellbranch|wdh|Melannor} introduces them to the lady of the estate: a noblewoman-turned-demigod and Chosen of Mielikki named Jeryth Phaulkon. Jeryth, the only member of her family who currently resides at Phaulkonmere, manifests as a disembodied female voice that can be heard by anyone in the villa gardens. She offers membership in the enclave and bestows on each new member a {@reward charm of restoration} (see ""Supernatural Gifts"" in chapter 7 of the {@book Dungeon Master's Guide|dmg}). Jeryth also offers Phaulkonmere as a safe haven for enclave members and their friends.",0.8,選民,project-proposed,contextual,,
City Watch,possible-proper-noun,6,112,data/1/entries/3/entries/5/entries/1,"The Cassalanters try to misdirect and discredit the characters rather than murder them. Victoro and Ammalia rely on their noble status to protect them, and the last thing they want is the City Watch on their doorstep.",0.95,城市守衛,existing-site,contextual,城市守衛;城市警衛;城市巡邏隊;城邦護衛隊,
City of the Dead,possible-proper-noun,15,35,data/1/entries/11/entries/6/entries/1,"Waterdeep harbors a few members of the faction, which seeks to foster harmony between nature and civilization. Members living in Waterdeep help guard the city against unnatural threats, including aberrations and undead. They also watch over the City of the Dead (Waterdeep's public cemetery) and the city's parks.",0.8,亡者之城,project-proposed,contextual,死者之城;死亡之城;死城,
Cliffwatch,possible-proper-noun,176,1,data/10/entries/5/entries/5/entries/2,"The liveliest, and perhaps the loveliest, part of the ward is the Cliffwatch. Here, the plateau upon which Waterdeep sits features cliffs so steep and high that the city wall is interrupted to either side of them. Some of the most lavish residences and most luxurious taverns and inns of Waterdeep stand along this space, boasting terraces and balconies that allow one to take in the beautiful sight of the countryside to the east. Yet you need not pay their high prices, for a public walkway along the cliff's edge offers pedestrians ample opportunity to enjoy the view.",0.8,崖望,project-proposed,contextual,,
Constructed Nature,possible-proper-noun,212,2,data/12/entries/26/entries/3/name,Constructed Nature,0.95,構裝本質,existing-site,contextual,構裝本質,
Corellon's Crown,possible-proper-noun,32,3,data/3/entries/3/entries/4/name,T4. Corellon's Crown,0.8,科瑞隆之冠,project-proposed,contextual,科瑞隆的王冠;科瑞隆王冠,
Cormyr,possible-proper-noun,172,2,data/10/entries/4/entries/9/entries/0/entries/2,"Above all, be polite. Always address a known noble as ""Lord"" or ""Lady."" A short bow or a nod of the head to acknowledge a noble upon each meeting and parting is customary. Obsequiousness and servility is something all Waterdavians scorn, but you should also beware of acting in an overly familiar, boastful, or disrespectful way when in the presence of any noble. Though this sort of behavior isn't a crime, and laws against dueling prevent a noble from initiating a direct armed confrontation, the noble families of Waterdeep have immense power in the city, often in unexpected quarters. Many have influence in nations as distant as Calimshan and Cormyr. Be assured that any slighting of a noble will not be forgotten or easily forgiven.",0.8,科米爾,project-proposed,contextual,,
Corpses,possible-proper-noun,52,5,data/4/entries/10/entries/7/entries/7/entries/2/name,Corpses,0.95,屍體,existing-site,contextual,屍體,
Corylus,possible-proper-noun,4,13,data/0/entries/5/entries/0/rows/11/0,Corylus Thann,0.8,科里勒斯,project-proposed,contextual,,
Corylus Thann,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/11/0,Corylus Thann,0.8,科里勒斯·坦恩,project-proposed,contextual,科裡勒斯·坦恩,
Courthouse,possible-proper-noun,60,11,data/5/entries/3/entries/7/entries/1/entries/2,"With the {@item Stone of Golorr|WDH} in their possession, the characters emerge from the cellar complex only to find themselves surrounded by members of the City Watch. They are arrested for one or more crimes and taken to a courthouse in the Dock Ward to face sentencing by a magister (encounter 8, ""Courthouse""). Meanwhile, the doppelganger tries to get the stone back.",0.8,法院,project-proposed,contextual,,
