english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes
Rogue,class,Rogue,,PHB; XPHB,classic; one,2,data/class/class-rogue.json,/class/0/name,class: Rogue,遊蕩者,盜賊,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Sorcerer,class,Sorcerer,,PHB; XPHB,classic; one,2,data/class/class-sorcerer.json,/class/0/name,class: Sorcerer,術士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Spellcaster Sidekick,class,Spellcaster Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/1/name,class: Spellcaster Sidekick,施法協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Warlock,class,Warlock,,PHB; XPHB,classic; one,2,data/class/class-warlock.json,/class/0/name,class: Warlock,契術師,邪術師,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Warrior Sidekick,class,Warrior Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/2/name,class: Warrior Sidekick,武者協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Wizard,class,Wizard,,PHB; XPHB,classic; one,2,data/class/class-wizard.json,/class/0/name,class: Wizard,法師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Ability Score Improvement,class-feature,Artificer; Barbarian; Bard; Cleric; Druid; Expert Sidekick; Fighter; Monk; Mystic; Paladin; Ranger; Rogue; Sorcerer; Spellcaster Sidekick; Warlock; Warrior Sidekick; Wizard,,EFA; PHB; TCE; UATheMysticClass; XPHB,classic-or-other; one,145,data/class/class-artificer.json,/classFeature/4/name,class-feature: Ability Score Improvement,屬性值提升,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Abjure Foes,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/38/name,class-feature: Abjure Foes,,,pending,,0.50,
Acrobatic Movement,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/55/name,class-feature: Acrobatic Movement,,,pending,,0.50,
Action Surge,class-feature,Fighter,,PHB; XPHB,classic-or-other; one,3,data/class/class-fighter.json,/classFeature/2/name,class-feature: Action Surge,動作如潮,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Action Surge (two uses),class-feature,Fighter,,PHB,classic-or-other,1,data/class/class-fighter.json,/classFeature/18/name,class-feature: Action Surge (two uses),動作如潮(2次),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Advanced Artifice,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/13/name,class-feature: Advanced Artifice,,,pending,,0.50,
Arcane Apotheosis,class-feature,Sorcerer,,XPHB,one,1,data/class/class-sorcerer.json,/classFeature/38/name,class-feature: Arcane Apotheosis,,,pending,,0.50,
Arcane Recovery,class-feature,Wizard,,PHB; XPHB,classic-or-other; one,2,data/class/class-wizard.json,/classFeature/0/name,class-feature: Arcane Recovery,奧術恢復,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Arcane Tradition,class-feature,Wizard,,PHB,classic-or-other,1,data/class/class-wizard.json,/classFeature/2/name,class-feature: Arcane Tradition,奧法學派,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Arcane Tradition feature,class-feature,Wizard,,PHB,classic-or-other,3,data/class/class-wizard.json,/classFeature/5/name,class-feature: Arcane Tradition feature,奧法學派能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Archdruid,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/18/name,class-feature: Archdruid,大德魯伊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Artificer Specialist,class-feature,Artificer,,TCE,classic-or-other,1,data/class/class-artificer.json,/classFeature/24/name,class-feature: Artificer Specialist,奇械師專業,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Artificer Specialist Feature,class-feature,Artificer,,TCE,classic-or-other,3,data/class/class-artificer.json,/classFeature/27/name,class-feature: Artificer Specialist Feature,奇械師專業能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Artificer Subclass,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/3/name,class-feature: Artificer Subclass,,,pending,,0.50,
Aura Expansion,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/45/name,class-feature: Aura Expansion,,,pending,,0.50,
Aura improvements,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/21/name,class-feature: Aura improvements,靈光強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Aura of Courage,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/15/name,class-feature: Aura of Courage,勇氣靈光,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Aura of Protection,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/12/name,class-feature: Aura of Protection,守護靈光,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Barbarian Subclass,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/30/name,class-feature: Barbarian Subclass,,,pending,,0.50,
Bard College,class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/5/name,class-feature: Bard College,吟遊學院,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Bard College feature,class-feature,Bard,,PHB,classic-or-other,2,data/class/class-bard.json,/classFeature/11/name,class-feature: Bard College feature,吟遊學院能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Bard Subclass,class-feature,Bard,,XPHB,one,1,data/class/class-bard.json,/classFeature/32/name,class-feature: Bard Subclass,,,pending,,0.50,
Bardic Inspiration,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/0/name,class-feature: Bardic Inspiration,吟遊激勵,吟遊激勵(d8),conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Bardic Inspiration (d10),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/15/name,class-feature: Bardic Inspiration (d10),吟遊激勵(d10),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Bardic Inspiration (d12),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/22/name,class-feature: Bardic Inspiration (d12),吟遊激勵(d12),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Bardic Inspiration (d8),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/9/name,class-feature: Bardic Inspiration (d8),,,pending,,0.50,
Bardic Versatility,class-feature,Bard,,TCE,classic-or-other,1,data/class/class-bard.json,/classFeature/8/name,class-feature: Bardic Versatility,多才詩人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Battle Readiness,class-feature,Warrior Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/36/name,class-feature: Battle Readiness,備戰,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Beast Spells,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/15/name,class-feature: Beast Spells,野獸施法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Blessed Strikes,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/35/name,class-feature: Blessed Strikes,受祝擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Blindsense,class-feature,Rogue,,PHB,classic-or-other,1,data/class/class-rogue.json,/classFeature/16/name,class-feature: Blindsense,盲感,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Body and Mind,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/67/name,class-feature: Body and Mind,,,pending,,0.50,
Bonus Proficiencies,class-feature,Expert Sidekick; Spellcaster Sidekick; Warrior Sidekick,,TCE,classic-or-other,3,data/class/class-sidekick.json,/classFeature/0/name,class-feature: Bonus Proficiencies,額外熟練,額外熟練項,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Bonus Unarmed Strike,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/34/name,class-feature: Bonus Unarmed Strike,,,pending,,0.50,
Brutal Critical (1 die),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/13/name,class-feature: Brutal Critical (1 die),兇蠻重擊(1顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Brutal Critical (2 dice),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/17/name,class-feature: Brutal Critical (2 dice),兇蠻重擊(2顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Brutal Critical (3 dice),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/21/name,class-feature: Brutal Critical (3 dice),兇蠻重擊(3顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Brutal Strike,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/39/name,class-feature: Brutal Strike,,,pending,,0.50,
Cantrip Formulas,class-feature,Wizard,,TCE,classic-or-other,1,data/class/class-wizard.json,/classFeature/3/name,class-feature: Cantrip Formulas,戲法公式,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Cantrip Versatility,class-feature,Cleric; Druid,,TCE,classic-or-other,2,data/class/class-cleric.json,/classFeature/7/name,class-feature: Cantrip Versatility,替換戲法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Channel Divinity,class-feature,Cleric; Paladin,,PHB; XPHB,classic-or-other; one,6,data/class/class-cleric.json,/classFeature/2/name,class-feature: Channel Divinity,引導神力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Channel Divinity: Harness Divine Power,class-feature,Cleric; Paladin,,TCE,classic-or-other,2,data/class/class-cleric.json,/classFeature/3/name,class-feature: Channel Divinity: Harness Divine Power,引導神力：神力掌控,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Channel Divinity: Turn Undead,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/4/name,class-feature: Channel Divinity: Turn Undead,,,pending,,0.50,
Cleansing Touch,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/18/name,class-feature: Cleansing Touch,淨化之觸,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Cleric Subclass,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/31/name,class-feature: Cleric Subclass,,,pending,,0.50,
Consumptive Power,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/12/name,class-feature: Consumptive Power,,,pending,,0.50,
Contact Patron,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/26/name,class-feature: Contact Patron,,,pending,,0.50,
Coordinated Strike,class-feature,Expert Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/6/name,class-feature: Coordinated Strike,協同攻擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Countercharm,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/12/name,class-feature: Countercharm,反制迷惑,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Cunning Action,class-feature,Expert Sidekick; Rogue,,PHB; TCE; XPHB,classic-or-other; one,3,data/class/class-rogue.json,/classFeature/3/name,class-feature: Cunning Action,靈巧動作,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Cunning Strike,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/31/name,class-feature: Cunning Strike,,,pending,,0.50,
Danger Sense,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/2/name,class-feature: Danger Sense,險境感知,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Daze (Cost: 2d6),class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/45/name,class-feature: Daze (Cost: 2d6),,,pending,,0.50,
Dedicated Weapon,class-feature,Monk,,TCE,classic-or-other,1,data/class/class-monk.json,/classFeature/2/name,class-feature: Dedicated Weapon,專用武器,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Deflect Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/45/name,class-feature: Deflect Attacks,,,pending,,0.50,
Deflect Energy,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/60/name,class-feature: Deflect Energy,,,pending,,0.50,
Deflect Missiles,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/8/name,class-feature: Deflect Missiles,撥擋飛彈,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Deft Explorer,class-feature,Ranger,,TCE; XPHB,classic-or-other; one,2,data/class/class-ranger.json,/classFeature/0/name,class-feature: Deft Explorer,熟練探險家,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Deft Explorer Improvement,class-feature,Ranger,,TCE,classic-or-other,2,data/class/class-ranger.json,/classFeature/13/name,class-feature: Deft Explorer Improvement,熟練探險家強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Destroy Undead (CR 1),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/12/name,class-feature: Destroy Undead (CR 1),,,pending,,0.50,
Destroy Undead (CR 1/2),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/8/name,class-feature: Destroy Undead (CR 1/2),,,pending,,0.50,
Destroy Undead (CR 2),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/15/name,class-feature: Destroy Undead (CR 2),摧毀不死 (CR 2),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Destroy Undead (CR 3),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/17/name,class-feature: Destroy Undead (CR 3),摧毀不死 (CR 3),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Destroy Undead (CR 4),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/19/name,class-feature: Destroy Undead (CR 4),摧毀不死 (CR 4),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Devious Strikes,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/46/name,class-feature: Devious Strikes,,,pending,,0.50,
Dexterous Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/35/name,class-feature: Dexterous Attacks,,,pending,,0.50,
Diamond Soul,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/27/name,class-feature: Diamond Soul,金剛魂,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Disciplined Survivor,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/61/name,class-feature: Disciplined Survivor,,,pending,,0.50,
Divine Domain,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/0/name,class-feature: Divine Domain,神聖領域,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Domain feature,class-feature,Cleric,,PHB,classic-or-other,4,data/class/class-cleric.json,/classFeature/5/name,class-feature: Divine Domain feature,神聖領域能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Health,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/7/name,class-feature: Divine Health,神性體魄,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Intervention,class-feature,Cleric,,PHB; XPHB,classic-or-other; one,2,data/class/class-cleric.json,/classFeature/14/name,class-feature: Divine Intervention,神力干預,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Intervention Improvement,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/23/name,class-feature: Divine Intervention Improvement,神力干預強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Order,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/24/name,class-feature: Divine Order,,,pending,,0.50,
Divine Sense,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/0/name,class-feature: Divine Sense,神聖感知,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Smite,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/2/name,class-feature: Divine Smite,至聖斬,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Divine Spark,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/29/name,class-feature: Divine Spark,,,pending,,0.50,
Divine Strike,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/36/name,class-feature: Divine Strike,神聖打擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Druid Circle,class-feature,Druid,,PHB,classic-or-other,1,data/class/class-druid.json,/classFeature/2/name,class-feature: Druid Circle,德魯伊結社,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Druid Circle feature,class-feature,Druid,,PHB,classic-or-other,3,data/class/class-druid.json,/classFeature/8/name,class-feature: Druid Circle feature,德魯伊結社能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Druid Subclass,class-feature,Druid,,XPHB,one,1,data/class/class-druid.json,/classFeature/26/name,class-feature: Druid Subclass,,,pending,,0.50,
Druidic,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/0/name,class-feature: Druidic,德魯伊語,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Eldritch Invocation Options,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/18/name,class-feature: Eldritch Invocation Options,,,pending,,0.50,
Eldritch Invocations,class-feature,Warlock,,PHB; XPHB,classic-or-other; one,2,data/class/class-warlock.json,/classFeature/2/name,class-feature: Eldritch Invocations,魔能祈喚,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Eldritch Master,class-feature,Warlock,,PHB; XPHB,classic-or-other; one,2,data/class/class-warlock.json,/classFeature/17/name,class-feature: Eldritch Master,魔能大師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Eldritch Versatility,class-feature,Warlock,,TCE,classic-or-other,1,data/class/class-warlock.json,/classFeature/5/name,class-feature: Eldritch Versatility,魔能選項,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Elemental Fury,class-feature,Druid,,XPHB,one,1,data/class/class-druid.json,/classFeature/30/name,class-feature: Elemental Fury,,,pending,,0.50,
Elusive,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/20/name,class-feature: Elusive,捉摸不定,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Empowered Spells,class-feature,Spellcaster Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/25/name,class-feature: Empowered Spells,增強法術,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Empowered Strikes,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/51/name,class-feature: Empowered Strikes,,,pending,,0.50,
Empty Body,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/31/name,class-feature: Empty Body,空靈體,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Epic Boon,class-feature,Artificer; Barbarian; Bard; Cleric; Druid; Fighter; Monk; Paladin; Ranger; Rogue; Sorcerer; Warlock; Wizard,,EFA; XPHB,classic-or-other; one,13,data/class/class-artificer.json,/classFeature/17/name,class-feature: Epic Boon,,,pending,,0.50,
Evasion,class-feature,Expert Sidekick; Monk; Rogue,,PHB; TCE; XPHB,classic-or-other; one,5,data/class/class-monk.json,/classFeature/19/name,class-feature: Evasion,反射閃避,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Expertise,class-feature,Bard; Expert Sidekick; Ranger; Rogue,,PHB; TCE; XPHB,classic-or-other; one,11,data/class/class-bard.json,/classFeature/6/name,class-feature: Expertise,專精,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Extra Attack,class-feature,Barbarian; Fighter; Monk; Paladin; Ranger; Warrior Sidekick,,PHB; TCE; XPHB,classic-or-other; one,11,data/class/class-barbarian.json,/classFeature/7/name,class-feature: Extra Attack,額外攻擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Extra Attack (2),class-feature,Fighter,,PHB,classic-or-other,1,data/class/class-fighter.json,/classFeature/12/name,class-feature: Extra Attack (2),額外攻擊(2),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Extra Attack (3),class-feature,Fighter,,PHB,classic-or-other,1,data/class/class-fighter.json,/classFeature/22/name,class-feature: Extra Attack (3),額外攻擊(3),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Extra Attack Improvement,class-feature,Warrior Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/42/name,class-feature: Extra Attack Improvement,額外攻擊強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Faithful Steed,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/34/name,class-feature: Faithful Steed,,,pending,,0.50,
Fast Movement,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/8/name,class-feature: Fast Movement,快速移動,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Favored Enemy,class-feature,Ranger,,PHB; XPHB,classic-or-other; one,2,data/class/class-ranger.json,/classFeature/1/name,class-feature: Favored Enemy,宿敵,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Favored Enemy and Natural Explorer improvements,class-feature,Ranger,,PHB,classic-or-other,1,data/class/class-ranger.json,/classFeature/14/name,class-feature: Favored Enemy and Natural Explorer improvements,宿敵和自然探索者強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Favored Enemy improvement,class-feature,Ranger,,PHB,classic-or-other,1,data/class/class-ranger.json,/classFeature/24/name,class-feature: Favored Enemy improvement,宿敵強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Favored Foe,class-feature,Ranger,,TCE,classic-or-other,1,data/class/class-ranger.json,/classFeature/2/name,class-feature: Favored Foe,夙敵,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Feral Instinct,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/10/name,class-feature: Feral Instinct,野性直覺,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Feral Senses,class-feature,Ranger,,PHB; XPHB,classic-or-other; one,2,data/class/class-ranger.json,/classFeature/28/name,class-feature: Feral Senses,野性感官,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Fighter Subclass,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/28/name,class-feature: Fighter Subclass,,,pending,,0.50,
Fighting Style,class-feature,Fighter; Paladin; Ranger,,PHB; XPHB,classic-or-other; one,6,data/class/class-fighter.json,/classFeature/0/name,class-feature: Fighting Style,戰鬥風格,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Flash of Genius,class-feature,Artificer,,EFA; TCE,classic-or-other,2,data/class/class-artificer.json,/classFeature/7/name,class-feature: Flash of Genius,靈光一閃,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Flexible Casting,class-feature,Sorcerer,,PHB,classic-or-other,1,data/class/class-sorcerer.json,/classFeature/2/name,class-feature: Flexible Casting,易變施法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Flurry of Blows,class-feature,Monk,,PHB; XPHB,classic-or-other; one,2,data/class/class-monk.json,/classFeature/3/name,class-feature: Flurry of Blows,疾風連擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Focused Aim,class-feature,Monk,,TCE,classic-or-other,1,data/class/class-monk.json,/classFeature/15/name,class-feature: Focused Aim,凝神聚氣,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Focused Casting,class-feature,Spellcaster Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/28/name,class-feature: Focused Casting,專注施法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
