english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes,final_zh_tw,final_source
Warrior Sidekick,class,Warrior Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/2/name,class: Warrior Sidekick,武者協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,武者協力者,5eclone.pingstudio.tw (legacy exact ENG_name match)
Wizard,class,Wizard,,PHB; XPHB,classic; one,2,data/class/class-wizard.json,/class/0/name,class: Wizard,法師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,法師,5eclone.pingstudio.tw (legacy exact ENG_name match)
Ability Score Improvement,class-feature,Artificer; Barbarian; Bard; Cleric; Druid; Expert Sidekick; Fighter; Monk; Mystic; Paladin; Ranger; Rogue; Sorcerer; Spellcaster Sidekick; Warlock; Warrior Sidekick; Wizard,,EFA; PHB; TCE; UATheMysticClass; XPHB,classic-or-other; one,145,data/class/class-artificer.json,/classFeature/4/name,class-feature: Ability Score Improvement,屬性值提升,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,屬性值提升,5eclone.pingstudio.tw (legacy exact ENG_name match)
Abjure Foes,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/38/name,class-feature: Abjure Foes,,,pending,,0.50,,棄絕眾敵,shuaishuaidnd.cn + OpenCC s2twp
Acrobatic Movement,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/55/name,class-feature: Acrobatic Movement,,,pending,,0.50,,飛簷走壁,shuaishuaidnd.cn + OpenCC s2twp
Action Surge,class-feature,Fighter,,PHB; XPHB,classic-or-other; one,3,data/class/class-fighter.json,/classFeature/2/name,class-feature: Action Surge,動作如潮,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,動作如潮,5eclone.pingstudio.tw (legacy exact ENG_name match)
Action Surge (two uses),class-feature,Fighter,,PHB,classic-or-other,1,data/class/class-fighter.json,/classFeature/18/name,class-feature: Action Surge (two uses),動作如潮(2次),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,動作如潮(2次),5eclone.pingstudio.tw (legacy exact ENG_name match)
Advanced Artifice,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/13/name,class-feature: Advanced Artifice,,,pending,,0.50,,高等巧計,shuaishuaidnd.cn + OpenCC s2twp
Arcane Apotheosis,class-feature,Sorcerer,,XPHB,one,1,data/class/class-sorcerer.json,/classFeature/38/name,class-feature: Arcane Apotheosis,,,pending,,0.50,,奧術登神,shuaishuaidnd.cn + OpenCC s2twp
Arcane Recovery,class-feature,Wizard,,PHB; XPHB,classic-or-other; one,2,data/class/class-wizard.json,/classFeature/0/name,class-feature: Arcane Recovery,奧術恢復,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奧術恢復,5eclone.pingstudio.tw (legacy exact ENG_name match)
Arcane Tradition,class-feature,Wizard,,PHB,classic-or-other,1,data/class/class-wizard.json,/classFeature/2/name,class-feature: Arcane Tradition,奧法學派,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奧法學派,5eclone.pingstudio.tw (legacy exact ENG_name match)
Arcane Tradition feature,class-feature,Wizard,,PHB,classic-or-other,3,data/class/class-wizard.json,/classFeature/5/name,class-feature: Arcane Tradition feature,奧法學派能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奧法學派能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Archdruid,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/18/name,class-feature: Archdruid,大德魯伊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,大德魯伊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Artificer Specialist,class-feature,Artificer,,TCE,classic-or-other,1,data/class/class-artificer.json,/classFeature/24/name,class-feature: Artificer Specialist,奇械師專業,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奇械師專業,5eclone.pingstudio.tw (legacy exact ENG_name match)
Artificer Specialist Feature,class-feature,Artificer,,TCE,classic-or-other,3,data/class/class-artificer.json,/classFeature/27/name,class-feature: Artificer Specialist Feature,奇械師專業能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奇械師專業能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Artificer Subclass,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/3/name,class-feature: Artificer Subclass,,,pending,,0.50,,奇械師子職,shuaishuaidnd.cn + OpenCC s2twp
Aura Expansion,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/45/name,class-feature: Aura Expansion,,,pending,,0.50,,靈光增效,shuaishuaidnd.cn + OpenCC s2twp
Aura improvements,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/21/name,class-feature: Aura improvements,靈光強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,靈光強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Aura of Courage,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/15/name,class-feature: Aura of Courage,勇氣靈光,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,勇氣靈光,5eclone.pingstudio.tw (legacy exact ENG_name match)
Aura of Protection,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/12/name,class-feature: Aura of Protection,守護靈光,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,守護靈光,5eclone.pingstudio.tw (legacy exact ENG_name match)
Barbarian Subclass,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/30/name,class-feature: Barbarian Subclass,,,pending,,0.50,,野蠻人子職,shuaishuaidnd.cn + OpenCC s2twp
Bard College,class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/5/name,class-feature: Bard College,吟遊學院,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊學院,5eclone.pingstudio.tw (legacy exact ENG_name match)
Bard College feature,class-feature,Bard,,PHB,classic-or-other,2,data/class/class-bard.json,/classFeature/11/name,class-feature: Bard College feature,吟遊學院能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊學院能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Bard Subclass,class-feature,Bard,,XPHB,one,1,data/class/class-bard.json,/classFeature/32/name,class-feature: Bard Subclass,,,pending,,0.50,,吟遊詩人子職,shuaishuaidnd.cn + OpenCC s2twp
Bardic Inspiration,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/0/name,class-feature: Bardic Inspiration,吟遊激勵,吟遊激勵(d8),conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.,吟遊激勵,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives
Bardic Inspiration (d10),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/15/name,class-feature: Bardic Inspiration (d10),吟遊激勵(d10),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊激勵(d10),5eclone.pingstudio.tw (legacy exact ENG_name match)
Bardic Inspiration (d12),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/22/name,class-feature: Bardic Inspiration (d12),吟遊激勵(d12),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊激勵(d12),5eclone.pingstudio.tw (legacy exact ENG_name match)
Bardic Inspiration (d8),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/9/name,class-feature: Bardic Inspiration (d8),,,pending,,0.50,,詩人激勵(d8),shuaishuaidnd.cn + OpenCC s2twp
Bardic Versatility,class-feature,Bard,,TCE,classic-or-other,1,data/class/class-bard.json,/classFeature/8/name,class-feature: Bardic Versatility,多才詩人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,多才詩人,5eclone.pingstudio.tw (legacy exact ENG_name match)
Battle Readiness,class-feature,Warrior Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/36/name,class-feature: Battle Readiness,備戰,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,備戰,5eclone.pingstudio.tw (legacy exact ENG_name match)
Beast Spells,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/15/name,class-feature: Beast Spells,野獸施法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,野獸施法,5eclone.pingstudio.tw (legacy exact ENG_name match)
Blessed Strikes,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/35/name,class-feature: Blessed Strikes,受祝擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,受祝擊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Blindsense,class-feature,Rogue,,PHB,classic-or-other,1,data/class/class-rogue.json,/classFeature/16/name,class-feature: Blindsense,盲感,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,盲感,5eclone.pingstudio.tw (legacy exact ENG_name match)
Body and Mind,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/67/name,class-feature: Body and Mind,,,pending,,0.50,,天人合一,shuaishuaidnd.cn + OpenCC s2twp
Bonus Proficiencies,class-feature,Expert Sidekick; Spellcaster Sidekick; Warrior Sidekick,,TCE,classic-or-other,3,data/class/class-sidekick.json,/classFeature/0/name,class-feature: Bonus Proficiencies,額外熟練,額外熟練項,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.,額外熟練,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives
Bonus Unarmed Strike,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/34/name,class-feature: Bonus Unarmed Strike,,,pending,,0.50,,附贈徒手打擊,shuaishuaidnd.cn + OpenCC s2twp
Brutal Critical (1 die),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/13/name,class-feature: Brutal Critical (1 die),兇蠻重擊(1顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,兇蠻重擊(1顆骰),5eclone.pingstudio.tw (legacy exact ENG_name match)
Brutal Critical (2 dice),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/17/name,class-feature: Brutal Critical (2 dice),兇蠻重擊(2顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,兇蠻重擊(2顆骰),5eclone.pingstudio.tw (legacy exact ENG_name match)
Brutal Critical (3 dice),class-feature,Barbarian,,PHB,classic-or-other,1,data/class/class-barbarian.json,/classFeature/21/name,class-feature: Brutal Critical (3 dice),兇蠻重擊(3顆骰),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,兇蠻重擊(3顆骰),5eclone.pingstudio.tw (legacy exact ENG_name match)
Brutal Strike,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/39/name,class-feature: Brutal Strike,,,pending,,0.50,,兇蠻打擊,shuaishuaidnd.cn + OpenCC s2twp
Cantrip Formulas,class-feature,Wizard,,TCE,classic-or-other,1,data/class/class-wizard.json,/classFeature/3/name,class-feature: Cantrip Formulas,戲法公式,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,戲法公式,5eclone.pingstudio.tw (legacy exact ENG_name match)
Cantrip Versatility,class-feature,Cleric; Druid,,TCE,classic-or-other,2,data/class/class-cleric.json,/classFeature/7/name,class-feature: Cantrip Versatility,替換戲法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,替換戲法,5eclone.pingstudio.tw (legacy exact ENG_name match)
Channel Divinity,class-feature,Cleric; Paladin,,PHB; XPHB,classic-or-other; one,6,data/class/class-cleric.json,/classFeature/2/name,class-feature: Channel Divinity,引導神力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,引導神力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Channel Divinity: Harness Divine Power,class-feature,Cleric; Paladin,,TCE,classic-or-other,2,data/class/class-cleric.json,/classFeature/3/name,class-feature: Channel Divinity: Harness Divine Power,引導神力：神力掌控,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,引導神力：神力掌控,5eclone.pingstudio.tw (legacy exact ENG_name match)
Channel Divinity: Turn Undead,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/4/name,class-feature: Channel Divinity: Turn Undead,,,pending,,0.50,,引導神力：驅散不死生物,shuaishuaidnd.cn + OpenCC s2twp
Cleansing Touch,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/18/name,class-feature: Cleansing Touch,淨化之觸,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,淨化之觸,5eclone.pingstudio.tw (legacy exact ENG_name match)
Cleric Subclass,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/31/name,class-feature: Cleric Subclass,,,pending,,0.50,,牧師子職,shuaishuaidnd.cn + OpenCC s2twp
Consumptive Power,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/12/name,class-feature: Consumptive Power,,,pending,,0.50,,燃燒心火,shuaishuaidnd.cn + OpenCC s2twp
Contact Patron,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/26/name,class-feature: Contact Patron,,,pending,,0.50,,聯絡宗主,shuaishuaidnd.cn + OpenCC s2twp
Coordinated Strike,class-feature,Expert Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/6/name,class-feature: Coordinated Strike,協同攻擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,協同攻擊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Countercharm,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/12/name,class-feature: Countercharm,反制迷惑,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,反制迷惑,5eclone.pingstudio.tw (legacy exact ENG_name match)
Cunning Action,class-feature,Expert Sidekick; Rogue,,PHB; TCE; XPHB,classic-or-other; one,3,data/class/class-rogue.json,/classFeature/3/name,class-feature: Cunning Action,靈巧動作,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,靈巧動作,5eclone.pingstudio.tw (legacy exact ENG_name match)
Cunning Strike,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/31/name,class-feature: Cunning Strike,,,pending,,0.50,,詭詐打擊,shuaishuaidnd.cn + OpenCC s2twp
Danger Sense,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/2/name,class-feature: Danger Sense,險境感知,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,險境感知,5eclone.pingstudio.tw (legacy exact ENG_name match)
Daze (Cost: 2d6),class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/45/name,class-feature: Daze (Cost: 2d6),,,pending,,0.50,,恍惚（花費：2d6）,shuaishuaidnd.cn + OpenCC s2twp
Dedicated Weapon,class-feature,Monk,,TCE,classic-or-other,1,data/class/class-monk.json,/classFeature/2/name,class-feature: Dedicated Weapon,專用武器,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,專用武器,5eclone.pingstudio.tw (legacy exact ENG_name match)
Deflect Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/45/name,class-feature: Deflect Attacks,,,pending,,0.50,,撥擋攻擊,shuaishuaidnd.cn + OpenCC s2twp
Deflect Energy,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/60/name,class-feature: Deflect Energy,,,pending,,0.50,,撥擋能量,shuaishuaidnd.cn + OpenCC s2twp
Deflect Missiles,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/8/name,class-feature: Deflect Missiles,撥擋飛彈,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,撥擋飛彈,5eclone.pingstudio.tw (legacy exact ENG_name match)
Deft Explorer,class-feature,Ranger,,TCE; XPHB,classic-or-other; one,2,data/class/class-ranger.json,/classFeature/0/name,class-feature: Deft Explorer,熟練探險家,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,熟練探險家,5eclone.pingstudio.tw (legacy exact ENG_name match)
Deft Explorer Improvement,class-feature,Ranger,,TCE,classic-or-other,2,data/class/class-ranger.json,/classFeature/13/name,class-feature: Deft Explorer Improvement,熟練探險家強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,熟練探險家強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Destroy Undead (CR 1),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/12/name,class-feature: Destroy Undead (CR 1),,,pending,,0.50,,摧毀不死生物（CR 1）,shuaishuaidnd.cn + OpenCC s2twp
Destroy Undead (CR 1/2),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/8/name,class-feature: Destroy Undead (CR 1/2),,,pending,,0.50,,摧毀不死生物（CR 1/2）,shuaishuaidnd.cn + OpenCC s2twp
Destroy Undead (CR 2),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/15/name,class-feature: Destroy Undead (CR 2),摧毀不死 (CR 2),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,摧毀不死 (CR 2),5eclone.pingstudio.tw (legacy exact ENG_name match)
Destroy Undead (CR 3),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/17/name,class-feature: Destroy Undead (CR 3),摧毀不死 (CR 3),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,摧毀不死 (CR 3),5eclone.pingstudio.tw (legacy exact ENG_name match)
Destroy Undead (CR 4),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/19/name,class-feature: Destroy Undead (CR 4),摧毀不死 (CR 4),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,摧毀不死 (CR 4),5eclone.pingstudio.tw (legacy exact ENG_name match)
Devious Strikes,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/46/name,class-feature: Devious Strikes,,,pending,,0.50,,兇狡打擊,shuaishuaidnd.cn + OpenCC s2twp
Dexterous Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/35/name,class-feature: Dexterous Attacks,,,pending,,0.50,,敏捷攻擊,shuaishuaidnd.cn + OpenCC s2twp
Diamond Soul,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/27/name,class-feature: Diamond Soul,金剛魂,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,金剛魂,5eclone.pingstudio.tw (legacy exact ENG_name match)
Disciplined Survivor,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/61/name,class-feature: Disciplined Survivor,,,pending,,0.50,,圓融自在,shuaishuaidnd.cn + OpenCC s2twp
Divine Domain,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/0/name,class-feature: Divine Domain,神聖領域,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖領域,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Domain feature,class-feature,Cleric,,PHB,classic-or-other,4,data/class/class-cleric.json,/classFeature/5/name,class-feature: Divine Domain feature,神聖領域能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖領域能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Health,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/7/name,class-feature: Divine Health,神性體魄,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神性體魄,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Intervention,class-feature,Cleric,,PHB; XPHB,classic-or-other; one,2,data/class/class-cleric.json,/classFeature/14/name,class-feature: Divine Intervention,神力干預,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神力干預,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Intervention Improvement,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/23/name,class-feature: Divine Intervention Improvement,神力干預強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神力干預強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Order,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/24/name,class-feature: Divine Order,,,pending,,0.50,,聖職,shuaishuaidnd.cn + OpenCC s2twp
Divine Sense,class-feature,Paladin,,PHB; XPHB,classic-or-other; one,2,data/class/class-paladin.json,/classFeature/0/name,class-feature: Divine Sense,神聖感知,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖感知,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Smite,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/2/name,class-feature: Divine Smite,至聖斬,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,至聖斬,5eclone.pingstudio.tw (legacy exact ENG_name match)
Divine Spark,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/29/name,class-feature: Divine Spark,,,pending,,0.50,,神聖火花,shuaishuaidnd.cn + OpenCC s2twp
Divine Strike,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/36/name,class-feature: Divine Strike,神聖打擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖打擊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Druid Circle,class-feature,Druid,,PHB,classic-or-other,1,data/class/class-druid.json,/classFeature/2/name,class-feature: Druid Circle,德魯伊結社,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,德魯伊結社,5eclone.pingstudio.tw (legacy exact ENG_name match)
Druid Circle feature,class-feature,Druid,,PHB,classic-or-other,3,data/class/class-druid.json,/classFeature/8/name,class-feature: Druid Circle feature,德魯伊結社能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,德魯伊結社能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Druid Subclass,class-feature,Druid,,XPHB,one,1,data/class/class-druid.json,/classFeature/26/name,class-feature: Druid Subclass,,,pending,,0.50,,德魯伊子職,shuaishuaidnd.cn + OpenCC s2twp
Druidic,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/0/name,class-feature: Druidic,德魯伊語,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,德魯伊語,5eclone.pingstudio.tw (legacy exact ENG_name match)
Eldritch Invocation Options,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/18/name,class-feature: Eldritch Invocation Options,,,pending,,0.50,,魔能祈喚選項,shuaishuaidnd.cn + OpenCC s2twp
