english,category,zh_tw,alternative_zh_tw,source,status,lock,notes
Brutal Critical (2 dice),classFeature,兇蠻重擊(2顆骰),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Brutal Critical (3 dice),classFeature,兇蠻重擊(3顆骰),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Brutal Strike,classFeature,兇蠻打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cantrip Formulas,classFeature,戲法公式,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cantrip Versatility,classFeature,替換戲法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity,classFeature,引導神力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Harness Divine Power,classFeature,引導神力：神力掌控,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Turn Undead,classFeature,引導神力：驅散不死生物,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cleansing Touch,classFeature,淨化之觸,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cleric Subclass,classFeature,牧師子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Consumptive Power,classFeature,燃燒心火,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Contact Patron,classFeature,聯絡宗主,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Coordinated Strike,classFeature,協同攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Countercharm,classFeature,反制迷惑,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cunning Action,classFeature,靈巧動作,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cunning Strike,classFeature,詭詐打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Danger Sense,classFeature,險境感知,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Daze (Cost: 2d6),classFeature,恍惚（花費：2d6）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dedicated Weapon,classFeature,專用武器,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deflect Attacks,classFeature,撥擋攻擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Deflect Energy,classFeature,撥擋能量,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Deflect Missiles,classFeature,撥擋飛彈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deft Explorer,classFeature,熟練探險家,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deft Explorer Improvement,classFeature,熟練探險家強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Destroy Undead (CR 1),classFeature,摧毀不死生物（CR 1）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Destroy Undead (CR 1/2),classFeature,摧毀不死生物（CR 1/2）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Destroy Undead (CR 2),classFeature,摧毀不死 (CR 2),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Destroy Undead (CR 3),classFeature,摧毀不死 (CR 3),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Destroy Undead (CR 4),classFeature,摧毀不死 (CR 4),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Devious Strikes,classFeature,兇狡打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dexterous Attacks,classFeature,敏捷攻擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Diamond Soul,classFeature,金剛魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Disciplined Survivor,classFeature,圓融自在,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Divine Domain,classFeature,神聖領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Domain feature,classFeature,神聖領域能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Health,classFeature,神性體魄,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Intervention,classFeature,神力干預,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Intervention Improvement,classFeature,神力干預強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Order,classFeature,聖職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Divine Sense,classFeature,神聖感知,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Smite,classFeature,至聖斬,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Spark,classFeature,神聖火花,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Divine Strike,classFeature,神聖打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Druid Circle,classFeature,德魯伊結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Druid Circle feature,classFeature,德魯伊結社能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Druid Subclass,classFeature,德魯伊子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Druidic,classFeature,德魯伊語,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Eldritch Invocation Options,classFeature,魔能祈喚選項,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Eldritch Invocations,classFeature,魔能祈喚,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Eldritch Master,classFeature,魔能大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Eldritch Versatility,classFeature,魔能選項,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Elemental Fury,classFeature,元素之怒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Elusive,classFeature,捉摸不定,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Empowered Spells,classFeature,增強法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Empowered Strikes,classFeature,真力注拳,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Empty Body,classFeature,空靈體,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Epic Boon,classFeature,傳奇恩惠,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Evasion,classFeature,反射閃避,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Expertise,classFeature,專精,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Extra Attack,classFeature,額外攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Extra Attack (2),classFeature,額外攻擊(2),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Extra Attack (3),classFeature,額外攻擊(3),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Extra Attack Improvement,classFeature,額外攻擊強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Faithful Steed,classFeature,信實坐騎,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Fast Movement,classFeature,快速移動,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Favored Enemy,classFeature,宿敵,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Favored Enemy and Natural Explorer improvements,classFeature,宿敵和自然探索者強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Favored Enemy improvement,classFeature,宿敵強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Favored Foe,classFeature,夙敵,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Feral Instinct,classFeature,野性直覺,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Feral Senses,classFeature,野性感官,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Fighter Subclass,classFeature,戰士子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Fighting Style,classFeature,戰鬥風格,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Flash of Genius,classFeature,靈光一閃,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Flexible Casting,classFeature,易變施法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Flurry of Blows,classFeature,疾風連擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Focused Aim,classFeature,凝神聚氣,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Focused Casting,classFeature,專注施法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Foe Slayer,classFeature,衆敵屠戮,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Font of Inspiration,classFeature,激勵涌泉,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Font of Magic,classFeature,魔力泉涌,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Greater Divine Intervention,classFeature,進階神聖干預,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Heightened Focus,classFeature,升階專注,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Helpful,classFeature,好幫手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Hide in Plain Sight,classFeature,避人耳目,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Blessed Strikes,classFeature,精通受祝擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Brutal Strike,classFeature,強化兇蠻打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Critical,classFeature,強化重擊,精通重擊,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Improved Cunning Strike,classFeature,進階詭詐打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Defense,classFeature,精通防禦,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Divine Smite,classFeature,強化至聖斬,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Elemental Fury,classFeature,元素狂怒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Indomitable,classFeature,不屈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Indomitable (three uses),classFeature,不屈(3次),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Indomitable (two uses),classFeature,不屈(2次),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Indomitable Improvement,classFeature,不屈強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Indomitable Might,classFeature,不屈勇武,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infuse Item,classFeature,物品注法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infusions Known,classFeature,已知注法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Innate Sorcery,classFeature,先天術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Inspiring Help,classFeature,鼓舞協助,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Inspiring Help Improvement,classFeature,鼓舞協助增效,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Instinctive Pounce,classFeature,直覺猛撲,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Jack of All Trades,classFeature,全能高手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ki,classFeature,氣,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ki-Empowered Strikes,classFeature,真氣駐拳,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ki-Fueled Attack,classFeature,馭氣以擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knock Out (Cost: 6d6),classFeature,擊昏（花費：6d6）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Land's Stride,classFeature,大地行者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Lay on Hands,classFeature,聖療,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Item Adept,classFeature,魔法物品熟稔,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Item Master,classFeature,魔法物品大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Item Savant,classFeature,魔法物品專家,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Item Tinker,classFeature,魔法物品工藝師,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Magical Cunning,classFeature,秘法迴流,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Magical Guidance,classFeature,魔法指引,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magical Inspiration,classFeature,魔法激勵,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magical Secrets,classFeature,魔法祕密,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magical Tinkering,classFeature,魔法工藝,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magician,classFeature,術師,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Martial Archetype,classFeature,武術範型,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Martial Archetype feature,classFeature,武術範型能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Martial Arts,classFeature,武藝,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Martial Arts Die,classFeature,武藝骰,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Martial Role,classFeature,戰鬥職能,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Martial Versatility,classFeature,替換武術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Memorize Spell,classFeature,記憶法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Metamagic,classFeature,超魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Metamagic Options,classFeature,超魔法選項,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monastic Tradition,classFeature,宗派傳承,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monastic Tradition feature,classFeature,宗派傳承能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monk Subclass,classFeature,武僧子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Monk's Focus,classFeature,武僧武功,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mystic Arcanum,classFeature,玄奧秘法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mystic Arcanum (6th level),classFeature,玄奧祕法(6環),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystic Arcanum (7th level),classFeature,玄奧祕法(7環),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystic Arcanum (8th level),classFeature,玄奧祕法(8環),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystic Arcanum (9th level),classFeature,玄奧祕法(9環),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystic Order,classFeature,秘術師修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mystic Order feature,classFeature,秘術師修會特性,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mystical Recovery,classFeature,秘術恢復,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Natural Explorer,classFeature,自然探索者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Natural Explorer improvement,classFeature,自然探索者強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature's Veil,classFeature,自然面紗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Obscure (Cost: 3d6),classFeature,眩目（花費：3d6）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Optional Rule: Firearm Proficiency,classFeature,可選規則：火器熟練,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Otherworldly Patron,classFeature,異界宗主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Otherworldly Patron feature,classFeature,異界宗主能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Pact Boon,classFeature,契約恩賜,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Pact Magic,classFeature,契約魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Paladin Subclass,classFeature,聖武士子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Paladin's Smite,classFeature,聖武斬,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path feature,classFeature,道途特性,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path Feature,classFeature,道途能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Patient Defense,classFeature,堅強防禦,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Perfect Focus,classFeature,明鏡止水,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Perfect Self,classFeature,超凡入聖,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Persistent Rage,classFeature,持久狂暴,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Poison (Cost: 1d6),classFeature,投毒（花費：1d6）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Potent Cantrips,classFeature,強力戲法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Potent Psionics (1d8),classFeature,烈性靈能 (1d8),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Potent Psionics (2d8),classFeature,烈性靈能 (2d8),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Potent Spellcasting,classFeature,強力施法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Precise Hunter,classFeature,致命獵殺,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Primal Awareness,classFeature,原始意識,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primal Champion,classFeature,原初勇士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primal Knowledge,classFeature,原初見聞,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primal Order,classFeature,原初職能,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Primal Path,classFeature,原初道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primal Strike,classFeature,原初打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primeval Awareness,classFeature,原初意識,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Protector,classFeature,保護者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Body,classFeature,靈能之軀,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Disciplines and Talents,classFeature,靈能靈術與天賦,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Mastery (1/Day),classFeature,靈能精通（1/日）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
